year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,spring,VCS,1,Team Flash,EVOS Esports,1.0,OK,1/31/2020,FL,Yoshino,Renekton,blue,2/3/1,2,1,○fb,9.6k,8.4k,1.2k,0.0k,152.4k,148.3k,3.1k,1.0k,-,4.9k,2.8k,4.5k,22.4k,13.5k,8.7k,0.1k,10,4,-,2,10.2k,10.1k,248,4,4,-
2020.0,spring,VCS,1,Team Flash,EVOS Esports,1.0,OK,1/31/2020,FL,Yijin,Sejuani,blue,1/4/3,1,1,○fb,5.6k,2.6k,2.5k,0.5k,104.2k,54.6k,40.5k,9.1k,-,6.1k,0.5k,5.6k,22.5k,16.1k,6.2k,0.2k,9,4,-,10,7.6k,7.3k,20,112,85,8
2020.0,spring,VCS,1,Team Flash,EVOS Esports,1.0,OK,1/31/2020,FL,Kati,Irelia,blue,1/3/2,1,1,○fb,10.1k,4.5k,4.6k,1.0k,131.0k,109.4k,17.3k,4.3k,-,4.8k,0.3k,5.2k,20.2k,13.5k,6.4k,0.3k,9,5,-,6,9.8k,9.6k,239,9,9,-
2020.0,spring,VCS,1,Team Flash,EVOS Esports,1.0,OK,1/31/2020,FL,Slayder,Kaisa,blue,0/5/1,0,0,○fb,5.1k,2.3k,2.7k,0.0k,110.1k,97.3k,12.7k,0.0k,-,1.8k,0.4k,0.8k,10.5k,5.5k,4.9k,0.1k,9,3,-,4,8.6k,7.8k,196,17,14,-
2020.0,spring,VCS,1,Team Flash,EVOS Esports,1.0,OK,1/31/2020,FL,CBL,Leona,blue,1/6/1,1,1,○fb,2.8k,0.6k,1.9k,0.4k,17.9k,2.8k,7.5k,7.5k,-,0.0k,0.0k,0.4k,12.3k,7.3k,4.8k,0.2k,29,11,-,10,5.3k,5.0k,29,-,-,-
2020.0,spring,VCS,1,Team Flash,EVOS Esports,1.0,OK,1/31/2020,EVS,TH,Mordekaiser,red,4/2/7,3,1,○fb,16.3k,1.5k,14.8k,0.0k,156.5k,18.9k,130.1k,7.5k,-,12.2k,6.0k,9.2k,17.0k,13.3k,3.4k,0.3k,9,5,-,5,11.4k,10.5k,205,9,8,-
2020.0,spring,VCS,1,Team Flash,EVOS Esports,1.0,OK,1/31/2020,EVS,Sorn,JarvanIV,red,0/2/17,0,0,○fb,5.6k,4.2k,1.1k,0.4k,106.3k,66.2k,32.7k,7.5k,-,23.7k,1.2k,7.2k,18.0k,13.6k,3.8k,0.6k,7,6,-,8,8.4k,7.4k,20,100,61,2
2020.0,spring,VCS,1,Team Flash,EVOS Esports,1.0,OK,1/31/2020,EVS,Pake,Ryze,red,3/1/6,3,2,○fb,9.1k,0.7k,8.5k,0.0k,172.8k,9.8k,161.4k,1.6k,-,18.2k,3.1k,6.4k,13.8k,9.9k,3.4k,0.5k,16,6,-,7,10.8k,9.6k,197,39,30,6
2020.0,spring,VCS,1,Team Flash,EVOS Esports,1.0,OK,1/31/2020,EVS,Divkid,MissFortune,red,13/0/4,13,2,●fb,23.0k,21.8k,0.7k,0.5k,197.5k,189.5k,2.6k,5.4k,1650,35.2k,12.1k,0.2k,5.5k,3.4k,1.8k,0.3k,13,5,-,4,14.3k,12.8k,207,46,22,9
2020.0,spring,VCS,1,Team Flash,EVOS Esports,1.0,OK,1/31/2020,EVS,Bie,Braum,red,1/0/16,1,1,○fb,5.6k,1.4k,4.2k,0.0k,21.6k,7.7k,6.8k,7.1k,-,4.0k,1.8k,4.4k,8.9k,6.3k,2.5k,0.1k,29,7,-,12,7.7k,7.0k,31,-,-,-
