year,season,league_name,week,team_1,team_2,set_number,state,date,team,player_name,champion,side,KDA,largest_killing_spree,largest_multi_kill,first_blood,total_damage_dealt_to_champions,physical_damage_dealt_to_champions,magic_damage_dealt_to_champions,true_damage_dealt_to_champions,total_damage_dealt,physical_damage_dealt,magic_damage_dealt,true_damage_dealt,largest_critical_strike,damage_dealt_to_objectives,damage_dealt_to_turrets,total_heal,total_damage_taken,physical_damage_taken,magical_damage_taken,true_damage_taken,wards_placed,wards_killed,sight_wards_bought_in_game,vision_wards_bought_in_game,earned_gold,gold_spent,minion_kills,neutral_minions_kills,neutral_minions_kills_team_jungle,neutral_minions_kills_enemy_jungle
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,1.0,OK,6/19/2020,SGB,Hasmed,MonkeyKing,blue,8/0/4,8,2,●fb,12.8k,11.0k,1.8k,0.0k,144.2k,125.4k,18.7k,0.0k,-,7.2k,6.1k,2.1k,12.5k,10.1k,1.3k,1.1k,10,3,-,2,13.8k,12.2k,243,12,1,8
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,1.0,OK,6/19/2020,SGB,Meliodas,Kindred,blue,4/1/7,2,2,○fb,7.7k,4.9k,2.0k,0.8k,198.0k,149.6k,32.8k,15.5k,281,49.7k,6.8k,11.5k,22.8k,16.5k,6.3k,0.0k,9,5,-,6,11.1k,9.7k,23,172,113,6
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,1.0,OK,6/19/2020,SGB,Froggy,TwistedFate,blue,0/0/9,0,0,○fb,7.5k,1.0k,6.1k,0.4k,166.3k,24.9k,133.8k,7.7k,-,5.7k,3.9k,2.8k,8.6k,6.9k,1.7k,0.0k,12,7,-,5,12.0k,10.7k,257,8,4,4
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,1.0,OK,6/19/2020,SGB,Style,Senna,blue,2/1/13,2,1,○fb,10.0k,9.5k,0.3k,0.2k,49.8k,47.8k,0.3k,1.7k,446,12.1k,4.5k,9.0k,7.6k,3.6k,2.0k,2.1k,31,17,-,7,8.9k,7.7k,44,15,6,-
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,1.0,OK,6/19/2020,SGB,Hinn,Galio,blue,2/0/12,2,1,○fb,7.0k,0.2k,6.8k,0.0k,94.0k,6.4k,83.4k,4.2k,-,5.8k,2.8k,1.2k,9.8k,8.5k,1.2k,0.1k,9,5,-,7,9.6k,8.2k,157,2,-,1
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,1.0,OK,6/19/2020,OPG,Vin,Aatrox,red,0/4/1,0,0,○fb,4.0k,4.0k,0.0k,0.0k,112.1k,98.7k,0.0k,13.4k,-,1.9k,0.0k,3.8k,18.2k,10.4k,7.1k,0.7k,15,3,-,8,7.8k,8.2k,194,4,4,-
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,1.0,OK,6/19/2020,OPG,DK,Nidalee,red,1/3/0,1,1,○fb,3.7k,0.0k,3.5k,0.1k,156.7k,24.7k,124.8k,7.2k,-,8.5k,0.0k,13.5k,19.5k,14.8k,4.5k,0.2k,20,4,-,10,8.0k,7.2k,13,152,110,16
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,1.0,OK,6/19/2020,OPG,PHT,Tristana,red,0/4/1,0,0,○fb,7.7k,6.0k,1.5k,0.2k,127.1k,98.3k,26.5k,2.3k,301,5.1k,1.7k,1.1k,12.0k,8.0k,3.8k,0.2k,12,5,-,4,8.2k,8.0k,202,8,4,4
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,1.0,OK,6/19/2020,OPG,VIT,Kaisa,red,0/2/1,0,0,○fb,5.0k,3.0k,1.6k,0.5k,117.7k,103.3k,11.6k,2.7k,-,2.5k,0.6k,1.8k,10.1k,7.9k,2.1k,0.1k,9,4,-,1,8.8k,7.9k,226,12,12,-
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,1.0,OK,6/19/2020,OPG,Zin,Nautilus,red,0/3/1,0,0,○fb,2.3k,0.7k,1.4k,0.2k,21.6k,7.8k,4.6k,9.1k,-,1.4k,0.4k,0.5k,9.7k,6.3k,3.2k,0.2k,21,3,-,8,5.0k,4.9k,29,-,-,-
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,2.0,OK,6/19/2020,OPG,Vin,Renekton,blue,3/3/10,2,1,○fb,12.7k,11.2k,1.5k,0.0k,149.4k,144.5k,4.9k,0.0k,-,5.8k,3.0k,10.4k,28.8k,16.1k,9.9k,2.9k,20,2,-,13,11.5k,11.1k,227,-,-,-
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,2.0,OK,6/19/2020,OPG,DK,LeeSin,blue,6/0/14,6,1,●fb,12.2k,10.1k,1.8k,0.4k,158.0k,108.2k,31.0k,18.7k,-,30.1k,5.8k,9.8k,21.9k,15.8k,5.9k,0.1k,17,3,-,8,12.5k,10.4k,28,130,62,25
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,2.0,OK,6/19/2020,OPG,PHT,Syndra,blue,7/2/10,4,1,○fb,20.1k,1.5k,18.5k,0.1k,203.1k,12.6k,189.2k,1.3k,-,18.5k,9.8k,2.9k,12.9k,7.7k,5.0k,0.1k,13,3,-,7,14.4k,14.2k,232,24,20,-
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,2.0,OK,6/19/2020,OPG,VIT,Ashe,blue,5/2/9,5,2,○fb,16.4k,14.6k,1.0k,0.7k,145.0k,134.4k,1.3k,9.3k,275,11.6k,4.5k,1.8k,10.4k,6.2k,3.9k,0.2k,12,5,-,9,12.2k,12.2k,214,16,12,-
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,2.0,OK,6/19/2020,OPG,Zin,Bard,blue,2/1/18,2,1,○fb,6.4k,2.4k,3.4k,0.7k,28.3k,8.8k,11.6k,7.9k,-,5.8k,0.3k,4.8k,9.6k,6.9k,2.6k,0.1k,56,14,-,12,8.4k,6.7k,45,-,-,-
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,2.0,OK,6/19/2020,SGB,Hasmed,Ornn,red,1/2/6,1,1,○fb,15.3k,5.4k,9.8k,0.2k,139.7k,59.7k,79.8k,0.2k,18,5.0k,4.5k,2.7k,24.8k,17.9k,6.4k,0.5k,12,3,-,3,11.1k,11.3k,237,8,8,-
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,2.0,OK,6/19/2020,SGB,Meliodas,RekSai,red,2/2/3,2,1,○fb,6.7k,4.5k,0.2k,2.0k,202.2k,151.1k,9.3k,41.8k,-,20.2k,1.9k,14.5k,27.8k,20.6k,7.1k,0.1k,10,8,-,11,10.2k,9.2k,29,166,110,19
2020.0,summer,VCS,1,Saigon Buffalo,OverPower Esports,2.0,OK,6/19/2020,SGB,Froggy,Galio,red,2/6/4,2,1,○fb,8.6k,0.1k,8.2k,0.4k,116.5k,3.7k,109.9k,2.9k,-,2.0k,2.0k,1.7k,18.5k,12.6k,5.7k,0.3k,15,7,-,6,9.3k,9.2k,192,4,4,-
