year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,spring,BL,1,Brussels Guardians,RSCA,1.0,25:39,OK,blue,AND,   VICTORY   ,49.7k,17,  11 ,  3 ,  1 ,  4 ,  2 ,Rumble,Skarner,Heimerdinger,RekSai,Orianna
2020.0,spring,BL,1,Brussels Guardians,RSCA,1.0,25:39,OK,red,BG,   DEFEAT   ,38.8k,3,  1 ,  0 ,  0 ,  0 ,  0 ,Urgot,Aphelios,Olaf,Mordekaiser,Ornn
2020.0,spring,BL,1,Sector One,Timeout Esports,1.0,31:27,OK,blue,S1,   VICTORY   ,58.8k,17,  10 ,  3 ,  2 ,  2 ,  1 ,AurelionSol,Bard,Veigar,Ashe,Garen
2020.0,spring,BL,1,Sector One,Timeout Esports,1.0,31:27,OK,red,TO,   DEFEAT   ,49.0k,15,  0 ,  0 ,  0 ,  3 ,  0 ,Akali,Qiyana,Aphelios,Mordekaiser,Camille
2020.0,spring,BL,1,Brussels Guardians,KV Mechelen,1.0,35:19,OK,blue,BG,   VICTORY   ,68.9k,26,  11 ,  3 ,  2 ,  4 ,  1 ,Darius,Irelia,Aphelios,Yasuo,Senna
2020.0,spring,BL,1,Brussels Guardians,KV Mechelen,1.0,35:19,OK,red,KVM,   DEFEAT   ,55.8k,9,  3 ,  0 ,  0 ,  1 ,  0 ,Heimerdinger,Skarner,Olaf,TwistedFate,Orianna
2020.0,spring,BL,1,Sector One,Aethra,1.0,26:51,OK,blue,S1,   VICTORY   ,53.1k,22,  11 ,  3 ,  1 ,  3 ,  1 ,LeeSin,Leona,Mordekaiser,Olaf,Ornn
2020.0,spring,BL,1,Sector One,Aethra,1.0,26:51,OK,red,ATR,   DEFEAT   ,40.1k,8,  1 ,  0 ,  0 ,  1 ,  1 ,MissFortune,Akali,Qiyana,Ryze,Irelia
2020.0,spring,BL,2,Timeout Esports,KV Mechelen,1.0,30:31,OK,blue,KVM,   DEFEAT   ,48.5k,16,  2 ,  0 ,  0 ,  1 ,  1 ,AurelionSol,Bard,Veigar,Olaf,Zoe
2020.0,spring,BL,2,Timeout Esports,KV Mechelen,1.0,30:31,OK,red,TO,   VICTORY   ,57.9k,29,  7 ,  1 ,  0 ,  3 ,  0 ,Akali,MissFortune,Darius,Khazix,RekSai
2020.0,spring,BL,2,RSCA,Aethra,1.0,32:43,OK,blue,AND,   DEFEAT   ,48.0k,5,  1 ,  0 ,  0 ,  2 ,  0 ,LeeSin,Mordekaiser,Leona,Olaf,Irelia
2020.0,spring,BL,2,RSCA,Aethra,1.0,32:43,OK,red,ATR,   VICTORY   ,57.6k,15,  8 ,  1 ,  0 ,  3 ,  2 ,Urgot,JarvanIV,Aphelios,Nautilus,Ornn
2020.0,spring,BL,2,Timeout Esports,Brussels Guardians,1.0,31:57,OK,blue,BG,   DEFEAT   ,49.2k,11,  1 ,  0 ,  0 ,  0 ,  0 ,Bard,AurelionSol,Vladimir,Cassiopeia,Irelia
2020.0,spring,BL,2,Timeout Esports,Brussels Guardians,1.0,31:57,OK,red,TO,   VICTORY   ,59.5k,20,  10 ,  2 ,  1 ,  5 ,  2 ,Rumble,Qiyana,MissFortune,Orianna,Nocturne
2020.0,spring,BL,2,RSCA,Sector One,1.0,26:38,OK,blue,AND,   DEFEAT   ,40.1k,10,  0 ,  0 ,  0 ,  2 ,  0 ,LeeSin,Akali,Qiyana,Leblanc,Ryze
2020.0,spring,BL,2,RSCA,Sector One,1.0,26:38,OK,red,S1,   VICTORY   ,57.2k,35,  10 ,  2 ,  1 ,  2 ,  2 ,Urgot,Braum,JarvanIV,Yorick,Kled
2020.0,spring,BL,3,KV Mechelen,Sector One,1.0,24:25,OK,blue,S1,   VICTORY   ,48.8k,18,  10 ,  2 ,  1 ,  3 ,  2 ,Taric,Darius,Akali,Diana,Ornn
2020.0,spring,BL,3,KV Mechelen,Sector One,1.0,24:25,OK,red,KVM,   DEFEAT   ,39.0k,8,  4 ,  0 ,  0 ,  1 ,  0 ,Sett,Ryze,Cassiopeia,Leona,Braum
2020.0,spring,BL,3,Aethra,Brussels Guardians,1.0,28:26,OK,blue,BG,   DEFEAT   ,43.5k,5,  3 ,  0 ,  0 ,  0 ,  2 ,LeeSin,Akali,Mordekaiser,Sylas,Gragas
2020.0,spring,BL,3,Aethra,Brussels Guardians,1.0,28:26,OK,red,ATR,   VICTORY   ,57.0k,21,  10 ,  2 ,  1 ,  4 ,  0 ,Heimerdinger,Skarner,Braum,Nautilus,MissFortune
2020.0,spring,BL,3,KV Mechelen,RSCA,1.0,43:33,OK,blue,AND,   VICTORY   ,77.2k,29,  11 ,  4 ,  1 ,  2 ,  1 ,Darius,Taric,Akali,Fiora,Sett
2020.0,spring,BL,3,KV Mechelen,RSCA,1.0,43:33,OK,red,KVM,   DEFEAT   ,69.9k,16,  6 ,  1 ,  1 ,  4 ,  0 ,Urgot,Taliyah,Olaf,Veigar,Malzahar
