year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2019.0,summer,BRCC,1,RED Canids,Vivo Keyd,1.0,33:00,OK,blue,RED,   VITÓRIA   ,66.5 mil,22,  10 ,  1 ,  1 ,  4 ,  0 ,Akali,Olaf,Sejuani,Sivir,Kaisa
2019.0,summer,BRCC,1,RED Canids,Vivo Keyd,1.0,33:00,OK,red,VK,   DERROTA   ,54.7 mil,12,  1 ,  0 ,  0 ,  0 ,  1 ,Irelia,Aatrox,Elise,Camille,Lucian
2019.0,summer,BRCC,1,Havan Liberty Gaming,Rensga eSports,1.0,35:30,OK,blue,HL,   VITÓRIA   ,66.5 mil,18,  8 ,  1 ,  1 ,  2 ,  0 ,Twitch,Yuumi,Irelia,Nautilus,Renekton
2019.0,summer,BRCC,1,Havan Liberty Gaming,Rensga eSports,1.0,35:30,OK,red,RNS,   DERROTA   ,62.3 mil,13,  4 ,  0 ,  1 ,  4 ,  1 ,Aatrox,Ezreal,Azir,Akali,JarvanIV
2019.0,summer,BRCC,1,ProGaming Esports,Falkol,1.0,28:33,OK,blue,PRG,   VITÓRIA   ,56.6 mil,16,  10 ,  2 ,  1 ,  2 ,  1 ,Olaf,Sejuani,Irelia,Elise,JarvanIV
2019.0,summer,BRCC,1,ProGaming Esports,Falkol,1.0,28:33,OK,red,FKL,   DERROTA   ,42.3 mil,3,  1 ,  0 ,  0 ,  1 ,  0 ,Jayce,Sylas,Yuumi,Morgana,Lux
2019.0,summer,BRCC,1,Rensga eSports,RED Canids,1.0,25:43,OK,blue,RNS,   DERROTA   ,40.6 mil,8,  1 ,  0 ,  0 ,  2 ,  1 ,Sejuani,Yuumi,Ezreal,Neeko,JarvanIV
2019.0,summer,BRCC,1,Rensga eSports,RED Canids,1.0,25:43,OK,red,RED,   VITÓRIA   ,51.7 mil,15,  10 ,  2 ,  1 ,  2 ,  0 ,Aatrox,Irelia,Olaf,Nautilus,Galio
2019.0,summer,BRCC,1,Falkol,Vivo Keyd,1.0,36:33,OK,blue,FKL,   DERROTA   ,59.2 mil,10,  3 ,  0 ,  0 ,  2 ,  1 ,Akali,Jayce,Sejuani,JarvanIV,Olaf
2019.0,summer,BRCC,1,Falkol,Vivo Keyd,1.0,36:33,OK,red,VK,   VITÓRIA   ,67.5 mil,9,  9 ,  2 ,  1 ,  2 ,  0 ,Aatrox,Ryze,Sylas,Rakan,Alistar
2019.0,summer,BRCC,1,ProGaming Esports,Havan Liberty Gaming,1.0,31:48,OK,blue,PRG,   VITÓRIA   ,63.8 mil,21,  10 ,  3 ,  2 ,  3 ,  1 ,Xayah,Sejuani,Irelia,RekSai,Hecarim
2019.0,summer,BRCC,1,ProGaming Esports,Havan Liberty Gaming,1.0,31:48,OK,red,HL,   DERROTA   ,53.6 mil,11,  4 ,  1 ,  0 ,  2 ,  0 ,Aatrox,Olaf,Alistar,MissFortune,Neeko
2019.0,summer,BRCC,2,Rensga eSports,ProGaming Esports,1.0,24:05,OK,blue,RNS,   DERROTA   ,33.2 mil,1,  0 ,  0 ,  0 ,  2 ,  1 ,Sejuani,Jayce,Yuumi,Sona,Rakan
2019.0,summer,BRCC,2,Rensga eSports,ProGaming Esports,1.0,24:05,OK,red,PRG,   VITÓRIA   ,49.5 mil,14,  10 ,  1 ,  1 ,  1 ,  0 ,Aatrox,Pyke,Olaf,Lucian,Thresh
2019.0,summer,BRCC,2,RED Canids,Falkol,1.0,29:34,OK,blue,RED,   VITÓRIA   ,57.6 mil,7,  11 ,  3 ,  2 ,  4 ,  0 ,Irelia,Sejuani,Sona,Kennen,Ryze
2019.0,summer,BRCC,2,RED Canids,Falkol,1.0,29:34,OK,red,FKL,   DERROTA   ,44.0 mil,1,  1 ,  0 ,  0 ,  0 ,  1 ,Aatrox,Yuumi,Velkoz,Jayce,LeeSin
2019.0,summer,BRCC,2,Vivo Keyd,Havan Liberty Gaming,1.0,38:33,OK,blue,VK,   VITÓRIA   ,72.7 mil,20,  11 ,  2 ,  1 ,  2 ,  1 ,Ryze,Sylas,Sivir,RekSai,Gragas
2019.0,summer,BRCC,2,Vivo Keyd,Havan Liberty Gaming,1.0,38:33,OK,red,HL,   DERROTA   ,65.2 mil,13,  5 ,  0 ,  1 ,  3 ,  0 ,Aatrox,Yuumi,Sejuani,Olaf,Neeko
2019.0,summer,BRCC,2,Falkol,Rensga eSports,1.0,38:39,OK,blue,FKL,   VITÓRIA   ,69.1 mil,15,  9 ,  1 ,  1 ,  2 ,  0 ,Ryze,Irelia,JarvanIV,Leblanc,Gragas
2019.0,summer,BRCC,2,Falkol,Rensga eSports,1.0,38:39,OK,red,RNS,   DERROTA   ,59.1 mil,6,  6 ,  0 ,  1 ,  4 ,  1 ,Aatrox,Sejuani,RekSai,Sylas,Ahri
2019.0,summer,BRCC,2,ProGaming Esports,Vivo Keyd,1.0,28:18,OK,blue,PRG,   DERROTA   ,44.6 mil,3,  2 ,  0 ,  0 ,  0 ,  1 ,Taliyah,Sejuani,Irelia,Cassiopeia,Yasuo
2019.0,summer,BRCC,2,ProGaming Esports,Vivo Keyd,1.0,28:18,OK,red,VK,   VITÓRIA   ,55.4 mil,17,  8 ,  1 ,  1 ,  3 ,  0 ,Aatrox,Yuumi,Sylas,TahmKench,Xayah
2019.0,summer,BRCC,2,Havan Liberty Gaming,RED Canids,1.0,37:31,OK,blue,HL,   DERROTA   ,67.6 mil,20,  6 ,  0 ,  1 ,  1 ,  1 ,Sona,Yuumi,Xayah,Ezreal,Kennen
2019.0,summer,BRCC,2,Havan Liberty Gaming,RED Canids,1.0,37:31,OK,red,RED,   VITÓRIA   ,71.6 mil,25,  8 ,  1 ,  1 ,  4 ,  0 ,Ryze,Sejuani,Aatrox,Neeko,Nautilus
2019.0,summer,BRCC,3,RED Canids,ProGaming Esports,1.0,29:56,OK,blue,RED,   VITÓRIA   ,64.7 mil,30,  11 ,  3 ,  2 ,  1 ,  0 ,Irelia,Sona,Sejuani,Sivir,Alistar
2019.0,summer,BRCC,3,RED Canids,ProGaming Esports,1.0,29:56,OK,red,PRG,   DERROTA   ,50.8 mil,11,  3 ,  0 ,  0 ,  2 ,  1 ,Karthus,Karma,Aatrox,Ezreal,Lucian
2019.0,summer,BRCC,3,Havan Liberty Gaming,Falkol,1.0,36:33,OK,blue,HL,   VITÓRIA   ,69.0 mil,17,  11 ,  3 ,  1 ,  3 ,  1 ,Neeko,Yuumi,Karma,Leblanc,Syndra
2019.0,summer,BRCC,3,Havan Liberty Gaming,Falkol,1.0,36:33,OK,red,FKL,   DERROTA   ,61.3 mil,10,  3 ,  0 ,  1 ,  2 ,  0 ,Aatrox,Sejuani,Jayce,Irelia,
2019.0,summer,BRCC,3,Vivo Keyd,Rensga eSports,1.0,19:30,OK,blue,VK,   VITÓRIA   ,42.2 mil,16,  10 ,  2 ,  0 ,  2 ,  1 ,Renekton,Pyke,Karma,Xayah,Kennen
2019.0,summer,BRCC,3,Vivo Keyd,Rensga eSports,1.0,19:30,OK,red,RNS,   DERROTA   ,27.1 mil,3,  1 ,  0 ,  0 ,  0 ,  0 ,Sivir,Sejuani,TahmKench,Leblanc,RekSai
2019.0,summer,BRCC,3,Falkol,ProGaming Esports,1.0,27:26,OK,blue,FKL,   DERROTA   ,41.4 mil,2,  0 ,  0 ,  0 ,  0 ,  0 ,Irelia,Sejuani,Yasuo,,
