year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,spring,BRCC,1,RED Canids,Havan Liberty Gaming,1.0,46:21,OK,blue,RED,   DEFEAT   ,78.3k,17,  4 ,  0 ,  1 ,  3 ,  1 ,Elise,Rumble,Sett,Mordekaiser,Irelia
2020.0,spring,BRCC,1,RED Canids,Havan Liberty Gaming,1.0,46:21,OK,red,HL,   VICTORY   ,85.9k,21,  11 ,  3 ,  2 ,  4 ,  1 ,Akali,Aphelios,Thresh,Yasuo,Braum
2020.0,spring,BRCC,1,Santos,Team oNe,1.0,26:10,OK,blue,SAN,   VICTORY   ,50.9k,17,  9 ,  1 ,  1 ,  4 ,  2 ,Rakan,Rumble,Sett,Leona,Nautilus
2020.0,spring,BRCC,1,Santos,Team oNe,1.0,26:10,OK,red,ONE,   DEFEAT   ,40.4k,8,  2 ,  0 ,  0 ,  0 ,  0 ,Akali,Olaf,Qiyana,Irelia,Camille
2020.0,spring,BRCC,1,Falkol,Intergalaxy Tigers,1.0,37:28,OK,blue,FKL,   VICTORY   ,69.3k,20,  9 ,  1 ,  2 ,  4 ,  2 ,Elise,Renekton,Pantheon,Leblanc,JarvanIV
2020.0,spring,BRCC,1,Falkol,Intergalaxy Tigers,1.0,37:28,OK,red,ITX,   DEFEAT   ,57.6k,11,  2 ,  0 ,  0 ,  1 ,  0 ,Akali,Qiyana,Lucian,Aatrox,Gragas
2020.0,spring,BRCC,1,Team oNe,RED Canids,1.0,27:28,OK,blue,ONE,   DEFEAT   ,45.3k,11,  4 ,  0 ,  0 ,  2 ,  2 ,Thresh,Lucian,Qiyana,Nautilus,Alistar
2020.0,spring,BRCC,1,Team oNe,RED Canids,1.0,27:28,OK,red,RED,   VICTORY   ,49.7k,9,  7 ,  1 ,  1 ,  2 ,  0 ,Rakan,Rumble,Akali,Leblanc,Diana
2020.0,spring,BRCC,1,Intergalaxy Tigers,Havan Liberty Gaming,1.0,41:18,OK,blue,ITX,   DEFEAT   ,69.4k,14,  5 ,  0 ,  1 ,  3 ,  0 ,Qiyana,JarvanIV,Lucian,Yasuo,Leblanc
2020.0,spring,BRCC,1,Intergalaxy Tigers,Havan Liberty Gaming,1.0,41:18,OK,red,HL,   VICTORY   ,77.3k,29,  10 ,  3 ,  1 ,  3 ,  2 ,Akali,Aphelios,Sett,Cassiopeia,Aatrox
2020.0,spring,BRCC,1,Falkol,Santos,1.0,30:18,OK,blue,FKL,   VICTORY   ,57.6k,22,  8 ,  1 ,  1 ,  3 ,  2 ,Lucian,Rakan,Qiyana,Rumble,Leblanc
2020.0,spring,BRCC,1,Falkol,Santos,1.0,30:18,OK,red,SAN,   DEFEAT   ,44.4k,6,  0 ,  0 ,  0 ,  1 ,  0 ,Akali,Syndra,Sett,LeeSin,Gragas
2020.0,spring,BRCC,2,Team oNe,Falkol,1.0,36:05,OK,blue,ONE,   VICTORY   ,61.5k,12,  9 ,  1 ,  0 ,  2 ,  2 ,Renekton,Senna,Lucian,Irelia,Mordekaiser
2020.0,spring,BRCC,2,Team oNe,Falkol,1.0,36:05,OK,red,FKL,   DEFEAT   ,55.2k,9,  3 ,  0 ,  0 ,  3 ,  0 ,Elise,Sett,Ornn,Gragas,JarvanIV
2020.0,spring,BRCC,2,RED Canids,Intergalaxy Tigers,1.0,36:11,OK,blue,RED,   VICTORY   ,67.2k,18,  11 ,  3 ,  1 ,  5 ,  0 ,Elise,Pantheon,Ornn,Yuumi,Olaf
2020.0,spring,BRCC,2,RED Canids,Intergalaxy Tigers,1.0,36:11,OK,red,ITX,   DEFEAT   ,57.5k,8,  5 ,  0 ,  0 ,  1 ,  2 ,Thresh,Lucian,LeeSin,Karthus,Kindred
2020.0,spring,BRCC,2,Havan Liberty Gaming,Santos,1.0,28:45,OK,blue,HL,   DEFEAT   ,46.5k,7,  3 ,  0 ,  0 ,  3 ,  2 ,Irelia,Leblanc,Ornn,Viktor,Syndra
2020.0,spring,BRCC,2,Havan Liberty Gaming,Santos,1.0,28:45,OK,red,SAN,   VICTORY   ,48.2k,6,  6 ,  1 ,  1 ,  1 ,  0 ,Elise,LeeSin,Sett,Renekton,Yuumi
2020.0,spring,BRCC,2,Intergalaxy Tigers,Team oNe,1.0,33:57,OK,blue,ITX,   DEFEAT   ,52.0k,11,  4 ,  0 ,  0 ,  2 ,  1 ,Jayce,Aphelios,Leblanc,JarvanIV,Sejuani
2020.0,spring,BRCC,2,Intergalaxy Tigers,Team oNe,1.0,33:57,OK,red,ONE,   VICTORY   ,64.3k,20,  10 ,  2 ,  2 ,  3 ,  1 ,Ornn,Elise,Lucian,Olaf,RekSai
2020.0,spring,BRCC,2,Falkol,Havan Liberty Gaming,1.0,51:44,OK,blue,FKL,   VICTORY   ,85.8k,18,  9 ,  1 ,  1 ,  4 ,  1 ,Olaf,Yasuo,Irelia,Zed,Renekton
2020.0,spring,BRCC,2,Falkol,Havan Liberty Gaming,1.0,51:44,OK,red,HL,   DEFEAT   ,89.5k,16,  8 ,  2 ,  2 ,  4 ,  1 ,Ornn,Sett,Senna,Zoe,Syndra
2020.0,spring,BRCC,2,Santos,RED Canids,1.0,44:43,OK,blue,SAN,   VICTORY   ,75.4k,11,  9 ,  2 ,  1 ,  4 ,  2 ,Elise,Thresh,LeeSin,Yuumi,Rakan
2020.0,spring,BRCC,2,Santos,RED Canids,1.0,44:43,OK,red,RED,   DEFEAT   ,73.5k,8,  7 ,  2 ,  1 ,  3 ,  0 ,Sett,Senna,Ornn,Viktor,Syndra
2020.0,spring,BRCC,3,RED Canids,Falkol,1.0,40:28,OK,blue,RED,   VICTORY   ,68.4k,13,  8 ,  1 ,  0 ,  2 ,  2 ,Pantheon,Senna,Kalista,LeeSin,Olaf
2020.0,spring,BRCC,3,RED Canids,Falkol,1.0,40:28,OK,red,FKL,   DEFEAT   ,70.0k,12,  7 ,  0 ,  2 ,  4 ,  0 ,Yasuo,Sett,Ornn,Leblanc,Renekton
2020.0,spring,BRCC,3,Santos,Intergalaxy Tigers,1.0,23:30,OK,blue,SAN,   VICTORY   ,50.5k,23,  9 ,  1 ,  1 ,  4 ,  2 ,Renekton,Elise,Sett,Leblanc,Talon
2020.0,spring,BRCC,3,Santos,Intergalaxy Tigers,1.0,23:30,OK,red,ITX,   DEFEAT   ,32.1k,2,  0 ,  0 ,  0 ,  0 ,  0 ,Senna,Pantheon,Ornn,Fiora,Jax
2020.0,spring,BRCC,3,Havan Liberty Gaming,Team oNe,1.0,34:39,OK,blue,HL,   VICTORY   ,61.7k,13,  11 ,  3 ,  1 ,  2 ,  1 ,Jayce,Renekton,Kalista,JarvanIV,Karthus
2020.0,spring,BRCC,3,Havan Liberty Gaming,Team oNe,1.0,34:39,OK,red,ONE,   DEFEAT   ,55.8k,6,  3 ,  0 ,  0 ,  3 ,  1 ,Lucian,Senna,Ornn,Yasuo,Aphelios
2020.0,spring,BRCC,3,Intergalaxy Tigers,Falkol,1.0,28:52,OK,blue,ITX,   DEFEAT   ,42.7k,6,  2 ,  0 ,  0 ,  0 ,  0 ,Zoe,Kalista,Pantheon,Gangplank,Sejuani
2020.0,spring,BRCC,3,Intergalaxy Tigers,Falkol,1.0,28:52,OK,red,FKL,   VICTORY   ,56.8k,19,  10 ,  2 ,  1 ,  4 ,  2 ,Elise,Ornn,Aphelios,Trundle,JarvanIV
