year,season,league_name,week,team_1,team_2,set_number,state
2017.0,summer,CBLOL,1,RED Canids,PAIN,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,1,RED Canids,PAIN,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,1,T Show,ProGaming Esports,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,1,T Show,ProGaming Esports,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,1,CNB,INTZ,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,1,CNB,INTZ,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,1,Team oNe,Vivo Keyd,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,1,Team oNe,Vivo Keyd,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,2,Vivo Keyd,CNB,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,2,Vivo Keyd,CNB,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,2,INTZ,Team oNe,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,2,INTZ,Team oNe,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,2,T Show,PAIN,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,2,T Show,PAIN,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,2,ProGaming Esports,RED Canids,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,2,ProGaming Esports,RED Canids,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,3,RED Canids,INTZ,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,3,RED Canids,INTZ,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,3,Team oNe,ProGaming Esports,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,3,Team oNe,ProGaming Esports,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,3,Vivo Keyd,T Show,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,3,Vivo Keyd,T Show,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,3,PAIN,CNB,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,3,PAIN,CNB,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,4,T Show,Team oNe,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,4,T Show,Team oNe,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,4,RED Canids,CNB,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,4,RED Canids,CNB,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,4,Vivo Keyd,ProGaming Esports,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,4,Vivo Keyd,ProGaming Esports,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,4,INTZ,PAIN,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,4,INTZ,PAIN,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,5,Vivo Keyd,RED Canids,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,5,Vivo Keyd,RED Canids,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,5,CNB,Team oNe,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,5,CNB,Team oNe,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,5,INTZ,T Show,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,5,INTZ,T Show,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,5,PAIN,ProGaming Esports,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,5,PAIN,ProGaming Esports,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,6,PAIN,Vivo Keyd,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,6,PAIN,Vivo Keyd,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,6,ProGaming Esports,INTZ,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,6,ProGaming Esports,INTZ,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,6,CNB,T Show,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,6,CNB,T Show,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,6,Team oNe,RED Canids,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,6,Team oNe,RED Canids,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,7,ProGaming Esports,CNB,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,7,ProGaming Esports,CNB,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,7,RED Canids,T Show,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,7,RED Canids,T Show,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,7,Team oNe,PAIN,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,7,Team oNe,PAIN,2.0,this row doesn't have MH_url
2017.0,summer,CBLOL,7,INTZ,Vivo Keyd,1.0,this row doesn't have MH_url
2017.0,summer,CBLOL,7,INTZ,Vivo Keyd,2.0,this row doesn't have MH_url
