year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2018.0,spring,CBLOL,1,INTZ,Vivo Keyd,1.0,35:48,OK,blue,ITZ,   DERROTA   ,60.6 mil,7,  5 ,  0 ,  0 ,  0 ,  0 ,Malzahar,Shen,Alistar,TahmKench,Gnar
2018.0,spring,CBLOL,1,INTZ,Vivo Keyd,1.0,35:48,OK,red,VK,   VITÓRIA   ,69.4 mil,19,  7 ,  1 ,  1 ,  3 ,  0 ,Camille,Kalista,Braum,Vladimir,Illaoi
2018.0,spring,CBLOL,1,INTZ,Vivo Keyd,2.0,28:42,OK,blue,VK,   VITÓRIA   ,61.5 mil,15,  11 ,  3 ,  1 ,  3 ,  0 ,Camille,Ornn,Alistar,Vladimir,Braum
2018.0,spring,CBLOL,1,INTZ,Vivo Keyd,2.0,28:42,OK,red,ITZ,   DERROTA   ,43.1 mil,2,  0 ,  0 ,  0 ,  0 ,  0 ,Malzahar,Shen,Ezreal,Khazix,Sejuani
2018.0,spring,CBLOL,1,CNB,Kabum,1.0,32:15,OK,blue,CNB,   DERROTA   ,51.9 mil,9,  3 ,  0 ,  0 ,  2 ,  1 ,Camille,Zoe,Braum,Khazix,Alistar
2018.0,spring,CBLOL,1,CNB,Kabum,1.0,32:15,OK,red,KBM,   VITÓRIA   ,63.6 mil,12,  8 ,  1 ,  1 ,  2 ,  0 ,Sejuani,Shen,Kalista,Tristana,Varus
2018.0,spring,CBLOL,1,CNB,Kabum,2.0,30:39,OK,blue,KBM,   VITÓRIA   ,63.4 mil,11,  11 ,  2 ,  1 ,  2 ,  1 ,Sejuani,Shen,Kalista,Karma,Taric
2018.0,spring,CBLOL,1,CNB,Kabum,2.0,30:39,OK,red,CNB,   DERROTA   ,48.4 mil,5,  1 ,  0 ,  0 ,  0 ,  0 ,Zoe,Camille,Vladimir,Khazix,XinZhao
2018.0,spring,CBLOL,1,PAIN,Team oNe,1.0,46:09,OK,blue,PNG,   VITÓRIA   ,87.8 mil,16,  11 ,  5 ,  2 ,  1 ,  0 ,Gangplank,Shen,KogMaw,Illaoi,Kassadin
2018.0,spring,CBLOL,1,PAIN,Team oNe,1.0,46:09,OK,red,ONE,   DERROTA   ,80.0 mil,6,  2 ,  0 ,  0 ,  5 ,  1 ,TahmKench,Zoe,Ryze,Trundle,Sivir
2018.0,spring,CBLOL,1,PAIN,Team oNe,2.0,34:02,OK,blue,ONE,   DERROTA   ,59.8 mil,7,  2 ,  0 ,  0 ,  1 ,  0 ,TahmKench,Zoe,Ryze,Vladimir,Tristana
2018.0,spring,CBLOL,1,PAIN,Team oNe,2.0,34:02,OK,red,PNG,   VITÓRIA   ,64.1 mil,11,  11 ,  4 ,  1 ,  3 ,  1 ,Gangplank,KogMaw,Azir,Orianna,Zilean
2018.0,spring,CBLOL,1,RED Canids,ProGaming Esports,1.0,30:47,OK,blue,RED,   VITÓRIA   ,64.0 mil,9,  9 ,  1 ,  2 ,  1 ,  1 ,Ornn,Camille,TahmKench,Jayce,Alistar
2018.0,spring,CBLOL,1,RED Canids,ProGaming Esports,1.0,30:47,OK,red,PRG,   DERROTA   ,49.5 mil,0,  1 ,  0 ,  0 ,  0 ,  0 ,Kalista,KogMaw,Shen,Ryze,Malzahar
2018.0,spring,CBLOL,1,RED Canids,ProGaming Esports,2.0,34:29,OK,blue,PRG,   VITÓRIA   ,70.4 mil,15,  11 ,  3 ,  2 ,  2 ,  0 ,Shen,Braum,Ryze,Malzahar,Cassiopeia
