year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2018.0,summer,CBLOL,1,INTZ,Kabum,1.0,28:36,OK,blue,ITZ,   VITÓRIA   ,54.7 mil,17,  11 ,  3 ,  1 ,  1 ,  1 ,Vladimir,Yasuo,Irelia,Morgana,Braum
2018.0,summer,CBLOL,1,INTZ,Kabum,1.0,28:36,OK,red,KBM,   DERROTA   ,46.9 mil,7,  3 ,  0 ,  0 ,  2 ,  0 ,MasterYi,Mordekaiser,Graves,Leblanc,Ornn
2018.0,summer,CBLOL,1,INTZ,Kabum,2.0,31:07,OK,blue,KBM,   VITÓRIA   ,63.9 mil,22,  10 ,  2 ,  1 ,  1 ,  1 ,Lucian,Irelia,Camille,Skarner,Trundle
2018.0,summer,CBLOL,1,INTZ,Kabum,2.0,31:07,OK,red,ITZ,   DERROTA   ,48.6 mil,10,  0 ,  0 ,  0 ,  1 ,  0 ,Vladimir,Rakan,Mordekaiser,Caitlyn,Draven
2018.0,summer,CBLOL,1,INTZ,Kabum,3.0,34:12,OK,blue,ITZ,   VITÓRIA   ,63.5 mil,18,  10 ,  2 ,  2 ,  1 ,  1 ,Vladimir,Zoe,Irelia,Urgot,Kaisa
2018.0,summer,CBLOL,1,INTZ,Kabum,3.0,34:12,OK,red,KBM,   DERROTA   ,56.6 mil,9,  3 ,  0 ,  0 ,  2 ,  0 ,Mordekaiser,Graves,Rakan,Camille,Leblanc
2018.0,summer,CBLOL,1,Vivo Keyd,ProGaming Esports,1.0,27:06,OK,blue,VK,   VITÓRIA   ,58.1 mil,17,  11 ,  3 ,  1 ,  3 ,  1 ,Karthus,Taliyah,Lucian,Nidalee,Ezreal
2018.0,summer,CBLOL,1,Vivo Keyd,ProGaming Esports,1.0,27:06,OK,red,PRG,   DERROTA   ,39.6 mil,7,  0 ,  0 ,  0 ,  0 ,  0 ,Rakan,Graves,Karma,Shen,Alistar
2018.0,summer,CBLOL,1,Vivo Keyd,ProGaming Esports,2.0,32:40,OK,blue,PRG,   DERROTA   ,53.4 mil,8,  5 ,  0 ,  0 ,  2 ,  1 ,Rakan,Graves,Taliyah,Alistar,Pyke
2018.0,summer,CBLOL,1,Vivo Keyd,ProGaming Esports,2.0,32:40,OK,red,VK,   VITÓRIA   ,60.4 mil,16,  6 ,  1 ,  1 ,  2 ,  0 ,Yasuo,Lucian,Mordekaiser,Morgana,TahmKench
2018.0,summer,CBLOL,1,CNB,RED Canids,1.0,34:10,OK,blue,CNB,   VITÓRIA   ,62.3 mil,14,  11 ,  2 ,  1 ,  3 ,  0 ,Yasuo,Irelia,Ezreal,Chogath,Zoe
2018.0,summer,CBLOL,1,CNB,RED Canids,1.0,34:10,OK,red,RED,   DERROTA   ,56.9 mil,11,  4 ,  0 ,  0 ,  0 ,  1 ,Braum,Graves,Mordekaiser,Galio,XinZhao
2018.0,summer,CBLOL,1,CNB,RED Canids,2.0,25:27,OK,blue,RED,   DERROTA   ,37.7 mil,2,  3 ,  0 ,  0 ,  2 ,  0 ,Graves,Irelia,Ornn,Galio,Zoe
2018.0,summer,CBLOL,1,CNB,RED Canids,2.0,25:27,OK,red,CNB,   VITÓRIA   ,50.8 mil,11,  11 ,  2 ,  1 ,  1 ,  1 ,Ezreal,Alistar,Lucian,Leona,Chogath
2018.0,summer,CBLOL,1,Flamengo,IDM Gaming,1.0,44:05,OK,blue,FLA,   DERROTA   ,78.3 mil,16,  5 ,  0 ,  0 ,  4 ,  1 ,Rakan,Taliyah,Alistar,Pyke,Janna
2018.0,summer,CBLOL,1,Flamengo,IDM Gaming,1.0,44:05,OK,red,IDM,   VITÓRIA   ,84.9 mil,21,  9 ,  1 ,  3 ,  1 ,  0 ,Nidalee,Lucian,Braum,Ezreal,Mordekaiser
2018.0,summer,CBLOL,1,Flamengo,IDM Gaming,2.0,28:02,OK,blue,IDM,   DERROTA   ,42.0 mil,1,  1 ,  0 ,  0 ,  1 ,  0 ,Nidalee,Taliyah,Irelia,Ezreal,Zoe
2018.0,summer,CBLOL,1,Flamengo,IDM Gaming,2.0,28:02,OK,red,FLA,   VITÓRIA   ,57.3 mil,10,  10 ,  2 ,  1 ,  3 ,  1 ,Rakan,Ornn,Yasuo,Fiora,Jax
2018.0,summer,CBLOL,1,Flamengo,IDM Gaming,3.0,32:23,OK,blue,FLA,   DERROTA   ,51.4 mil,11,  2 ,  0 ,  0 ,  0 ,  0 ,Rakan,Yasuo,Taliyah,Pyke,Camille
