year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,1.0,27:41,OK,blue,RGA,   DEFEAT   ,45.2k,10,  1 ,  0 ,  1 ,  1 ,  1 ,Nidalee,Lulu,Graves,Ezreal,Xayah
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,1.0,27:41,OK,red,ESS,   VICTORY   ,56.6k,25,  8 ,  1 ,  0 ,  2 ,  0 ,XinZhao,Taliyah,Lucian,Alistar,Braum
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,2.0,30:57,OK,blue,ESS,   VICTORY   ,60.2k,16,  9 ,  1 ,  1 ,  3 ,  1 ,Morgana,XinZhao,Irelia,Olaf,Ryze
2018.0,summer,Challengers Korea,1,REVERSE Gaming,ES Sharks,2.0,30:57,OK,red,RGA,   DEFEAT   ,46.3k,6,  1 ,  0 ,  0 ,  0 ,  0 ,Nidalee,Graves,Taliyah,Alistar,Thresh
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,1.0,31:03,OK,blue,GCB,   VICTORY   ,61.8k,13,  9 ,  2 ,  1 ,  1 ,  0 ,Irelia,Camille,Yasuo,Ezreal,Mordekaiser
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,1.0,31:03,OK,red,APK,   DEFEAT   ,48.5k,7,  1 ,  0 ,  0 ,  2 ,  1 ,Lucian,Zoe,Singed,Chogath,Aatrox
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,2.0,27:01,OK,blue,APK,   DEFEAT   ,41.5k,7,  2 ,  0 ,  0 ,  0 ,  0 ,Morgana,Lulu,Ezreal,Alistar,Ornn
2018.0,summer,Challengers Korea,1,GC Busan Rising Star,SeolHaeOne Prince,2.0,27:01,OK,red,GCB,   VICTORY   ,53.1k,16,  8 ,  1 ,  1 ,  3 ,  1 ,Taliyah,Lucian,Camille,Yasuo,Xayah
2018.0,summer,Challengers Korea,1,SeolHaeOne Prince,Kongdoo,1.0,28:24,OK,blue,APK,   DEFEAT   ,46.9k,5,  1 ,  0 ,  0 ,  0 ,  1 ,MasterYi,Rakan,Nocturne,Yasuo,Mordekaiser
2018.0,summer,Challengers Korea,1,SeolHaeOne Prince,Kongdoo,1.0,28:24,OK,red,KDM,   VICTORY   ,57.6k,8,  9 ,  1 ,  1 ,  3 ,  0 ,Ryze,Irelia,Taliyah,Morgana,Ornn
2018.0,summer,Challengers Korea,1,SeolHaeOne Prince,Kongdoo,2.0,27:49,OK,blue,KDM,   VICTORY   ,52.4k,17,  8 ,  1 ,  1 ,  2 ,  1 ,Yasuo,XinZhao,Vladimir,Morgana,Thresh
2018.0,summer,Challengers Korea,1,SeolHaeOne Prince,Kongdoo,2.0,27:49,OK,red,APK,   DEFEAT   ,42.3k,9,  1 ,  0 ,  0 ,  1 ,  0 ,MasterYi,Taliyah,Irelia,Gangplank,Olaf
2018.0,summer,Challengers Korea,1,Damwon,ES Sharks,1.0,31:55,OK,blue,DWG,   VICTORY   ,66.1k,20,  9 ,  1 ,  1 ,  3 ,  1 ,Morgana,Zoe,Irelia,Skarner,Nocturne
2018.0,summer,Challengers Korea,1,Damwon,ES Sharks,1.0,31:55,OK,red,ESS,   DEFEAT   ,52.5k,5,  2 ,  0 ,  0 ,  1 ,  0 ,Camille,Taliyah,Yasuo,Jax,Lulu
2018.0,summer,Challengers Korea,1,Damwon,ES Sharks,2.0,29:46,OK,blue,ESS,   DEFEAT   ,48.3k,10,  3 ,  0 ,  0 ,  2 ,  0 ,Zoe,Camille,Yasuo,Olaf,XinZhao
2018.0,summer,Challengers Korea,1,Damwon,ES Sharks,2.0,29:46,OK,red,DWG,   VICTORY   ,62.0k,17,  8 ,  1 ,  1 ,  1 ,  0 ,Taliyah,Irelia,Morgana,Jayce,Cassiopeia
