year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,spring,DL,1,mCon Rotterdam,Echo Zulu,1.0,27:36,OK,blue,MCN,   VICTORY   ,50.8k,21,  7 ,  1 ,  1 ,  3 ,  2 ,Olaf,JarvanIV,Nautilus,Kled,Ornn
2020.0,spring,DL,1,mCon Rotterdam,Echo Zulu,1.0,27:36,OK,red,EZ,   DEFEAT   ,41.5k,9,  1 ,  0 ,  0 ,  1 ,  0 ,Karthus,Akali,Mordekaiser,Diana,Aatrox
2020.0,spring,DL,1,THRILL,PSV,1.0,32:21,OK,blue,PSV,   VICTORY   ,61.5k,17,  11 ,  3 ,  1 ,  3 ,  2 ,Lucian,Elise,Braum,Fiora,Camille
2020.0,spring,DL,1,THRILL,PSV,1.0,32:21,OK,red,TRL,   DEFEAT   ,50.0k,8,  1 ,  0 ,  0 ,  2 ,  0 ,Aphelios,Akali,MissFortune,Mordekaiser,Ornn
2020.0,spring,DL,1,mCon Rotterdam,Dynasty,1.0,28:00,OK,blue,DYN,   DEFEAT   ,40.3k,4,  2 ,  0 ,  0 ,  0 ,  0 ,Mordekaiser,Elise,MissFortune,Fiora,Diana
2020.0,spring,DL,1,mCon Rotterdam,Dynasty,1.0,28:00,OK,red,MCN,   VICTORY   ,50.3k,19,  8 ,  1 ,  0 ,  4 ,  2 ,Bard,Olaf,Akali,Thresh,Leona
2020.0,spring,DL,1,THRILL,Defusekids,1.0,23:51,OK,blue,TRL,   DEFEAT   ,36.3k,7,  1 ,  0 ,  0 ,  0 ,  1 ,Riven,Aphelios,Akali,Nautilus,Braum
2020.0,spring,DL,1,THRILL,Defusekids,1.0,23:51,OK,red,DK,   VICTORY   ,47.3k,15,  7 ,  1 ,  1 ,  3 ,  1 ,Renekton,Cassiopeia,Olaf,Varus,Irelia
2020.0,spring,DL,2,PSV,Dynasty,1.0,33:41,OK,blue,DYN,   DEFEAT   ,54.0k,9,  4 ,  0 ,  0 ,  2 ,  1 ,Mordekaiser,Lucian,Qiyana,Ornn,Rumble
2020.0,spring,DL,2,PSV,Dynasty,1.0,33:41,OK,red,PSV,   VICTORY   ,65.6k,18,  10 ,  2 ,  2 ,  3 ,  1 ,Akali,Bard,Senna,Camille,Aatrox
2020.0,spring,DL,2,Echo Zulu,Defusekids,1.0,27:02,OK,blue,DK,   VICTORY   ,51.0k,9,  11 ,  3 ,  1 ,  1 ,  2 ,Renekton,Sejuani,MissFortune,Orianna,Aatrox
2020.0,spring,DL,2,Echo Zulu,Defusekids,1.0,27:02,OK,red,EZ,   DEFEAT   ,39.1k,4,  0 ,  0 ,  0 ,  3 ,  0 ,Akali,LeeSin,Yasuo,Gangplank,Irelia
2020.0,spring,DL,2,PSV,mCon Rotterdam,1.0,33:11,OK,blue,PSV,   VICTORY   ,59.5k,19,  9 ,  2 ,  1 ,  1 ,  1 ,Senna,Thresh,Elise,Diana,Irelia
2020.0,spring,DL,2,PSV,mCon Rotterdam,1.0,33:11,OK,red,MCN,   DEFEAT   ,51.3k,11,  2 ,  0 ,  0 ,  4 ,  1 ,Akali,Leblanc,Cassiopeia,Zoe,RekSai
2020.0,spring,DL,2,Echo Zulu,THRILL,1.0,30:11,OK,blue,EZ,   VICTORY   ,54.4k,13,  9 ,  1 ,  1 ,  5 ,  1 ,Thresh,Yasuo,Qiyana,Renekton,Camille
2020.0,spring,DL,2,Echo Zulu,THRILL,1.0,30:11,OK,red,TRL,   DEFEAT   ,45.3k,5,  2 ,  0 ,  0 ,  0 ,  1 ,Ornn,Sejuani,JarvanIV,Aphelios,MissFortune
2020.0,spring,DL,3,Dynasty,THRILL,1.0,34:20,OK,blue,DYN,   VICTORY   ,62.1k,19,  8 ,  1 ,  2 ,  2 ,  1 ,Elise,Lucian,Senna,Fiora,Cassiopeia
2020.0,spring,DL,3,Dynasty,THRILL,1.0,34:20,OK,red,TRL,   DEFEAT   ,57.6k,16,  6 ,  1 ,  0 ,  4 ,  1 ,Bard,Sett,Akali,Xayah,Kled
2020.0,spring,DL,3,Defusekids,mCon Rotterdam,1.0,34:45,OK,blue,MCN,   DEFEAT   ,55.1k,12,  5 ,  1 ,  0 ,  2 ,  1 ,Lucian,Aphelios,Braum,Gangplank,Mordekaiser
2020.0,spring,DL,3,Defusekids,mCon Rotterdam,1.0,34:45,OK,red,DK,   VICTORY   ,62.9k,13,  9 ,  2 ,  1 ,  3 ,  1 ,Karthus,Thresh,MissFortune,TahmKench,Morgana
2020.0,spring,DL,3,Dynasty,Echo Zulu,1.0,34:51,OK,blue,DYN,   VICTORY   ,58.3k,9,  10 ,  2 ,  1 ,  2 ,  1 ,Senna,Mordekaiser,MissFortune,Orianna,Lucian
2020.0,spring,DL,3,Dynasty,Echo Zulu,1.0,34:51,OK,red,EZ,   DEFEAT   ,52.9k,6,  2 ,  0 ,  1 ,  4 ,  1 ,Bard,Akali,Olaf,JarvanIV,Kled
2020.0,spring,DL,3,Defusekids,PSV,1.0,32:06,OK,blue,DK,   DEFEAT   ,52.1k,5,  3 ,  0 ,  1 ,  1 ,  1 ,Renekton,Cassiopeia,Sett,Fiora,Jax
2020.0,spring,DL,3,Defusekids,PSV,1.0,32:06,OK,red,PSV,   VICTORY   ,57.8k,16,  9 ,  1 ,  1 ,  4 ,  1 ,Akali,Yasuo,Lucian,Thresh,Rakan
2020.0,spring,DL,4,mCon Rotterdam,THRILL,1.0,40:40,OK,blue,MCN,   DEFEAT   ,67.5k,16,  7 ,  1 ,  0 ,  3 ,  1 ,Cassiopeia,Rumble,Soraka,Gangplank,Orianna
2020.0,spring,DL,4,mCon Rotterdam,THRILL,1.0,40:40,OK,red,TRL,   VICTORY   ,71.6k,24,  9 ,  1 ,  1 ,  3 ,  1 ,Sett,Akali,Senna,Elise,Karthus
