year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2018.0,spring,EM,1,eSuba,LDLC OL,1.0,32:51,OK,blue,ESB,   DEFEAT   ,55.0k,9,  1 ,  0 ,  0 ,  0 ,  0 ,Galio,Camille,Kaisa,Ornn,Gangplank
2018.0,spring,EM,1,eSuba,LDLC OL,1.0,32:51,OK,red,DLC,   VICTORY   ,68.0k,11,  11 ,  3 ,  1 ,  3 ,  1 ,Swain,Khazix,Xayah,Sion,Morgana
2018.0,spring,EM,1,Team Forge,Movistar Riders,1.0,29:58,OK,blue,4G,   DEFEAT   ,45.5k,1,  1 ,  0 ,  0 ,  0 ,  0 ,Ryze,Vladimir,Camille,Thresh,Karma
2018.0,spring,EM,1,Team Forge,Movistar Riders,1.0,29:58,OK,red,MRS,   VICTORY   ,63.1k,14,  11 ,  3 ,  2 ,  4 ,  1 ,Swain,Rakan,Skarner,Morgana,Gangplank
2018.0,spring,EM,1,Could Be Better,KlikTech,1.0,29:27,OK,blue,CBB,   DEFEAT   ,42.6k,4,  0 ,  0 ,  0 ,  0 ,  1 ,Taliyah,Khazix,Swain,Xayah,Varus
2018.0,spring,EM,1,Could Be Better,KlikTech,1.0,29:27,OK,red,KLT,   VICTORY   ,61.5k,16,  10 ,  2 ,  1 ,  4 ,  0 ,Kaisa,Camille,Sion,Skarner,Olaf
2018.0,spring,EM,1,Team Ascent,K1CK Neosurf,1.0,34:08,OK,blue,ACT,   DEFEAT   ,57.9k,9,  5 ,  1 ,  0 ,  2 ,  1 ,Karma,Sion,Swain,Alistar,TahmKench
2018.0,spring,EM,1,Team Ascent,K1CK Neosurf,1.0,34:08,OK,red,K1K,   VICTORY   ,64.8k,11,  10 ,  1 ,  1 ,  2 ,  0 ,Khazix,Skarner,Trundle,Gangplank,Cassiopeia
2018.0,spring,EM,1,Spain5,eSuba,1.0,31:34,OK,blue,SP5,   DEFEAT   ,50.5k,6,  3 ,  0 ,  0 ,  0 ,  0 ,Xayah,Camille,Morgana,Braum,Alistar
2018.0,spring,EM,1,Spain5,eSuba,1.0,31:34,OK,red,ESB,   VICTORY   ,65.0k,17,  9 ,  1 ,  1 ,  3 ,  1 ,Kaisa,Swain,Caitlyn,Azir,Cassiopeia
2018.0,spring,EM,1,Packa Pappas Kappsack,Team Forge,1.0,31:37,OK,blue,PPK,   VICTORY   ,60.5k,10,  11 ,  3 ,  1 ,  4 ,  1 ,Cassiopeia,Swain,Kaisa,Ornn,Sion
2018.0,spring,EM,1,Packa Pappas Kappsack,Team Forge,1.0,31:37,OK,red,4G,   DEFEAT   ,50.0k,0,  1 ,  0 ,  0 ,  0 ,  0 ,Camille,Taliyah,Janna,Khazix,RekSai
2018.0,spring,EM,2,KlikTech,BIG,1.0,35:09,OK,blue,KLT,   VICTORY   ,70.6k,24,  9 ,  2 ,  2 ,  2 ,  0 ,Xayah,Kaisa,Morgana,Fiora,Thresh
2018.0,spring,EM,2,KlikTech,BIG,1.0,35:09,OK,red,BIG,   DEFEAT   ,60.4k,14,  3 ,  0 ,  0 ,  3 ,  0 ,Swain,Ryze,Gangplank,TahmKench,Janna
2018.0,spring,EM,2,K1CK Neosurf,Enclave Gaming,1.0,33:42,OK,blue,K1K,   VICTORY   ,63.7k,15,  11 ,  3 ,  1 ,  2 ,  1 ,Camille,Xayah,Trundle,Varus,Ezreal
2018.0,spring,EM,2,K1CK Neosurf,Enclave Gaming,1.0,33:42,OK,red,ENC,   DEFEAT   ,51.7k,4,  1 ,  0 ,  0 ,  1 ,  0 ,Swain,Kaisa,Caitlyn,Morgana,Janna
2018.0,spring,EM,2,LDLC OL,Spain5,1.0,24:32,OK,blue,TLD,   VICTORY   ,53.9k,17,  8 ,  1 ,  1 ,  1 ,  1 ,Zoe,Skarner,Xayah,Shen,Sion
2018.0,spring,EM,2,LDLC OL,Spain5,1.0,24:32,OK,red,SP5,   DEFEAT   ,38.3k,5,  1 ,  0 ,  0 ,  0 ,  0 ,Ryze,Morgana,Kaisa,Vladimir,LeeSin
2018.0,spring,EM,2,Movistar Riders,Packa Pappas Kappsack,1.0,,this row doesn't have MH_url,,,,,,,,,,,,,,,
2018.0,spring,EM,2,BIG,Could Be Better,1.0,26:10,OK,blue,BIG,   VICTORY   ,53.8k,21,  7 ,  1 ,  0 ,  2 ,  1 ,Cassiopeia,Trundle,Skarner,Warwick,Fiora
2018.0,spring,EM,2,BIG,Could Be Better,1.0,26:10,OK,red,CBB,   DEFEAT   ,40.8k,8,  0 ,  0 ,  0 ,  1 ,  0 ,Swain,Olaf,Jax,Kaisa,Ashe
