year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2018.0,summer,EM,1,Vodafone Giants,Szata Maga,1.0,47:55,OK,blue,VGIA,   DEFEAT   ,86.0k,7,  5 ,  0 ,  0 ,  3 ,  1 ,Corki,Poppy,Braum,JarvanIV,Leblanc
2018.0,summer,EM,1,Vodafone Giants,Szata Maga,1.0,47:55,OK,red,SM,   VICTORY   ,88.4k,16,  11 ,  2 ,  2 ,  3 ,  0 ,Kindred,Ryze,Alistar,Xayah,Varus
2018.0,summer,EM,1,mousesports,Ninjas in Pyjamas,1.0,31:06,OK,blue,MOU,   DEFEAT   ,50.4k,8,  2 ,  0 ,  0 ,  1 ,  0 ,Ryze,Gragas,Tristana,Ornn,Cassiopeia
2018.0,summer,EM,1,mousesports,Ninjas in Pyjamas,1.0,31:06,OK,red,NiP,   VICTORY   ,61.2k,16,  8 ,  1 ,  1 ,  2 ,  1 ,Zilean,Kindred,Urgot,Sejuani,Trundle
2018.0,summer,EM,1,Crvena zvezda,Gentside,1.0,23:19,OK,blue,CZV,   DEFEAT   ,33.3k,2,  2 ,  0 ,  0 ,  0 ,  1 ,Urgot,Olaf,Akali,Gangplank,Poppy
2018.0,summer,EM,1,Crvena zvezda,Gentside,1.0,23:19,OK,red,GEC,   VICTORY   ,45.3k,12,  8 ,  1 ,  1 ,  2 ,  0 ,Irelia,Heimerdinger,Kindred,Ornn,Chogath
2018.0,summer,EM,1,Enclave Gaming,Vodafone Giants,1.0,40:02,OK,blue,ENC,   VICTORY   ,74.3k,21,  9 ,  2 ,  1 ,  1 ,  0 ,Kindred,Irelia,Zilean,Camille,Leblanc
2018.0,summer,EM,1,Enclave Gaming,Vodafone Giants,1.0,40:02,OK,red,VGIA,   DEFEAT   ,80.3k,24,  9 ,  2 ,  1 ,  3 ,  1 ,Gragas,Akali,Draven,Olaf,Zac
2018.0,summer,EM,1,Szata Maga,mousesports,1.0,37:59,OK,blue,SM,   DEFEAT   ,62.8k,17,  6 ,  2 ,  0 ,  0 ,  1 ,Kindred,Khazix,Urgot,Ryze,Zilean
2018.0,summer,EM,1,Szata Maga,mousesports,1.0,37:59,OK,red,MOU,   VICTORY   ,68.4k,8,  9 ,  1 ,  2 ,  4 ,  0 ,Skarner,Gragas,Sejuani,Irelia,Corki
2018.0,summer,EM,1,Crvena zvezda,Ninjas in Pyjamas,1.0,28:23,OK,blue,CZV,   DEFEAT   ,42.8k,2,  3 ,  0 ,  0 ,  1 ,  1 ,Urgot,Olaf,Gragas,Poppy,Chogath
2018.0,summer,EM,1,Crvena zvezda,Ninjas in Pyjamas,1.0,28:23,OK,red,NiP,   VICTORY   ,56.1k,11,  11 ,  3 ,  1 ,  2 ,  0 ,Kindred,Sejuani,Skarner,Khazix,Ornn
2018.0,summer,EM,2,Gentside,Enclave Gaming,1.0,25:55,OK,blue,GEC,   VICTORY   ,51.1k,11,  8 ,  1 ,  1 ,  2 ,  0 ,Draven,Shen,Braum,Gangplank,Camille
2018.0,summer,EM,2,Gentside,Enclave Gaming,1.0,25:55,OK,red,ENC,   DEFEAT   ,39.5k,2,  1 ,  0 ,  0 ,  0 ,  1 ,Rakan,Akali,Sejuani,Orianna,Cassiopeia
2018.0,summer,EM,2,Vodafone Giants,mousesports,1.0,33:16,OK,blue,VGIA,   VICTORY   ,65.3k,15,  11 ,  3 ,  1 ,  4 ,  0 ,Urgot,Braum,Kindred,Leblanc,Sion
2018.0,summer,EM,2,Vodafone Giants,mousesports,1.0,33:16,OK,red,MOU,   DEFEAT   ,51.6k,2,  3 ,  0 ,  0 ,  0 ,  1 ,Irelia,Skarner,Camille,Gangplank,Akali
2018.0,summer,EM,2,Szata Maga,Crvena zvezda,1.0,38:51,OK,blue,SM,   VICTORY   ,73.8k,14,  11 ,  4 ,  2 ,  4 ,  1 ,Kindred,Heimerdinger,Morgana,Olaf,Syndra
2018.0,summer,EM,2,Szata Maga,Crvena zvezda,1.0,38:51,OK,red,CZV,   DEFEAT   ,63.8k,9,  3 ,  0 ,  0 ,  1 ,  0 ,Alistar,Trundle,Rakan,JarvanIV,Ornn
2018.0,summer,EM,2,Ninjas in Pyjamas,Enclave Gaming,1.0,31:38,OK,blue,NiP,   VICTORY   ,57.9k,8,  8 ,  1 ,  1 ,  2 ,  0 ,Draven,Sejuani,Braum,Darius,Gragas
2018.0,summer,EM,2,Ninjas in Pyjamas,Enclave Gaming,1.0,31:38,OK,red,ENC,   DEFEAT   ,51.9k,7,  4 ,  0 ,  0 ,  2 ,  1 ,Graves,Akali,Alistar,Kaisa,Varus
2018.0,summer,EM,2,Vodafone Giants,Crvena zvezda,1.0,27:30,OK,blue,VGIA,   VICTORY   ,56.6k,19,  11 ,  3 ,  1 ,  2 ,  1 ,Urgot,Morgana,Kindred,Gragas,Zac
2018.0,summer,EM,2,Vodafone Giants,Crvena zvezda,1.0,27:30,OK,red,CZV,   DEFEAT   ,40.6k,0,  2 ,  0 ,  0 ,  1 ,  0 ,Alistar,Skarner,Trundle,Orianna,Cassiopeia
2018.0,summer,EM,2,mousesports,Gentside,1.0,31:07,OK,blue,MOU,   VICTORY   ,61.5k,13,  11 ,  3 ,  1 ,  2 ,  0 ,Gragas,Rakan,Varus,Leblanc,Sion
2018.0,summer,EM,2,mousesports,Gentside,1.0,31:07,OK,red,GEC,   DEFEAT   ,45.7k,5,  1 ,  0 ,  0 ,  1 ,  1 ,Kindred,Zilean,Gangplank,Rumble,Trundle
