year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2019.0,summer,LCK,1,Jin Air,KT,1.0,31:11,OK,blue,JAG,   DEFEAT   ,48.0k,3,  0 ,  0 ,  0 ,  0 ,  0 ,Irelia,Sejuani,Sylas,Leblanc,Kaisa
2019.0,summer,LCK,1,Jin Air,KT,1.0,31:11,OK,red,KT,   VICTORY   ,64.0k,16,  9 ,  1 ,  1 ,  4 ,  1 ,Aatrox,Yuumi,RekSai,Varus,Ashe
2019.0,summer,LCK,1,Jin Air,KT,2.0,41:43,OK,blue,KT,   VICTORY   ,75.1k,13,  11 ,  5 ,  1 ,  3 ,  1 ,Irelia,Jayce,Sejuani,Ezreal,Leblanc
2019.0,summer,LCK,1,Jin Air,KT,2.0,41:43,OK,red,JAG,   DEFEAT   ,74.7k,17,  2 ,  0 ,  1 ,  3 ,  0 ,Ryze,Yuumi,Aatrox,Kindred,Yasuo
2019.0,summer,LCK,1,GenG,Damwon,1.0,33:33,OK,blue,GEN,   DEFEAT   ,55.8k,5,  1 ,  0 ,  0 ,  2 ,  0 ,Irelia,Taliyah,Ryze,Viktor,Yasuo
2019.0,summer,LCK,1,GenG,Damwon,1.0,33:33,OK,red,DWG,   VICTORY   ,68.6k,13,  11 ,  3 ,  1 ,  3 ,  0 ,Yuumi,Sylas,Neeko,Leblanc,Akali
2019.0,summer,LCK,1,GenG,Damwon,2.0,33:36,OK,blue,DWG,   DEFEAT   ,57.7k,4,  4 ,  0 ,  0 ,  2 ,  1 ,Neeko,Ryze,Yuumi,Kennen,Lissandra
2019.0,summer,LCK,1,GenG,Damwon,2.0,33:36,OK,red,GEN,   VICTORY   ,66.2k,16,  7 ,  1 ,  1 ,  3 ,  0 ,TahmKench,Sejuani,Irelia,Lux,Rakan
2019.0,summer,LCK,1,GenG,Damwon,3.0,35:22,OK,blue,GEN,   VICTORY   ,68.3k,16,  7 ,  1 ,  1 ,  1 ,  1 ,TahmKench,Ryze,Sona,Yasuo,Sivir
2019.0,summer,LCK,1,GenG,Damwon,3.0,35:22,OK,red,DWG,   DEFEAT   ,62.2k,8,  3 ,  0 ,  1 ,  3 ,  0 ,Ezreal,Yuumi,Sylas,Irelia,Leblanc
2019.0,summer,LCK,1,Sandbox,Hanwha,1.0,33:38,OK,blue,SB,   VICTORY   ,64.7k,15,  10 ,  2 ,  1 ,  4 ,  1 ,Irelia,Olaf,Sejuani,Braum,Xayah
2019.0,summer,LCK,1,Sandbox,Hanwha,1.0,33:38,OK,red,HLE,   DEFEAT   ,51.7k,9,  1 ,  0 ,  0 ,  1 ,  0 ,Aatrox,Yuumi,Neeko,Kennen,Jayce
2019.0,summer,LCK,1,Sandbox,Hanwha,2.0,34:38,OK,blue,HLE,   DEFEAT   ,56.1k,8,  0 ,  0 ,  0 ,  0 ,  0 ,Jayce,Irelia,Sejuani,Ezreal,Zoe
2019.0,summer,LCK,1,Sandbox,Hanwha,2.0,34:38,OK,red,SB,   VICTORY   ,70.4k,14,  11 ,  3 ,  2 ,  5 ,  1 ,Aatrox,Yuumi,Olaf,Kindred,Skarner
2019.0,summer,LCK,1,Griffin,Afreeca,1.0,37:58,OK,blue,GRF,   VICTORY   ,71.2k,16,  9 ,  1 ,  1 ,  3 ,  1 ,Irelia,Kindred,Ryze,Kalista,Lucian
2019.0,summer,LCK,1,Griffin,Afreeca,1.0,37:58,OK,red,AF,   DEFEAT   ,66.5k,14,  3 ,  0 ,  1 ,  3 ,  0 ,Aatrox,Yuumi,Sylas,Zoe,Ezreal
2019.0,summer,LCK,1,Griffin,Afreeca,2.0,45:28,OK,blue,AF,   VICTORY   ,92.5k,17,  11 ,  9 ,  4 ,  7 ,  1 ,Olaf,Vladimir,Yuumi,Lux,Irelia
