year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,spring,LCK,1,T1,Damwon,1.0,40:41,OK,blue,T1,   DEFEAT   ,71.9k,14,  4 ,  1 ,  1 ,  3 ,  2 ,Syndra,Taliyah,Lucian,Leblanc,Thresh
2020.0,spring,LCK,1,T1,Damwon,1.0,40:41,OK,red,DWG,   VICTORY   ,75.4k,20,  8 ,  1 ,  1 ,  3 ,  0 ,RekSai,Elise,Akali,Orianna,Nautilus
2020.0,spring,LCK,1,T1,Damwon,2.0,47:50,OK,blue,DWG,   DEFEAT   ,80.2k,10,  7 ,  0 ,  1 ,  3 ,  2 ,RekSai,Elise,Mordekaiser,Renekton,Aatrox
2020.0,spring,LCK,1,T1,Damwon,2.0,47:50,OK,red,T1,   VICTORY   ,86.7k,18,  9 ,  1 ,  1 ,  4 ,  0 ,Taliyah,Akali,Lucian,JarvanIV,Syndra
2020.0,spring,LCK,1,T1,Damwon,3.0,47:17,OK,blue,T1,   VICTORY   ,86.1k,9,  11 ,  3 ,  1 ,  5 ,  2 ,Mordekaiser,Lucian,Taliyah,Syndra,Ryze
2020.0,spring,LCK,1,T1,Damwon,3.0,47:17,OK,red,DWG,   DEFEAT   ,82.3k,7,  6 ,  0 ,  2 ,  2 ,  0 ,RekSai,Elise,Akali,Nautilus,Leblanc
2020.0,spring,LCK,1,KT,GenG,1.0,29:08,OK,blue,KT,   VICTORY   ,52.9k,11,  9 ,  1 ,  1 ,  4 ,  1 ,Irelia,Gragas,Akali,Nautilus,Leblanc
2020.0,spring,LCK,1,KT,GenG,1.0,29:08,OK,red,GEN,   DEFEAT   ,43.2k,2,  3 ,  0 ,  0 ,  0 ,  1 ,Olaf,Sett,Elise,Rumble,Blitzcrank
2020.0,spring,LCK,1,KT,GenG,2.0,26:49,OK,blue,GEN,   VICTORY   ,49.9k,8,  9 ,  2 ,  1 ,  4 ,  2 ,Olaf,Aphelios,JarvanIV,Aatrox,Mordekaiser
2020.0,spring,LCK,1,KT,GenG,2.0,26:49,OK,red,KT,   DEFEAT   ,40.1k,0,  2 ,  0 ,  0 ,  0 ,  0 ,Akali,Sett,Elise,Xayah,Varus
2020.0,spring,LCK,1,KT,GenG,3.0,31:18,OK,blue,KT,   DEFEAT   ,47.8k,5,  2 ,  0 ,  0 ,  2 ,  2 ,Akali,Kalista,Zoe,Leblanc,Nautilus
2020.0,spring,LCK,1,KT,GenG,3.0,31:18,OK,red,GEN,   VICTORY   ,56.8k,12,  10 ,  2 ,  1 ,  3 ,  0 ,Aphelios,Ornn,JarvanIV,Xayah,Leona
2020.0,spring,LCK,1,Sandbox,SeolHaeOne Prince,1.0,22:21,OK,blue,SB,   VICTORY   ,43.6k,16,  7 ,  1 ,  0 ,  3 ,  2 ,Rumble,Pantheon,Qiyana,Ornn,Orianna
2020.0,spring,LCK,1,Sandbox,SeolHaeOne Prince,1.0,22:21,OK,red,APK,   DEFEAT   ,33.0k,4,  0 ,  0 ,  0 ,  0 ,  0 ,Akali,Olaf,Elise,TahmKench,Leona
2020.0,spring,LCK,1,Sandbox,SeolHaeOne Prince,2.0,29:25,OK,blue,APK,   DEFEAT   ,42.2k,5,  0 ,  0 ,  0 ,  0 ,  0 ,Syndra,Olaf,Elise,Zoe,Orianna
2020.0,spring,LCK,1,Sandbox,SeolHaeOne Prince,2.0,29:25,OK,red,SB,   VICTORY   ,59.3k,21,  10 ,  2 ,  2 ,  4 ,  2 ,Rumble,Pantheon,Akali,Leblanc,Blitzcrank
2020.0,spring,LCK,1,Griffin,Afreeca,1.0,51:08,OK,blue,GRF,   DEFEAT   ,77.4k,11,  6 ,  1 ,  1 ,  2 ,  1 ,Rumble,Mordekaiser,Elise,Karthus,Braum
2020.0,spring,LCK,1,Griffin,Afreeca,1.0,51:08,OK,red,AF,   VICTORY   ,84.7k,10,  8 ,  1 ,  1 ,  6 ,  1 ,Taliyah,Yasuo,Akali,TahmKench,RekSai
2020.0,spring,LCK,1,Griffin,Afreeca,2.0,37:43,OK,blue,AF,   VICTORY   ,72.9k,23,  10 ,  2 ,  2 ,  4 ,  0 ,Syndra,Taliyah,Lucian,Leona,Leblanc
2020.0,spring,LCK,1,Griffin,Afreeca,2.0,37:43,OK,red,GRF,   DEFEAT   ,62.8k,18,  2 ,  0 ,  0 ,  1 ,  1 ,Akali,Sett,Elise,Rakan,Braum
2020.0,spring,LCK,1,Hanwha,T1,1.0,37:25,OK,blue,HLE,   VICTORY   ,71.6k,20,  9 ,  1 ,  1 ,  4 ,  1 ,RekSai,Leblanc,Lucian,Ryze,Nautilus
2020.0,spring,LCK,1,Hanwha,T1,1.0,37:25,OK,red,T1,   DEFEAT   ,60.1k,6,  2 ,  0 ,  0 ,  2 ,  1 ,Akali,Elise,Pantheon,LeeSin,Gragas
2020.0,spring,LCK,1,Hanwha,T1,2.0,29:10,OK,blue,T1,   VICTORY   ,51.1k,7,  10 ,  2 ,  1 ,  2 ,  1 ,Diana,Pantheon,Rumble,Lucian,Renekton
2020.0,spring,LCK,1,Hanwha,T1,2.0,29:10,OK,red,HLE,   DEFEAT   ,47.9k,4,  6 ,  0 ,  0 ,  2 ,  1 ,Akali,RekSai,Leblanc,Syndra,Yasuo
2020.0,spring,LCK,1,Hanwha,T1,3.0,43:02,OK,blue,HLE,   VICTORY   ,71.0k,16,  8 ,  1 ,  1 ,  4 ,  2 ,RekSai,JarvanIV,Akali,Leblanc,Mordekaiser
2020.0,spring,LCK,1,Hanwha,T1,3.0,43:02,OK,red,T1,   DEFEAT   ,72.0k,10,  6 ,  0 ,  1 ,  2 ,  0 ,Pantheon,Sett,Rumble,Blitzcrank,Lucian
2020.0,spring,LCK,1,DragonX,KT,1.0,34:28,OK,blue,DRX,   DEFEAT   ,54.2k,7,  2 ,  0 ,  0 ,  1 ,  0 ,JarvanIV,Olaf,Elise,Yuumi,Thresh
2020.0,spring,LCK,1,DragonX,KT,1.0,34:28,OK,red,KT,   VICTORY   ,63.3k,16,  9 ,  2 ,  1 ,  4 ,  2 ,Akali,Irelia,Lucian,MissFortune,Xayah
2020.0,spring,LCK,1,DragonX,KT,2.0,33:50,OK,blue,KT,   DEFEAT   ,50.5k,2,  3 ,  0 ,  0 ,  1 ,  2 ,Irelia,Akali,Lucian,Thresh,Morgana
2020.0,spring,LCK,1,DragonX,KT,2.0,33:50,OK,red,DRX,   VICTORY   ,65.6k,20,  11 ,  2 ,  1 ,  4 ,  0 ,Pantheon,Leblanc,Sett,Syndra,Qiyana
2020.0,spring,LCK,1,DragonX,KT,3.0,36:32,OK,blue,DRX,   VICTORY   ,66.6k,13,  10 ,  3 ,  2 ,  4 ,  1 ,Leblanc,Elise,Sett,Kennen,Rumble
2020.0,spring,LCK,1,DragonX,KT,3.0,36:32,OK,red,KT,   DEFEAT   ,59.3k,5,  4 ,  0 ,  0 ,  1 ,  0 ,Akali,Lucian,LeeSin,Thresh,Ornn
2020.0,spring,LCK,1,SeolHaeOne Prince,Damwon,1.0,31:43,OK,blue,APK,   DEFEAT   ,57.0k,15,  5 ,  1 ,  1 ,  4 ,  2 ,Sett,Lucian,Syndra,Aatrox,Irelia
2020.0,spring,LCK,1,SeolHaeOne Prince,Damwon,1.0,31:43,OK,red,DWG,   VICTORY   ,56.2k,12,  8 ,  1 ,  0 ,  1 ,  0 ,Pantheon,Akali,Elise,Zoe,Nautilus
2020.0,spring,LCK,1,SeolHaeOne Prince,Damwon,2.0,28:04,OK,blue,DWG,   VICTORY   ,57.9k,24,  10 ,  1 ,  0 ,  3 ,  2 ,Pantheon,Rumble,Qiyana,Renekton,Kled
2020.0,spring,LCK,1,SeolHaeOne Prince,Damwon,2.0,28:04,OK,red,APK,   DEFEAT   ,43.8k,8,  1 ,  0 ,  0 ,  1 ,  0 ,Akali,Syndra,Sett,RekSai,JarvanIV
2020.0,spring,LCK,1,GenG,Griffin,1.0,27:49,OK,blue,GEN,   VICTORY   ,52.4k,8,  11 ,  3 ,  1 ,  4 ,  2 ,Taliyah,Soraka,Mordekaiser,Qiyana,Tryndamere
2020.0,spring,LCK,1,GenG,Griffin,1.0,27:49,OK,red,GRF,   DEFEAT   ,42.6k,0,  3 ,  0 ,  0 ,  0 ,  0 ,Akali,LeeSin,Sett,MissFortune,Rakan
2020.0,spring,LCK,1,GenG,Griffin,2.0,39:22,OK,blue,GRF,   DEFEAT   ,60.6k,7,  3 ,  0 ,  0 ,  2 ,  1 ,Mordekaiser,LeeSin,Elise,Leblanc,Cassiopeia
2020.0,spring,LCK,1,GenG,Griffin,2.0,39:22,OK,red,GEN,   VICTORY   ,69.9k,13,  10 ,  2 ,  1 ,  4 ,  1 ,Taliyah,Akali,Soraka,Rumble,Galio
2020.0,spring,LCK,1,Sandbox,DragonX,1.0,35:27,OK,blue,SB,   VICTORY   ,67.2k,13,  10 ,  2 ,  2 ,  2 ,  1 ,Irelia,Ornn,LeeSin,Leblanc,Rumble
2020.0,spring,LCK,1,Sandbox,DragonX,1.0,35:27,OK,red,DRX,   DEFEAT   ,55.8k,5,  1 ,  0 ,  0 ,  3 ,  1 ,Lucian,Akali,Sett,Leona,Thresh
2020.0,spring,LCK,1,Sandbox,DragonX,2.0,32:22,OK,blue,DRX,   VICTORY   ,61.9k,17,  9 ,  1 ,  1 ,  1 ,  1 ,Elise,Olaf,Renekton,Leona,Irelia
