year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2018.0,spring,LCL,1,Gambit,M19,1.0,31:24,OK,blue,GMB,   ПОБЕДА   ,62.6 тыс.,11,  9 ,  2 ,  1 ,  2 ,  1 ,Nidalee,Khazix,Ryze,Jayce,Janna
2018.0,spring,LCL,1,Gambit,M19,1.0,31:24,OK,red,M19,   ПОРАЖЕНИЕ   ,49.7 тыс.,11,  0 ,  0 ,  0 ,  1 ,  0 ,Camille,Zoe,Nunu,Braum,TahmKench
2018.0,spring,LCL,1,Vaevictis eSports,Vega Squadron,1.0,32:03,OK,blue,VAE,   ПОРАЖЕНИЕ   ,49.2 тыс.,5,  2 ,  0 ,  0 ,  0 ,  0 ,Kalista,Gangplank,Zoe,Tristana,Braum
2018.0,spring,LCL,1,Vaevictis eSports,Vega Squadron,1.0,32:03,OK,red,VEG,   ПОБЕДА   ,56.9 тыс.,10,  9 ,  1 ,  1 ,  3 ,  0 ,JarvanIV,Nunu,Khazix,Kled,Jax
2018.0,spring,LCL,1,Team Just,RoX,1.0,38:07,OK,blue,TJ,   ПОРАЖЕНИЕ   ,63.9 тыс.,9,  2 ,  0 ,  0 ,  1 ,  0 ,Janna,Zoe,TahmKench,Jax,Poppy
2018.0,spring,LCL,1,Team Just,RoX,1.0,38:07,OK,red,ROX,   ПОБЕДА   ,75.8 тыс.,17,  9 ,  2 ,  1 ,  1 ,  1 ,Ryze,Azir,Galio,Cassiopeia,Malzahar
2018.0,spring,LCL,1,Dragon Army,Vega Squadron,1.0,39:14,OK,blue,DA,   ПОБЕДА   ,78.5 тыс.,17,  11 ,  3 ,  1 ,  4 ,  1 ,Galio,TahmKench,Zoe,Morgana,Leblanc
2018.0,spring,LCL,1,Dragon Army,Vega Squadron,1.0,39:14,OK,red,VEG,   ПОРАЖЕНИЕ   ,63.1 тыс.,7,  2 ,  0 ,  1 ,  2 ,  0 ,JarvanIV,Kalista,Azir,Xayah,Varus
2018.0,spring,LCL,1,Elements Pro Gaming,Vaevictis eSports,1.0,35:02,OK,blue,EPG,   ПОРАЖЕНИЕ   ,53.2 тыс.,6,  2 ,  0 ,  0 ,  1 ,  1 ,Azir,TahmKench,Jax,Lulu,Alistar
2018.0,spring,LCL,1,Elements Pro Gaming,Vaevictis eSports,1.0,35:02,OK,red,VAE,   ПОБЕДА   ,68.8 тыс.,14,  10 ,  2 ,  2 ,  2 ,  0 ,Galio,Kalista,Camille,Gangplank,Vladimir
2018.0,spring,LCL,1,Team Just,Dragon Army,1.0,26:30,OK,blue,TJ,   ПОРАЖЕНИЕ   ,41.7 тыс.,5,  3 ,  0 ,  0 ,  1 ,  1 ,Taliyah,Xayah,Zoe,Janna,Braum
