year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2018.0,summer,LCL,1,RoX,Gambit,1.0,25:43,OK,blue,ROX,   DEFEAT   ,39.2k,4,  3 ,  0 ,  0 ,  1 ,  0 ,Galio,Kindred,Rakan,DrMundo,Camille
2018.0,summer,LCL,1,RoX,Gambit,1.0,25:43,OK,red,GMB,   VICTORY   ,54.2k,19,  11 ,  2 ,  1 ,  1 ,  1 ,Aatrox,Taliyah,Nocturne,Darius,Fiora
2018.0,summer,LCL,1,Dragon Army,Team Just,1.0,30:16,OK,blue,DA,   VICTORY   ,57.6k,15,  10 ,  1 ,  1 ,  2 ,  1 ,Yasuo,Kindred,Camille,Nocturne,Trundle
2018.0,summer,LCL,1,Dragon Army,Team Just,1.0,30:16,OK,red,TJ,   DEFEAT   ,45.8k,6,  2 ,  0 ,  0 ,  1 ,  0 ,Aatrox,Zoe,Morgana,Fiddlesticks,Alistar
2018.0,summer,LCL,1,M19,Vega Squadron,1.0,47:14,OK,blue,M19,   VICTORY   ,92.9k,23,  10 ,  3 ,  3 ,  5 ,  1 ,Heimerdinger,Jhin,Aatrox,Galio,Fiora
2018.0,summer,LCL,1,M19,Vega Squadron,1.0,47:14,OK,red,VEG,   DEFEAT   ,82.5k,17,  8 ,  1 ,  0 ,  1 ,  0 ,Malzahar,Syndra,Yasuo,Singed,Ryze
2018.0,summer,LCL,1,Vaevictis eSports,Dragon Army,1.0,25:18,OK,blue,VS,   DEFEAT   ,40.4k,8,  3 ,  0 ,  0 ,  1 ,  0 ,Camille,Zoe,Swain,Trundle,Graves
2018.0,summer,LCL,1,Vaevictis eSports,Dragon Army,1.0,25:18,OK,red,DA,   VICTORY   ,49.1k,11,  9 ,  1 ,  1 ,  1 ,  1 ,Aatrox,Kindred,Taliyah,Darius,Xerath
2018.0,summer,LCL,1,Elements Pro Gaming,Team Just,1.0,28:02,OK,blue,EPG,   DEFEAT   ,43.0k,6,  3 ,  0 ,  0 ,  1 ,  1 ,Yasuo,Taliyah,Camille,Darius,Kennen
2018.0,summer,LCL,1,Elements Pro Gaming,Team Just,1.0,28:02,OK,red,TJ,   VICTORY   ,56.6k,19,  11 ,  2 ,  1 ,  2 ,  0 ,Aatrox,Zoe,Swain,Shen,DrMundo
2018.0,summer,LCL,1,M19,Vaevictis eSports,1.0,28:24,OK,blue,M19,   VICTORY   ,52.6k,13,  7 ,  1 ,  1 ,  3 ,  1 ,Kled,Galio,Aatrox,Jayce,Kindred
2018.0,summer,LCL,1,M19,Vaevictis eSports,1.0,28:24,OK,red,VS,   DEFEAT   ,41.9k,3,  2 ,  0 ,  0 ,  0 ,  0 ,Nidalee,Zoe,Graves,Yasuo,DrMundo
2018.0,summer,LCL,1,Dragon Army,Elements Pro Gaming,1.0,36:59,OK,blue,DA,   DEFEAT   ,58.7k,13,  4 ,  0 ,  0 ,  3 ,  1 ,Gnar,Kindred,Camille,Alistar,Shen
2018.0,summer,LCL,1,Dragon Army,Elements Pro Gaming,1.0,36:59,OK,red,EPG,   VICTORY   ,72.2k,17,  9 ,  1 ,  2 ,  1 ,  0 ,Nocturne,Taliyah,Aatrox,Nidalee,Gragas
2018.0,summer,LCL,1,Vega Squadron,Vaevictis eSports,1.0,26:35,OK,blue,VEG,   VICTORY   ,57.0k,24,  9 ,  2 ,  1 ,  2 ,  1 ,Kled,Kindred,Jayce,Trundle,Olaf
2018.0,summer,LCL,1,Vega Squadron,Vaevictis eSports,1.0,26:35,OK,red,VS,   DEFEAT   ,39.7k,9,  0 ,  0 ,  0 ,  0 ,  0 ,Graves,Aatrox,Zoe,Morgana,Pyke
2018.0,summer,LCL,1,Elements Pro Gaming,RoX,1.0,32:41,OK,blue,EPG,   DEFEAT   ,50.0k,4,  0 ,  0 ,  0 ,  0 ,  0 ,Taliyah,Nocturne,Camille,Fiddlesticks,TahmKench
2018.0,summer,LCL,1,Elements Pro Gaming,RoX,1.0,32:41,OK,red,ROX,   VICTORY   ,67.1k,14,  11 ,  3 ,  1 ,  2 ,  1 ,Aatrox,Swain,Rakan,Pyke,Lucian
2018.0,summer,LCL,1,Vega Squadron,Gambit,1.0,50:22,OK,blue,VEG,   DEFEAT   ,88.0k,16,  5 ,  0 ,  2 ,  1 ,  1 ,Galio,Fiddlesticks,Nocturne,Anivia,Zoe
2018.0,summer,LCL,1,Vega Squadron,Gambit,1.0,50:22,OK,red,GMB,   VICTORY   ,98.0k,25,  11 ,  4 ,  1 ,  5 ,  0 ,Aatrox,Taliyah,Camille,DrMundo,Sejuani
2018.0,summer,LCL,1,Team Just,RoX,1.0,34:46,OK,blue,TJ,   DEFEAT   ,55.5k,9,  5 ,  0 ,  0 ,  2 ,  1 ,Swain,Yasuo,Morgana,Braum,DrMundo
2018.0,summer,LCL,1,Team Just,RoX,1.0,34:46,OK,red,ROX,   VICTORY   ,66.5k,18,  9 ,  1 ,  1 ,  2 ,  0 ,Aatrox,Camille,Nocturne,Darius,Gangplank
2018.0,summer,LCL,1,Gambit,M19,1.0,32:58,OK,blue,GMB,   DEFEAT   ,55.1k,10,  4 ,  0 ,  0 ,  2 ,  0 ,Graves,Nidalee,Nocturne,Darius,Poppy
2018.0,summer,LCL,1,Gambit,M19,1.0,32:58,OK,red,M19,   VICTORY   ,60.7k,19,  10 ,  3 ,  1 ,  2 ,  1 ,Aatrox,Galio,Taliyah,Rakan,Pyke
2018.0,summer,LCL,2,Elements Pro Gaming,Vega Squadron,1.0,24:34,OK,blue,EPG,   DEFEAT   ,34.9k,6,  0 ,  0 ,  0 ,  0 ,  0 ,Galio,Ryze,Aatrox,Jayce,DrMundo
2018.0,summer,LCL,2,Elements Pro Gaming,Vega Squadron,1.0,24:34,OK,red,VEG,   VICTORY   ,49.7k,19,  9 ,  2 ,  1 ,  2 ,  1 ,Taliyah,Nocturne,Gangplank,Vladimir,Draven
2018.0,summer,LCL,2,Dragon Army,RoX,1.0,35:40,OK,blue,DA,   VICTORY   ,66.7k,16,  10 ,  2 ,  1 ,  4 ,  1 ,Yasuo,Irelia,Kindred,Gnar,Darius
2018.0,summer,LCL,2,Dragon Army,RoX,1.0,35:40,OK,red,ROX,   DEFEAT   ,53.6k,6,  2 ,  0 ,  0 ,  0 ,  0 ,Aatrox,Nocturne,Camille,Leblanc,Orianna
2018.0,summer,LCL,2,Vega Squadron,Team Just,1.0,36:27,OK,blue,VEG,   DEFEAT   ,61.6k,20,  4 ,  0 ,  0 ,  1 ,  0 ,Zoe,Yasuo,Kindred,Kennen,Darius
2018.0,summer,LCL,2,Vega Squadron,Team Just,1.0,36:27,OK,red,TJ,   VICTORY   ,71.7k,22,  9 ,  1 ,  2 ,  2 ,  1 ,Aatrox,Swain,Graves,Morgana,DrMundo
2018.0,summer,LCL,2,Gambit,Dragon Army,1.0,40:05,OK,blue,GMB,   DEFEAT   ,65.9k,8,  3 ,  0 ,  1 ,  0 ,  1 ,Camille,Nocturne,Trundle,Morgana,Irelia
2018.0,summer,LCL,2,Gambit,Dragon Army,1.0,40:05,OK,red,DA,   VICTORY   ,72.4k,15,  9 ,  2 ,  1 ,  6 ,  0 ,Aatrox,Kindred,Taliyah,Darius,Gnar
