year,season,league_name,week,team_1,team_2,set_number,state
2017.0,summer,LCS,1,Cloud9,CLG,1.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Cloud9,CLG,2.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Cloud9,CLG,3.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Immortals,Phoenix1,1.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Immortals,Phoenix1,2.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Immortals,Phoenix1,3.0,this row doesn't have MH_url
2017.0,summer,LCS,1,CLG,TL,1.0,this row doesn't have MH_url
2017.0,summer,LCS,1,CLG,TL,2.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Echo Fox,FlyQuest,1.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Echo Fox,FlyQuest,2.0,this row doesn't have MH_url
2017.0,summer,LCS,1,TSM,Cloud9,1.0,this row doesn't have MH_url
2017.0,summer,LCS,1,TSM,Cloud9,2.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Dignitas,Team EnVyUs,1.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Dignitas,Team EnVyUs,2.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Dignitas,Team EnVyUs,3.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Immortals,TSM,1.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Immortals,TSM,2.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Team EnVyUs,Phoenix1,1.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Team EnVyUs,Phoenix1,2.0,this row doesn't have MH_url
2017.0,summer,LCS,1,Team EnVyUs,Phoenix1,3.0,this row doesn't have MH_url
2017.0,summer,LCS,1,FlyQuest,Dignitas,1.0,this row doesn't have MH_url
2017.0,summer,LCS,1,FlyQuest,Dignitas,2.0,this row doesn't have MH_url
2017.0,summer,LCS,1,TL,Echo Fox,1.0,this row doesn't have MH_url
2017.0,summer,LCS,1,TL,Echo Fox,2.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Phoenix1,Cloud9,1.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Phoenix1,Cloud9,2.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Immortals,Team EnVyUs,1.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Immortals,Team EnVyUs,2.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Dignitas,TSM,1.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Dignitas,TSM,2.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Dignitas,TSM,3.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Echo Fox,CLG,1.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Echo Fox,CLG,2.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Echo Fox,CLG,3.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Immortals,FlyQuest,1.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Immortals,FlyQuest,2.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Immortals,FlyQuest,3.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Team EnVyUs,TL,1.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Team EnVyUs,TL,2.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Team EnVyUs,TL,3.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Echo Fox,Cloud9,1.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Echo Fox,Cloud9,2.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Dignitas,TL,1.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Dignitas,TL,2.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Dignitas,TL,3.0,this row doesn't have MH_url
2017.0,summer,LCS,2,CLG,TSM,1.0,this row doesn't have MH_url
2017.0,summer,LCS,2,CLG,TSM,2.0,this row doesn't have MH_url
2017.0,summer,LCS,2,CLG,TSM,3.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Phoenix1,FlyQuest,1.0,this row doesn't have MH_url
2017.0,summer,LCS,2,Phoenix1,FlyQuest,2.0,this row doesn't have MH_url
2017.0,summer,LCS,3,Immortals,TL,1.0,this row doesn't have MH_url
2017.0,summer,LCS,3,Immortals,TL,2.0,this row doesn't have MH_url
2017.0,summer,LCS,3,Team EnVyUs,Echo Fox,1.0,this row doesn't have MH_url
2017.0,summer,LCS,3,Team EnVyUs,Echo Fox,2.0,this row doesn't have MH_url
2017.0,summer,LCS,3,TL,TSM,1.0,this row doesn't have MH_url
2017.0,summer,LCS,3,TL,TSM,2.0,this row doesn't have MH_url
2017.0,summer,LCS,3,Immortals,Cloud9,1.0,this row doesn't have MH_url
2017.0,summer,LCS,3,Immortals,Cloud9,2.0,this row doesn't have MH_url
2017.0,summer,LCS,3,Immortals,Cloud9,3.0,this row doesn't have MH_url
2017.0,summer,LCS,3,FlyQuest,CLG,1.0,this row doesn't have MH_url
