year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2019.0,summer,LCS,1,Cloud9,FlyQuest,1.0,35:30,OK,blue,C9,   VICTORY   ,69.0k,21,  10 ,  3 ,  1 ,  2 ,  1 ,Draven,Rakan,RekSai,Ezreal,Sejuani
2019.0,summer,LCS,1,Cloud9,FlyQuest,1.0,35:30,OK,red,FLY,   DEFEAT   ,61.5k,14,  4 ,  0 ,  0 ,  2 ,  0 ,Sona,Yuumi,Jayce,Kaisa,Sivir
2019.0,summer,LCS,1,TL,TSM,1.0,29:42,OK,blue,TL,   VICTORY   ,59.1k,11,  11 ,  2 ,  1 ,  2 ,  0 ,Ryze,Yuumi,Aatrox,Draven,Sivir
2019.0,summer,LCS,1,TL,TSM,1.0,29:42,OK,red,TSM,   DEFEAT   ,45.8k,4,  0 ,  0 ,  0 ,  1 ,  1 ,Taric,Jayce,Akali,JarvanIV,RekSai
2019.0,summer,LCS,1,CLG,100 Thieves,1.0,31:59,OK,blue,CLG,   VICTORY   ,61.3k,12,  11 ,  3 ,  1 ,  3 ,  0 ,Irelia,Akali,Morgana,Jayce,Vladimir
2019.0,summer,LCS,1,CLG,100 Thieves,1.0,31:59,OK,red,100,   DEFEAT   ,49.0k,3,  3 ,  0 ,  0 ,  1 ,  1 ,Sylas,Ryze,Aatrox,Leblanc,Neeko
2019.0,summer,LCS,1,OpTic Gaming,Clutch Gaming,1.0,38:53,OK,blue,CG,   DEFEAT   ,62.0k,9,  3 ,  0 ,  0 ,  3 ,  0 ,Irelia,Yuumi,Ryze,Leblanc,Rakan
2019.0,summer,LCS,1,OpTic Gaming,Clutch Gaming,1.0,38:53,OK,red,OPT,   VICTORY   ,70.0k,14,  10 ,  2 ,  1 ,  2 ,  1 ,Aatrox,Taric,Sylas,Sivir,Kaisa
2019.0,summer,LCS,1,Golden Guardians,Echo Fox,1.0,28:36,OK,blue,GGS,   VICTORY   ,56.9k,10,  10 ,  2 ,  1 ,  4 ,  1 ,Yuumi,Taric,Aatrox,Kalista,Xayah
2019.0,summer,LCS,1,Golden Guardians,Echo Fox,1.0,28:36,OK,red,FOX,   DEFEAT   ,45.2k,2,  2 ,  0 ,  0 ,  0 ,  0 ,Varus,Galio,Jayce,Sejuani,Braum
2019.0,summer,LCS,1,Clutch Gaming,Cloud9,1.0,29:12,OK,blue,CG,   DEFEAT   ,44.6k,5,  3 ,  0 ,  0 ,  1 ,  1 ,Irelia,Yuumi,Aatrox,Hecarim,Kindred
2019.0,summer,LCS,1,Clutch Gaming,Cloud9,1.0,29:12,OK,red,C9,   VICTORY   ,59.0k,24,  10 ,  1 ,  1 ,  3 ,  0 ,Jayce,Rumble,Ryze,Neeko,Kennen
2019.0,summer,LCS,1,FlyQuest,Golden Guardians,1.0,30:30,OK,blue,FLY,   DEFEAT   ,49.4k,5,  1 ,  0 ,  0 ,  0 ,  0 ,Varus,Aatrox,Sylas,Akali,Velkoz
2019.0,summer,LCS,1,FlyQuest,Golden Guardians,1.0,30:30,OK,red,GGS,   VICTORY   ,58.8k,9,  11 ,  4 ,  1 ,  4 ,  1 ,Irelia,Taric,Yuumi,Skarner,Vi
2019.0,summer,LCS,1,Echo Fox,TL,1.0,28:36,OK,blue,FOX,   VICTORY   ,53.1k,11,  6 ,  1 ,  0 ,  1 ,  1 ,Ryze,Irelia,Aatrox,Rumble,Olaf
2019.0,summer,LCS,1,Echo Fox,TL,1.0,28:36,OK,red,TL,   DEFEAT   ,50.2k,8,  4 ,  0 ,  0 ,  3 ,  0 ,Yuumi,Jayce,Taric,JarvanIV,Camille
2019.0,summer,LCS,1,TSM,CLG,1.0,30:29,OK,blue,TSM,   VICTORY   ,57.3k,17,  7 ,  1 ,  1 ,  1 ,  0 ,Ryze,Yuumi,Sylas,Neeko,Leblanc
2019.0,summer,LCS,1,TSM,CLG,1.0,30:29,OK,red,CLG,   DEFEAT   ,51.3k,10,  3 ,  0 ,  0 ,  2 ,  1 ,Aatrox,Sejuani,Irelia,Akali,Yasuo
2019.0,summer,LCS,1,100 Thieves,OpTic Gaming,1.0,34:19,OK,blue,100,   DEFEAT   ,53.4k,6,  3 ,  0 ,  1 ,  2 ,  1 ,Ryze,Yuumi,Taric,Rakan,Leblanc
2019.0,summer,LCS,1,100 Thieves,OpTic Gaming,1.0,34:19,OK,red,OPT,   VICTORY   ,59.6k,9,  7 ,  1 ,  0 ,  2 ,  0 ,Aatrox,Sylas,Irelia,Braum,Thresh
2019.0,summer,LCS,2,Cloud9,Echo Fox,1.0,36:13,OK,blue,C9,   VICTORY   ,64.8k,13,  11 ,  3 ,  1 ,  3 ,  0 ,Irelia,Sylas,Yuumi,Rakan,Lux
2019.0,summer,LCS,2,Cloud9,Echo Fox,1.0,36:13,OK,red,FOX,   DEFEAT   ,59.3k,8,  2 ,  0 ,  0 ,  2 ,  0 ,Olaf,Ryze,Aatrox,Hecarim,Camille
2019.0,summer,LCS,2,TL,100 Thieves,1.0,,AttributeError,,,,,,,,,,,,,,,
2019.0,summer,LCS,2,TSM,FlyQuest,1.0,24:53,OK,blue,TSM,   DEFEAT   ,39.2k,5,  2 ,  0 ,  0 ,  0 ,  1 ,Irelia,Yuumi,Olaf,Ezreal,Sivir
2019.0,summer,LCS,2,TSM,FlyQuest,1.0,24:53,OK,red,FLY,   VICTORY   ,48.7k,10,  8 ,  2 ,  1 ,  3 ,  0 ,Aatrox,Sylas,Sejuani,Zilean,Camille
2019.0,summer,LCS,2,OpTic Gaming,CLG,1.0,29:22,OK,blue,OPT,   VICTORY   ,54.9k,13,  10 ,  2 ,  1 ,  2 ,  1 ,Sona,Yuumi,Ryze,Rakan,Orianna
2019.0,summer,LCS,2,OpTic Gaming,CLG,1.0,29:22,OK,red,CLG,   DEFEAT   ,45.1k,2,  2 ,  0 ,  0 ,  0 ,  0 ,Aatrox,Akali,Neeko,Jayce,Leona
2019.0,summer,LCS,2,Clutch Gaming,Golden Guardians,1.0,31:58,OK,blue,CG,   VICTORY   ,61.8k,12,  10 ,  3 ,  1 ,  4 ,  1 ,Olaf,Yuumi,Draven,Braum,TahmKench
2019.0,summer,LCS,2,Clutch Gaming,Golden Guardians,1.0,31:58,OK,red,GGS,   DEFEAT   ,51.5k,4,  2 ,  0 ,  0 ,  1 ,  0 ,Aatrox,Irelia,Ryze,Sivir,Xayah
2019.0,summer,LCS,2,CLG,TL,1.0,36:17,OK,blue,CLG,   VICTORY   ,68.7k,13,  10 ,  2 ,  2 ,  4 ,  1 ,Irelia,Sona,Xayah,Leblanc,Akali
2019.0,summer,LCS,2,CLG,TL,1.0,36:17,OK,red,TL,   DEFEAT   ,60.1k,8,  3 ,  0 ,  0 ,  2 ,  0 ,Yuumi,Ryze,Rumble,Lucian,Kaisa
2019.0,summer,LCS,2,100 Thieves,Clutch Gaming,1.0,36:56,OK,blue,100,   DEFEAT   ,62.0k,9,  0 ,  0 ,  0 ,  0 ,  0 ,Ryze,Jayce,Irelia,LeeSin,Leblanc
2019.0,summer,LCS,2,100 Thieves,Clutch Gaming,1.0,36:56,OK,red,CG,   VICTORY   ,69.5k,16,  11 ,  7 ,  3 ,  6 ,  1 ,Aatrox,Yuumi,Sylas,Hecarim,Camille
2019.0,summer,LCS,2,Echo Fox,TSM,1.0,36:08,OK,blue,FOX,   DEFEAT   ,60.9k,11,  3 ,  0 ,  1 ,  1 ,  1 ,Olaf,Irelia,Ryze,Leblanc,JarvanIV
2019.0,summer,LCS,2,Echo Fox,TSM,1.0,36:08,OK,red,TSM,   VICTORY   ,68.2k,21,  8 ,  1 ,  1 ,  4 ,  0 ,Sona,Camille,Sylas,Sejuani,Skarner
2019.0,summer,LCS,2,Golden Guardians,Cloud9,1.0,35:26,OK,blue,GGS,   VICTORY   ,65.3k,17,  8 ,  1 ,  1 ,  4 ,  0 ,Yuumi,Sona,Sylas,JarvanIV,Hecarim
2019.0,summer,LCS,2,Golden Guardians,Cloud9,1.0,35:26,OK,red,C9,   DEFEAT   ,58.2k,9,  4 ,  0 ,  1 ,  0 ,  1 ,Irelia,Ryze,Aatrox,Rumble,Jayce
