year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2019.0,summer,LCS_a,1,Cloud9 Academy,FlyQuest Academy,1.0,31:24,OK,blue,C9,   VICTORY   ,63.3k,19,  10 ,  1 ,  2 ,  3 ,  0 ,Irelia,Akali,Taric,Kennen,JarvanIV
2019.0,summer,LCS_a,1,Cloud9 Academy,FlyQuest Academy,1.0,31:24,OK,red,FLY,   DEFEAT   ,50.5k,9,  1 ,  0 ,  0 ,  2 ,  1 ,Aatrox,Jayce,Leblanc,Gnar,RekSai
2019.0,summer,LCS_a,1,CLG Academy,100 Thieves Academy,1.0,31:38,OK,blue,CLG,   VICTORY   ,62.3k,20,  9 ,  1 ,  1 ,  2 ,  1 ,Ryze,Irelia,Xayah,JarvanIV,Vladimir
2019.0,summer,LCS_a,1,CLG Academy,100 Thieves Academy,1.0,31:38,OK,red,100,   DEFEAT   ,51.2k,9,  1 ,  0 ,  0 ,  2 ,  0 ,Evelynn,Aatrox,Jayce,Nautilus,Galio
2019.0,summer,LCS_a,1,OpTic Gaming Academy,Clutch Gaming Academy,1.0,39:06,OK,blue,CG,   VICTORY   ,73.8k,21,  6 ,  1 ,  2 ,  3 ,  1 ,Yuumi,Ryze,Sona,Rengar,Lux
2019.0,summer,LCS_a,1,OpTic Gaming Academy,Clutch Gaming Academy,1.0,39:06,OK,red,OPT,   DEFEAT   ,75.6k,24,  11 ,  2 ,  1 ,  2 ,  0 ,Irelia,Aatrox,Jayce,Ezreal,Lucian
2019.0,summer,LCS_a,1,Golden Guardians Academy,Echo Fox Academy,1.0,47:42,OK,blue,FOX,   VICTORY   ,86.5k,22,  7 ,  1 ,  2 ,  2 ,  1 ,Yuumi,Irelia,Jayce,Gangplank,Rumble
2019.0,summer,LCS_a,1,Golden Guardians Academy,Echo Fox Academy,1.0,47:42,OK,red,GGS,   DEFEAT   ,83.4k,11,  10 ,  2 ,  1 ,  5 ,  0 ,Ryze,Aatrox,Sylas,Neeko,Azir
2019.0,summer,LCS_a,1,Clutch Gaming Academy,Cloud9 Academy,1.0,28:41,OK,blue,CG,   VICTORY   ,55.3k,27,  7 ,  1 ,  0 ,  3 ,  0 ,Yuumi,Ryze,Sona,Yasuo,Riven
2019.0,summer,LCS_a,1,Clutch Gaming Academy,Cloud9 Academy,1.0,28:41,OK,red,C9,   DEFEAT   ,53.5k,20,  3 ,  0 ,  1 ,  1 ,  1 ,Irelia,Aatrox,Jayce,Neeko,Kennen
2019.0,summer,LCS_a,1,FlyQuest Academy,Golden Guardians Academy,1.0,20:15,OK,blue,FLY,   DEFEAT   ,27.7k,1,  0 ,  0 ,  0 ,  0 ,  0 ,Yuumi,Akali,Irelia,Nautilus,Thresh
2019.0,summer,LCS_a,1,FlyQuest Academy,Golden Guardians Academy,1.0,20:15,OK,red,GGS,   VICTORY   ,41.1k,10,  10 ,  1 ,  0 ,  3 ,  1 ,Ryze,Aatrox,Olaf,Kindred,Hecarim
2019.0,summer,LCS_a,1,Echo Fox Academy,TL Academy,1.0,34:18,OK,blue,FOX,   DEFEAT   ,55.6k,10,  1 ,  0 ,  0 ,  1 ,  0 ,Yuumi,Irelia,Akali,Kennen,Neeko
2019.0,summer,LCS_a,1,Echo Fox Academy,TL Academy,1.0,34:18,OK,red,TL,   VICTORY   ,69.2k,22,  11 ,  3 ,  1 ,  3 ,  1 ,Ryze,Taric,Jayce,Olaf,Azir
2019.0,summer,LCS_a,1,TSM Academy,CLG Academy,1.0,32:58,OK,blue,TSM,   VICTORY   ,63.3k,19,  9 ,  1 ,  1 ,  4 ,  1 ,Irelia,Akali,Sylas,RekSai,Gangplank
2019.0,summer,LCS_a,1,TSM Academy,CLG Academy,1.0,32:58,OK,red,CLG,   DEFEAT   ,51.8k,9,  2 ,  0 ,  0 ,  1 ,  0 ,Ryze,Aatrox,Jayce,Vladimir,Neeko
2019.0,summer,LCS_a,1,100 Thieves Academy,OpTic Gaming Academy,1.0,30:11,OK,blue,100,   DEFEAT   ,46.8k,6,  4 ,  0 ,  0 ,  1 ,  1 ,Yuumi,Ryze,Akali,Ornn,Lissandra
2019.0,summer,LCS_a,1,100 Thieves Academy,OpTic Gaming Academy,1.0,30:11,OK,red,OPT,   VICTORY   ,57.6k,12,  10 ,  2 ,  1 ,  2 ,  0 ,Irelia,Aatrox,Sylas,RekSai,Elise
2019.0,summer,LCS_a,1,TL Academy,TSM Academy,1.0,35:39,OK,blue,TL,   DEFEAT   ,60.5k,17,  4 ,  0 ,  0 ,  1 ,  0 ,Ryze,Taric,Aatrox,Neeko,Orianna
2019.0,summer,LCS_a,1,TL Academy,TSM Academy,1.0,35:39,OK,red,TSM,   VICTORY   ,66.8k,20,  10 ,  1 ,  2 ,  4 ,  1 ,Sylas,Yuumi,Irelia,Kennen,Poppy
2019.0,summer,LCS_a,2,TL Academy,100 Thieves Academy,1.0,35:31,OK,blue,TL,   VICTORY   ,70.7k,17,  11 ,  2 ,  2 ,  3 ,  1 ,Yuumi,Jayce,Irelia,Rakan,Lux
2019.0,summer,LCS_a,2,TL Academy,100 Thieves Academy,1.0,35:31,OK,red,100,   DEFEAT   ,54.6k,7,  1 ,  0 ,  0 ,  2 ,  0 ,JarvanIV,Ryze,Kennen,LeeSin,Rumble
2019.0,summer,LCS_a,2,TSM Academy,FlyQuest Academy,1.0,24:57,OK,blue,TSM,   VICTORY   ,51.7k,14,  10 ,  2 ,  1 ,  2 ,  1 ,Sylas,Leblanc,Ryze,Nautilus,Kalista
2019.0,summer,LCS_a,2,TSM Academy,FlyQuest Academy,1.0,24:57,OK,red,FLY,   DEFEAT   ,35.5k,2,  0 ,  0 ,  0 ,  0 ,  0 ,Yuumi,Sona,Xayah,Sivir,Lucian
2019.0,summer,LCS_a,2,OpTic Gaming Academy,CLG Academy,1.0,27:08,OK,blue,CLG,   DEFEAT   ,40.2k,6,  1 ,  0 ,  0 ,  1 ,  1 ,Ryze,Akali,Nautilus,Zilean,Morgana
2019.0,summer,LCS_a,2,OpTic Gaming Academy,CLG Academy,1.0,27:08,OK,red,OPT,   VICTORY   ,52.6k,18,  10 ,  2 ,  1 ,  2 ,  0 ,Aatrox,Irelia,Sylas,Olaf,RekSai
2019.0,summer,LCS_a,2,Clutch Gaming Academy,Golden Guardians Academy,1.0,35:52,OK,blue,CG,   DEFEAT   ,58.2k,14,  1 ,  0 ,  1 ,  0 ,  0 ,Yuumi,Sona,Leblanc,TahmKench,Renekton
2019.0,summer,LCS_a,2,Clutch Gaming Academy,Golden Guardians Academy,1.0,35:52,OK,red,GGS,   VICTORY   ,67.5k,20,  11 ,  4 ,  1 ,  4 ,  1 ,Aatrox,Ryze,Jayce,Sivir,Xayah
2019.0,summer,LCS_a,2,CLG Academy,TL Academy,1.0,35:56,OK,blue,TL,   VICTORY   ,68.5k,17,  11 ,  2 ,  1 ,  4 ,  1 ,Yuumi,Corki,Irelia,Nautilus,Morgana
2019.0,summer,LCS_a,2,CLG Academy,TL Academy,1.0,35:56,OK,red,CLG,   DEFEAT   ,56.9k,10,  2 ,  0 ,  0 ,  1 ,  0 ,Kennen,Aatrox,Sylas,JarvanIV,Kled
2019.0,summer,LCS_a,2,100 Thieves Academy,Clutch Gaming Academy,1.0,32:57,OK,blue,100,   VICTORY   ,62.1k,17,  10 ,  2 ,  1 ,  1 ,  1 ,Pyke,Elise,Yuumi,Sejuani,Camille
2019.0,summer,LCS_a,2,100 Thieves Academy,Clutch Gaming Academy,1.0,32:57,OK,red,CG,   DEFEAT   ,54.6k,13,  4 ,  0 ,  0 ,  3 ,  0 ,Irelia,Ryze,Jayce,Morgana,Lux
2019.0,summer,LCS_a,2,Echo Fox Academy,TSM Academy,1.0,34:41,OK,blue,FOX,   DEFEAT   ,52.9k,8,  0 ,  0 ,  0 ,  1 ,  0 ,Sona,Xayah,Aatrox,Rumble,Akali
2019.0,summer,LCS_a,2,Echo Fox Academy,TSM Academy,1.0,34:41,OK,red,TSM,   VICTORY   ,60.9k,16,  9 ,  2 ,  1 ,  4 ,  1 ,Sylas,Ryze,Irelia,Sejuani,JarvanIV
2019.0,summer,LCS_a,2,Golden Guardians Academy,Cloud9 Academy,1.0,33:28,OK,blue,GGS,   DEFEAT   ,58.5k,12,  8 ,  2 ,  1 ,  3 ,  1 ,Yuumi,Olaf,Sejuani,Hecarim,Vi
