year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,spring,LCS_a,1,Cloud9 Academy,TL Academy,1.0,35:22,OK,blue,C9,   VICTORY   ,63.0k,20,  6 ,  1 ,  0 ,  4 ,  1 ,Kennen,Qiyana,Irelia,Nautilus,Leblanc
2020.0,spring,LCS_a,1,Cloud9 Academy,TL Academy,1.0,35:22,OK,red,TL,   DEFEAT   ,59.6k,10,  4 ,  0 ,  1 ,  1 ,  0 ,Akali,Lucian,Elise,Ryze,Pantheon
2020.0,spring,LCS_a,1,Dignitas Academy,Evil Geniuses Academy,1.0,,AttributeError,,,,,,,,,,,,,,,
2020.0,spring,LCS_a,1,TSM Academy,Immortals Academy,1.0,31:17,OK,blue,TSM,   DEFEAT   ,47.6k,10,  2 ,  0 ,  0 ,  0 ,  2 ,Elise,Ornn,Mordekaiser,Senna,MissFortune
2020.0,spring,LCS_a,1,TSM Academy,Immortals Academy,1.0,31:17,OK,red,IMT,   VICTORY   ,57.8k,18,  9 ,  2 ,  1 ,  4 ,  0 ,Rumble,Akali,Lucian,Cassiopeia,Zoe
2020.0,spring,LCS_a,1,FlyQuest Academy,CLG Academy,1.0,30:57,OK,blue,FLY,   VICTORY   ,60.3k,23,  9 ,  1 ,  1 ,  4 ,  1 ,Elise,Lucian,Aphelios,Mordekaiser,Ryze
2020.0,spring,LCS_a,1,FlyQuest Academy,CLG Academy,1.0,30:57,OK,red,CLG,   DEFEAT   ,46.8k,7,  1 ,  0 ,  0 ,  0 ,  0 ,Akali,Cassiopeia,Senna,Varus,Fiora
2020.0,spring,LCS_a,1,100 Thieves Academy,Golden Guardians Academy,1.0,,AttributeError,,,,,,,,,,,,,,,
2020.0,spring,LCS_a,1,Golden Guardians Academy,Cloud9 Academy,1.0,30:40,OK,blue,GG,   VICTORY   ,56.3k,14,  9 ,  2 ,  1 ,  4 ,  2 ,Elise,Qiyana,Irelia,Thresh,Cassiopeia
2020.0,spring,LCS_a,1,Golden Guardians Academy,Cloud9 Academy,1.0,30:40,OK,red,C9,   DEFEAT   ,45.3k,4,  2 ,  0 ,  0 ,  0 ,  0 ,Akali,Lucian,Rumble,Yasuo,Leblanc
2020.0,spring,LCS_a,1,CLG Academy,Dignitas Academy,1.0,25:03,OK,blue,CLG,   DEFEAT   ,36.6k,4,  1 ,  0 ,  0 ,  0 ,  0 ,Mordekaiser,TahmKench,JarvanIV,Zoe,Orianna
2020.0,spring,LCS_a,1,CLG Academy,Dignitas Academy,1.0,25:03,OK,red,DIG,   VICTORY   ,50.7k,21,  8 ,  1 ,  1 ,  4 ,  2 ,Akali,Rumble,Lucian,Pantheon,Leblanc
2020.0,spring,LCS_a,1,Immortals Academy,FlyQuest Academy,1.0,30:18,OK,blue,FLY,   VICTORY   ,53.4k,9,  8 ,  1 ,  1 ,  3 ,  2 ,Ornn,Mordekaiser,LeeSin,Leblanc,Urgot
2020.0,spring,LCS_a,1,Immortals Academy,FlyQuest Academy,1.0,30:18,OK,red,IMT,   DEFEAT   ,44.3k,5,  1 ,  0 ,  0 ,  1 ,  0 ,Rumble,Akali,Lucian,Qiyana,Renekton
2020.0,spring,LCS_a,1,Evil Geniuses Academy,100 Thieves Academy,1.0,28:11,OK,blue,EG,   DEFEAT   ,39.6k,2,  1 ,  0 ,  0 ,  0 ,  2 ,Leblanc,Azir,Renekton,Irelia,Leona
2020.0,spring,LCS_a,1,Evil Geniuses Academy,100 Thieves Academy,1.0,28:11,OK,red,100,   VICTORY   ,52.7k,18,  10 ,  2 ,  1 ,  4 ,  0 ,Akali,Rumble,Senna,Varus,Thresh
2020.0,spring,LCS_a,1,TL Academy,TSM Academy,1.0,43:15,OK,blue,TL,   DEFEAT   ,71.5k,8,  8 ,  1 ,  2 ,  2 ,  1 ,Qiyana,Leblanc,Elise,Ryze,Ornn
2020.0,spring,LCS_a,1,TL Academy,TSM Academy,1.0,43:15,OK,red,TSM,   VICTORY   ,74.3k,15,  7 ,  1 ,  0 ,  5 ,  1 ,Akali,Rumble,Lucian,Rakan,Orianna
2020.0,spring,LCS_a,2,CLG Academy,100 Thieves Academy,1.0,25:36,OK,blue,CLG,   DEFEAT   ,39.3k,5,  2 ,  0 ,  0 ,  1 ,  2 ,Soraka,Pantheon,Elise,Leblanc,Syndra
2020.0,spring,LCS_a,2,CLG Academy,100 Thieves Academy,1.0,25:36,OK,red,100,   VICTORY   ,50.7k,19,  11 ,  2 ,  1 ,  3 ,  0 ,Akali,Sett,Rumble,Mordekaiser,Ryze
2020.0,spring,LCS_a,2,Cloud9 Academy,FlyQuest Academy,1.0,27:53,OK,blue,C9,   VICTORY   ,52.6k,17,  9 ,  2 ,  1 ,  4 ,  1 ,Elise,Soraka,Lucian,Gragas,Azir
2020.0,spring,LCS_a,2,Cloud9 Academy,FlyQuest Academy,1.0,27:53,OK,red,FLY,   DEFEAT   ,44.1k,10,  2 ,  0 ,  0 ,  0 ,  1 ,Akali,Rumble,Sett,RekSai,Olaf
2020.0,spring,LCS_a,2,Dignitas Academy,TL Academy,1.0,28:40,OK,blue,DIG,   VICTORY   ,54.2k,19,  8 ,  1 ,  1 ,  4 ,  1 ,JarvanIV,Syndra,Aphelios,MissFortune,Leblanc
2020.0,spring,LCS_a,2,Dignitas Academy,TL Academy,1.0,28:40,OK,red,TL,   DEFEAT   ,42.6k,4,  2 ,  0 ,  0 ,  0 ,  1 ,Akali,Elise,Lucian,Gragas,RekSai
2020.0,spring,LCS_a,2,Immortals Academy,Golden Guardians Academy,1.0,40:46,OK,blue,IMT,   VICTORY   ,73.9k,25,  8 ,  1 ,  2 ,  4 ,  1 ,Olaf,Rumble,Ornn,Leona,Mordekaiser
2020.0,spring,LCS_a,2,Immortals Academy,Golden Guardians Academy,1.0,40:46,OK,red,GG,   DEFEAT   ,61.7k,9,  3 ,  0 ,  1 ,  3 ,  1 ,Akali,Lucian,Elise,Thresh,Nautilus
2020.0,spring,LCS_a,2,Evil Geniuses Academy,TSM Academy,1.0,41:25,OK,blue,EG,   VICTORY   ,71.1k,8,  11 ,  5 ,  2 ,  4 ,  2 ,Mordekaiser,Lucian,Sett,Leblanc,Cassiopeia
2020.0,spring,LCS_a,2,Evil Geniuses Academy,TSM Academy,1.0,41:25,OK,red,TSM,   DEFEAT   ,63.5k,6,  0 ,  0 ,  0 ,  2 ,  0 ,Rumble,Akali,Syndra,JarvanIV,Gragas
2020.0,spring,LCS_a,2,Cloud9 Academy,Immortals Academy,1.0,28:20,OK,blue,C9,   DEFEAT   ,42.1k,7,  1 ,  0 ,  0 ,  1 ,  0 ,Elise,Soraka,Pantheon,Urgot,Ornn
2020.0,spring,LCS_a,2,Cloud9 Academy,Immortals Academy,1.0,28:20,OK,red,IMT,   VICTORY   ,52.5k,18,  8 ,  1 ,  1 ,  3 ,  2 ,Akali,Rumble,Lucian,RekSai,Olaf
