year,season,league_name,week,team_1,team_2,set_number,state
2017.0,summer,LDL,1,Team Fighter,Young Glory,1.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Team Fighter,Young Glory,2.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Vici Gaming,Young Miracles,1.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Vici Gaming,Young Miracles,2.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Vici Gaming,Young Miracles,3.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Royal Club,Legend Dragon,1.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Royal Club,Legend Dragon,2.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Oh My Dream,Moss Seven Club,1.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Oh My Dream,Moss Seven Club,2.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Team Hurricane,DS Gaming,1.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Team Hurricane,DS Gaming,2.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Joy Dream,Game Talents,1.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Joy Dream,Game Talents,2.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Young Glory,Vici Gaming,1.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Young Glory,Vici Gaming,2.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Legend Dragon,Team Fighter,1.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Legend Dragon,Team Fighter,2.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Young Miracles,Royal Club,1.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Young Miracles,Royal Club,2.0,this row doesn't have MH_url
2017.0,summer,LDL,1,DS Gaming,Joy Dream,1.0,this row doesn't have MH_url
2017.0,summer,LDL,1,DS Gaming,Joy Dream,2.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Game Talents,Oh My Dream,1.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Game Talents,Oh My Dream,2.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Moss Seven Club,Team Hurricane,1.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Moss Seven Club,Team Hurricane,2.0,this row doesn't have MH_url
2017.0,summer,LDL,1,Moss Seven Club,Team Hurricane,3.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Game Talents,Young Glory,1.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Game Talents,Young Glory,2.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Game Talents,Young Glory,3.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Moss Seven Club,Legend Dragon,1.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Moss Seven Club,Legend Dragon,2.0,this row doesn't have MH_url
2017.0,summer,LDL,2,DS Gaming,Young Miracles,1.0,this row doesn't have MH_url
2017.0,summer,LDL,2,DS Gaming,Young Miracles,2.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Joy Dream,Team Fighter,1.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Joy Dream,Team Fighter,2.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Joy Dream,Team Fighter,3.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Oh My Dream,Royal Club,1.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Oh My Dream,Royal Club,2.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Oh My Dream,Royal Club,3.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Team Hurricane,Vici Gaming,1.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Team Hurricane,Vici Gaming,2.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Team Hurricane,Vici Gaming,3.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Young Miracles,Moss Seven Club,1.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Young Miracles,Moss Seven Club,2.0,this row doesn't have MH_url
2017.0,summer,LDL,2,Young Glory,DS Gaming,1.0,this row doesn't have MH_url
