year,season,league_name,week,team_1,team_2,set_number,state
2019.0,spring,LDL,1,Suning S,FunPlus Phoenix Blaze,1.0,AttributeError
2019.0,spring,LDL,1,Suning S,FunPlus Phoenix Blaze,2.0,AttributeError
2019.0,spring,LDL,1,Suning S,FunPlus Phoenix Blaze,3.0,AttributeError
2019.0,spring,LDL,1,Bilibili Gaming Junior,V5 87,1.0,AttributeError
2019.0,spring,LDL,1,Bilibili Gaming Junior,V5 87,2.0,AttributeError
2019.0,spring,LDL,1,King of Future,LinGan eSports,1.0,AttributeError
2019.0,spring,LDL,1,King of Future,LinGan eSports,2.0,AttributeError
2019.0,spring,LDL,1,King of Future,LinGan eSports,3.0,AttributeError
2019.0,spring,LDL,1,EDG Youth Team,Triumphant Song Gaming,1.0,AttributeError
2019.0,spring,LDL,1,EDG Youth Team,Triumphant Song Gaming,2.0,AttributeError
2019.0,spring,LDL,1,Rogue Warriors Shark,Unlimited Potential,1.0,AttributeError
2019.0,spring,LDL,1,Rogue Warriors Shark,Unlimited Potential,2.0,AttributeError
2019.0,spring,LDL,1,Rogue Warriors Shark,Unlimited Potential,3.0,AttributeError
2019.0,spring,LDL,1,SinoDragon Prince,Legend Esport Gaming,1.0,AttributeError
2019.0,spring,LDL,1,SinoDragon Prince,Legend Esport Gaming,2.0,AttributeError
2019.0,spring,LDL,1,IG Young,Oh My Dream,1.0,AttributeError
2019.0,spring,LDL,1,IG Young,Oh My Dream,2.0,AttributeError
2019.0,spring,LDL,1,IG Young,Oh My Dream,3.0,AttributeError
2019.0,spring,LDL,1,Suning S,Shu Dai Xiong Gaming,1.0,AttributeError
2019.0,spring,LDL,1,Suning S,Shu Dai Xiong Gaming,2.0,AttributeError
2019.0,spring,LDL,1,FunPlus Phoenix Blaze,Young Miracles,1.0,AttributeError
2019.0,spring,LDL,1,FunPlus Phoenix Blaze,Young Miracles,2.0,AttributeError
2019.0,spring,LDL,1,Team WE Academy,Scorpio Game,1.0,AttributeError
2019.0,spring,LDL,1,Team WE Academy,Scorpio Game,2.0,AttributeError
2019.0,spring,LDL,1,Snake WuDu,Victorious Gaming,1.0,AttributeError
2019.0,spring,LDL,1,Snake WuDu,Victorious Gaming,2.0,AttributeError
2019.0,spring,LDL,1,VP Game,Gama Dream,1.0,AttributeError
2019.0,spring,LDL,1,VP Game,Gama Dream,2.0,AttributeError
2019.0,spring,LDL,1,VP Game,Gama Dream,3.0,AttributeError
2019.0,spring,LDL,1,Bilibili Gaming Junior,Snake WuDu,1.0,AttributeError
2019.0,spring,LDL,1,Bilibili Gaming Junior,Snake WuDu,2.0,AttributeError
2019.0,spring,LDL,1,Joy Dream,LinGan eSports,1.0,AttributeError
2019.0,spring,LDL,1,Joy Dream,LinGan eSports,2.0,AttributeError
2019.0,spring,LDL,1,Joy Dream,LinGan eSports,3.0,AttributeError
2019.0,spring,LDL,1,Vici Gaming Potential,Triumphant Song Gaming,1.0,AttributeError
2019.0,spring,LDL,1,Vici Gaming Potential,Triumphant Song Gaming,2.0,AttributeError
2019.0,spring,LDL,1,Oh My Dream,Legend Esport Gaming,1.0,AttributeError
2019.0,spring,LDL,1,Oh My Dream,Legend Esport Gaming,2.0,AttributeError
2019.0,spring,LDL,1,Royal Club,Unlimited Potential,1.0,AttributeError
2019.0,spring,LDL,1,Royal Club,Unlimited Potential,2.0,AttributeError
2019.0,spring,LDL,1,Royal Club,Unlimited Potential,3.0,AttributeError
2019.0,spring,LDL,1,IG Young,V5 87,1.0,AttributeError
2019.0,spring,LDL,1,IG Young,V5 87,2.0,AttributeError
2019.0,spring,LDL,1,Suning S,Vici Gaming Potential,1.0,AttributeError
2019.0,spring,LDL,1,Suning S,Vici Gaming Potential,2.0,AttributeError
2019.0,spring,LDL,1,Suning S,Vici Gaming Potential,3.0,AttributeError
