year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2019.0,spring,LEC,1,Fnatic,SK Gaming,1.0,30:49,OK,blue,FNC,   DEFEAT   ,54.1k,12,  4 ,  0 ,  0 ,  2 ,  1 ,Irelia,XinZhao,Rakan,Corki,Hecarim
2019.0,spring,LEC,1,Fnatic,SK Gaming,1.0,30:49,OK,red,SK,   VICTORY   ,57.3k,11,  8 ,  1 ,  1 ,  1 ,  0 ,Cassiopeia,Aatrox,Urgot,Swain,Galio
2019.0,spring,LEC,1,Splyce,Excel Esports,1.0,38:10,OK,blue,SPY,   VICTORY   ,71.6k,16,  10 ,  2 ,  2 ,  0 ,  0 ,Akali,Irelia,Galio,Xayah,Leblanc
2019.0,spring,LEC,1,Splyce,Excel Esports,1.0,38:10,OK,red,XL,   DEFEAT   ,60.8k,6,  4 ,  0 ,  0 ,  4 ,  1 ,Karthus,Cassiopeia,Lucian,Ryze,Lissandra
2019.0,spring,LEC,1,Team Vitality,FC Schalke,1.0,31:36,OK,blue,VIT,   DEFEAT   ,54.7k,8,  3 ,  0 ,  0 ,  0 ,  1 ,Lucian,Aatrox,Irelia,Leblanc,Khazix
2019.0,spring,LEC,1,Team Vitality,FC Schalke,1.0,31:36,OK,red,S04,   VICTORY   ,58.4k,12,  7 ,  1 ,  1 ,  3 ,  0 ,Galio,Cassiopeia,Draven,Rakan,Alistar
2019.0,spring,LEC,1,Rogue,Misfits,1.0,24:33,OK,blue,RGE,   VERLOREN   ,36.1 k,3,  0 ,  0 ,  0 ,  0 ,  0 ,Lucian,Irelia,Galio,Xayah,Kalista
2019.0,spring,LEC,1,Rogue,Misfits,1.0,24:33,OK,red,MSF,   GEWONNEN   ,50.0 k,12,  10 ,  1 ,  1 ,  4 ,  1 ,Cassiopeia,Aatrox,Ezreal,Caitlyn,
2019.0,spring,LEC,1,Origen,G2,1.0,27:14,OK,blue,OG,   VERLOREN   ,42.7 k,5,  2 ,  0 ,  0 ,  0 ,  1 ,Galio,Akali,Lucian,Nocturne,Yasuo
2019.0,spring,LEC,1,Origen,G2,1.0,27:14,OK,red,G2,   GEWONNEN   ,54.2 k,19,  9 ,  2 ,  1 ,  2 ,  0 ,Aatrox,Irelia,Sejuani,Khazix,XinZhao
2019.0,spring,LEC,1,G2,FC Schalke,1.0,24:08,OK,blue,G2,   GEWONNEN   ,53.0 k,22,  9 ,  1 ,  1 ,  3 ,  0 ,Irelia,Lucian,Galio,Leblanc,XinZhao
2019.0,spring,LEC,1,G2,FC Schalke,1.0,24:08,OK,red,S04,   VERLOREN   ,37.0 k,5,  1 ,  0 ,  0 ,  0 ,  1 ,Cassiopeia,Rakan,Jayce,Sion,Sejuani
2019.0,spring,LEC,1,Excel Esports,Rogue,1.0,27:32,OK,blue,XL,   GEWONNEN   ,52.4 k,12,  8 ,  1 ,  1 ,  4 ,  0 ,Irelia,Rakan,Viktor,Braum,Alistar
2019.0,spring,LEC,1,Excel Esports,Rogue,1.0,27:32,OK,red,RGE,   VERLOREN   ,44.2 k,3,  1 ,  0 ,  0 ,  0 ,  1 ,Cassiopeia,Aatrox,Urgot,Thresh,Janna
2019.0,spring,LEC,1,Splyce,Team Vitality,1.0,41:00,OK,blue,SPY,   VERLOREN   ,68.9 k,9,  3 ,  0 ,  0 ,  3 ,  0 ,Galio,Akali,Aatrox,Darius,Swain
2019.0,spring,LEC,1,Splyce,Team Vitality,1.0,41:00,OK,red,VIT,   GEWONNEN   ,75.5 k,11,  8 ,  1 ,  1 ,  2 ,  1 ,Lucian,Irelia,Urgot,Ezreal,Rakan
