year,season,league_name,week,team_1,team_2,set_number,state
2018.0,spring,LJL,1,PENTAGRAM,V3 Esports,1.0,this row doesn't have MH_url
2018.0,spring,LJL,1,PENTAGRAM,V3 Esports,2.0,this row doesn't have MH_url
2018.0,spring,LJL,1,PENTAGRAM,V3 Esports,3.0,this row doesn't have MH_url
2018.0,spring,LJL,1,Unsold Stuff Gaming,Rascal Jester,1.0,this row doesn't have MH_url
2018.0,spring,LJL,1,Unsold Stuff Gaming,Rascal Jester,2.0,this row doesn't have MH_url
2018.0,spring,LJL,1,Detonation FocusMe,7th heaven,1.0,this row doesn't have MH_url
2018.0,spring,LJL,1,Detonation FocusMe,7th heaven,2.0,this row doesn't have MH_url
2018.0,spring,LJL,1,Detonation FocusMe,7th heaven,3.0,this row doesn't have MH_url
2018.0,spring,LJL,2,V3 Esports,Rascal Jester,1.0,this row doesn't have MH_url
2018.0,spring,LJL,2,V3 Esports,Rascal Jester,2.0,this row doesn't have MH_url
2018.0,spring,LJL,2,V3 Esports,Rascal Jester,3.0,this row doesn't have MH_url
2018.0,spring,LJL,2,7th heaven,Unsold Stuff Gaming,1.0,this row doesn't have MH_url
2018.0,spring,LJL,2,7th heaven,Unsold Stuff Gaming,2.0,this row doesn't have MH_url
2018.0,spring,LJL,2,PENTAGRAM,Detonation FocusMe,1.0,this row doesn't have MH_url
2018.0,spring,LJL,2,PENTAGRAM,Detonation FocusMe,2.0,this row doesn't have MH_url
2018.0,spring,LJL,3,7th heaven,PENTAGRAM,1.0,this row doesn't have MH_url
2018.0,spring,LJL,3,7th heaven,PENTAGRAM,2.0,this row doesn't have MH_url
2018.0,spring,LJL,3,Unsold Stuff Gaming,V3 Esports,1.0,this row doesn't have MH_url
2018.0,spring,LJL,3,Unsold Stuff Gaming,V3 Esports,2.0,this row doesn't have MH_url
2018.0,spring,LJL,3,Unsold Stuff Gaming,V3 Esports,3.0,this row doesn't have MH_url
2018.0,spring,LJL,3,Rascal Jester,Detonation FocusMe,1.0,this row doesn't have MH_url
2018.0,spring,LJL,3,Rascal Jester,Detonation FocusMe,2.0,this row doesn't have MH_url
2018.0,spring,LJL,4,Detonation FocusMe,V3 Esports,1.0,this row doesn't have MH_url
2018.0,spring,LJL,4,Detonation FocusMe,V3 Esports,2.0,this row doesn't have MH_url
2018.0,spring,LJL,4,PENTAGRAM,Unsold Stuff Gaming,1.0,this row doesn't have MH_url
2018.0,spring,LJL,4,PENTAGRAM,Unsold Stuff Gaming,2.0,this row doesn't have MH_url
2018.0,spring,LJL,4,PENTAGRAM,Unsold Stuff Gaming,3.0,this row doesn't have MH_url
2018.0,spring,LJL,4,7th heaven,Rascal Jester,1.0,this row doesn't have MH_url
2018.0,spring,LJL,4,7th heaven,Rascal Jester,2.0,this row doesn't have MH_url
2018.0,spring,LJL,4,7th heaven,Rascal Jester,3.0,this row doesn't have MH_url
2018.0,spring,LJL,5,V3 Esports,7th heaven,1.0,this row doesn't have MH_url
2018.0,spring,LJL,5,V3 Esports,7th heaven,2.0,this row doesn't have MH_url
2018.0,spring,LJL,5,Rascal Jester,PENTAGRAM,1.0,this row doesn't have MH_url
2018.0,spring,LJL,5,Rascal Jester,PENTAGRAM,2.0,this row doesn't have MH_url
2018.0,spring,LJL,5,Rascal Jester,PENTAGRAM,3.0,this row doesn't have MH_url
2018.0,spring,LJL,5,Unsold Stuff Gaming,Detonation FocusMe,1.0,this row doesn't have MH_url
2018.0,spring,LJL,5,Unsold Stuff Gaming,Detonation FocusMe,2.0,this row doesn't have MH_url
2018.0,spring,LJL,6,Rascal Jester,Unsold Stuff Gaming,1.0,this row doesn't have MH_url
2018.0,spring,LJL,6,Rascal Jester,Unsold Stuff Gaming,2.0,this row doesn't have MH_url
2018.0,spring,LJL,6,7th heaven,Detonation FocusMe,1.0,this row doesn't have MH_url
2018.0,spring,LJL,6,7th heaven,Detonation FocusMe,2.0,this row doesn't have MH_url
2018.0,spring,LJL,6,V3 Esports,PENTAGRAM,1.0,this row doesn't have MH_url
2018.0,spring,LJL,6,V3 Esports,PENTAGRAM,2.0,this row doesn't have MH_url
2018.0,spring,LJL,6,V3 Esports,PENTAGRAM,3.0,this row doesn't have MH_url
2018.0,spring,LJL,7,Unsold Stuff Gaming,7th heaven,1.0,this row doesn't have MH_url
2018.0,spring,LJL,7,Unsold Stuff Gaming,7th heaven,2.0,this row doesn't have MH_url
2018.0,spring,LJL,7,Unsold Stuff Gaming,7th heaven,3.0,this row doesn't have MH_url
2018.0,spring,LJL,7,Rascal Jester,V3 Esports,1.0,this row doesn't have MH_url
2018.0,spring,LJL,7,Rascal Jester,V3 Esports,2.0,this row doesn't have MH_url
2018.0,spring,LJL,7,Rascal Jester,V3 Esports,3.0,this row doesn't have MH_url
2018.0,spring,LJL,7,Detonation FocusMe,PENTAGRAM,1.0,this row doesn't have MH_url
2018.0,spring,LJL,7,Detonation FocusMe,PENTAGRAM,2.0,this row doesn't have MH_url
2018.0,spring,LJL,7,Detonation FocusMe,PENTAGRAM,3.0,this row doesn't have MH_url
2018.0,spring,LJL,8,Detonation FocusMe,Rascal Jester,1.0,this row doesn't have MH_url
2018.0,spring,LJL,8,Detonation FocusMe,Rascal Jester,2.0,this row doesn't have MH_url
2018.0,spring,LJL,8,PENTAGRAM,7th heaven,1.0,this row doesn't have MH_url
2018.0,spring,LJL,8,PENTAGRAM,7th heaven,2.0,this row doesn't have MH_url
2018.0,spring,LJL,8,V3 Esports,Unsold Stuff Gaming,1.0,this row doesn't have MH_url
2018.0,spring,LJL,8,V3 Esports,Unsold Stuff Gaming,2.0,this row doesn't have MH_url
2018.0,spring,LJL,9,V3 Esports,Detonation FocusMe,1.0,this row doesn't have MH_url
