year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,spring,LJL,1,Detonation FocusMe,V3 Esports,1.0,24:37,OK,blue,DFM,   VICTORY   ,46.5k,13,  7 ,  1 ,  1 ,  3 ,  2 ,Soraka,Elise,Leblanc,Yasuo,Ornn
2020.0,spring,LJL,1,Detonation FocusMe,V3 Esports,1.0,24:37,OK,red,V3,   DEFEAT   ,36.1k,6,  1 ,  0 ,  0 ,  0 ,  0 ,Syndra,Sett,Akali,Thresh,Mordekaiser
2020.0,spring,LJL,1,V3 Esports,AXIZ,1.0,23:01,OK,blue,V3,   VICTORY   ,46.8k,19,  10 ,  1 ,  1 ,  3 ,  1 ,Syndra,Elise,JarvanIV,Soraka,Senna
2020.0,spring,LJL,1,V3 Esports,AXIZ,1.0,23:01,OK,red,AXZ,   DEFEAT   ,35.9k,4,  3 ,  0 ,  0 ,  0 ,  1 ,Akali,Lucian,Pantheon,Yasuo,Leblanc
2020.0,spring,LJL,1,AXIZ,Burning Core,1.0,34:28,OK,blue,BC,   VICTORY   ,61.6k,20,  8 ,  2 ,  1 ,  2 ,  2 ,Elise,Rumble,Mordekaiser,MissFortune,Kayle
2020.0,spring,LJL,1,AXIZ,Burning Core,1.0,34:28,OK,red,AXZ,   DEFEAT   ,55.8k,5,  4 ,  0 ,  0 ,  3 ,  0 ,Akali,Lucian,JarvanIV,Yasuo,Cassiopeia
2020.0,spring,LJL,1,Burning Core,Detonation FocusMe,1.0,,AttributeError,,,,,,,,,,,,,,,
2020.0,spring,LJL,1,Crest Gaming Act,Fukuoka SoftBank Hawks,1.0,31:45,OK,blue,CGA,   VICTORY   ,55.2k,13,  7 ,  1 ,  1 ,  2 ,  1 ,Syndra,Rumble,Lucian,Leona,Gangplank
2020.0,spring,LJL,1,Crest Gaming Act,Fukuoka SoftBank Hawks,1.0,31:45,OK,red,SHG,   DEFEAT   ,49.3k,8,  3 ,  0 ,  0 ,  3 ,  1 ,Draven,Akali,Elise,Leblanc,Qiyana
2020.0,spring,LJL,1,Fukuoka SoftBank Hawks,Sengoku Gaming,1.0,36:35,OK,blue,SG,   DEFEAT   ,57.1k,6,  3 ,  0 ,  0 ,  1 ,  2 ,Irelia,Sett,Lucian,Braum,Aatrox
2020.0,spring,LJL,1,Fukuoka SoftBank Hawks,Sengoku Gaming,1.0,36:35,OK,red,SHG,   VICTORY   ,65.7k,11,  8 ,  1 ,  2 ,  4 ,  0 ,Elise,Syndra,Rumble,Leona,Ornn
2020.0,spring,LJL,1,Sengoku Gaming,Rascal Jester,1.0,39:40,OK,blue,SG,   VICTORY   ,71.5k,15,  11 ,  3 ,  1 ,  4 ,  2 ,Elise,Sett,Soraka,Leona,Nautilus
2020.0,spring,LJL,1,Sengoku Gaming,Rascal Jester,1.0,39:40,OK,red,RJ,   DEFEAT   ,59.3k,3,  1 ,  0 ,  0 ,  2 ,  0 ,Akali,Aphelios,Lucian,LeeSin,RekSai
2020.0,spring,LJL,1,Rascal Jester,Crest Gaming Act,1.0,31:17,OK,blue,CGA,   DEFEAT   ,46.3k,8,  1 ,  0 ,  0 ,  1 ,  0 ,Syndra,Rumble,TahmKench,MissFortune,Varus
2020.0,spring,LJL,1,Rascal Jester,Crest Gaming Act,1.0,31:17,OK,red,RJ,   VICTORY   ,56.9k,22,  9 ,  2 ,  1 ,  3 ,  1 ,Akali,Senna,Lucian,Zoe,Leblanc
2020.0,spring,LJL,2,V3 Esports,Sengoku Gaming,1.0,,AttributeError,,,,,,,,,,,,,,,
2020.0,spring,LJL,2,Burning Core,V3 Esports,1.0,27:52,OK,blue,V3,   VICTORY   ,52.1k,10,  11 ,  2 ,  1 ,  3 ,  2 ,Sett,Syndra,JarvanIV,Braum,TahmKench
2020.0,spring,LJL,2,Burning Core,V3 Esports,1.0,27:52,OK,red,BC,   DEFEAT   ,38.3k,0,  0 ,  0 ,  0 ,  0 ,  0 ,Akali,Aphelios,Elise,Leona,Leblanc
2020.0,spring,LJL,2,Crest Gaming Act,Burning Core,1.0,34:55,OK,blue,CGA,   VICTORY   ,67.1k,26,  8 ,  1 ,  1 ,  2 ,  2 ,Syndra,Soraka,Rumble,Leona,Ryze
2020.0,spring,LJL,2,Crest Gaming Act,Burning Core,1.0,34:55,OK,red,BC,   DEFEAT   ,56.6k,16,  3 ,  0 ,  0 ,  3 ,  0 ,Akali,Zoe,Aphelios,Varus,Jhin
2020.0,spring,LJL,2,Sengoku Gaming,Crest Gaming Act,1.0,27:49,OK,blue,CGA,   VICTORY   ,48.5k,7,  8 ,  2 ,  1 ,  2 ,  0 ,Syndra,Soraka,Rumble,Leona,Yorick
2020.0,spring,LJL,2,Sengoku Gaming,Crest Gaming Act,1.0,27:49,OK,red,SG,   DEFEAT   ,46.2k,3,  4 ,  0 ,  0 ,  2 ,  2 ,Akali,Elise,Aphelios,Zoe,Lissandra
2020.0,spring,LJL,2,Detonation FocusMe,AXIZ,1.0,36:29,OK,blue,DFM,   VICTORY   ,67.6k,13,  11 ,  4 ,  2 ,  2 ,  2 ,Elise,Syndra,Akali,Leblanc,RekSai
2020.0,spring,LJL,2,Detonation FocusMe,AXIZ,1.0,36:29,OK,red,AXZ,   DEFEAT   ,54.0k,4,  0 ,  0 ,  0 ,  3 ,  0 ,Heimerdinger,JarvanIV,Rumble,Blitzcrank,Leona
2020.0,spring,LJL,2,Rascal Jester,Detonation FocusMe,1.0,43:26,OK,blue,RJ,   DEFEAT   ,66.3k,7,  3 ,  0 ,  1 ,  2 ,  1 ,Heimerdinger,Aatrox,JarvanIV,Leona,Braum
2020.0,spring,LJL,2,Rascal Jester,Detonation FocusMe,1.0,43:26,OK,red,DFM,   VICTORY   ,73.5k,16,  9 ,  1 ,  1 ,  4 ,  1 ,Soraka,Rumble,Sett,MissFortune,Leblanc
2020.0,spring,LJL,2,Fukuoka SoftBank Hawks,Rascal Jester,1.0,35:49,OK,blue,RJ,   DEFEAT   ,56.1k,8,  4 ,  0 ,  0 ,  2 ,  2 ,Lucian,JarvanIV,Akali,Leblanc,Zoe
2020.0,spring,LJL,2,Fukuoka SoftBank Hawks,Rascal Jester,1.0,35:49,OK,red,SHG,   VICTORY   ,63.5k,18,  6 ,  1 ,  1 ,  4 ,  0 ,Soraka,Rumble,Sett,Rakan,Thresh
2020.0,spring,LJL,2,AXIZ,Fukuoka SoftBank Hawks,1.0,37:36,OK,blue,SHG,   VICTORY   ,66.9k,15,  9 ,  1 ,  2 ,  3 ,  0 ,Karthus,Syndra,Elise,Zoe,Leblanc
2020.0,spring,LJL,2,AXIZ,Fukuoka SoftBank Hawks,1.0,37:36,OK,red,AXZ,   DEFEAT   ,55.7k,3,  3 ,  0 ,  0 ,  3 ,  2 ,Lucian,Akali,Sett,LeeSin,Gragas
2020.0,spring,LJL,3,Rascal Jester,AXIZ,1.0,31:31,OK,blue,AXZ,   VICTORY   ,55.7k,13,  10 ,  2 ,  1 ,  3 ,  2 ,Soraka,Rumble,Lucian,Rakan,Bard
2020.0,spring,LJL,3,Rascal Jester,AXIZ,1.0,31:31,OK,red,RJ,   DEFEAT   ,46.4k,1,  2 ,  0 ,  0 ,  2 ,  0 ,Aphelios,Sett,Akali,Qiyana,Pantheon
