year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,summer,LLA,1,Isurus,All Knights,1.0,34:06,OK,blue,AK,   VICTORY   ,61.0k,12,  9 ,  2 ,  0 ,  4 ,  2 ,Graves,Kalista,Thresh,Zoe,Leblanc
2020.0,summer,LLA,1,Isurus,All Knights,1.0,34:06,OK,red,ISG,   DEFEAT   ,55.4k,4,  3 ,  0 ,  1 ,  1 ,  0 ,Varus,Olaf,Syndra,Gangplank,Aatrox
2020.0,summer,LLA,1,XTEN,Furious Gaming,1.0,29:25,OK,blue,XTN,   VICTORY   ,55.2k,20,  10 ,  2 ,  1 ,  3 ,  2 ,Leblanc,Zoe,TwistedFate,Ornn,Olaf
2020.0,summer,LLA,1,XTEN,Furious Gaming,1.0,29:25,OK,red,FG,   DEFEAT   ,42.1k,1,  2 ,  0 ,  0 ,  1 ,  0 ,Varus,Syndra,Karma,Elise,Corki
2020.0,summer,LLA,1,Pixel Esports,Infinity Esports,1.0,36:27,OK,blue,INF,   VICTORY   ,65.5k,16,  10 ,  2 ,  1 ,  4 ,  1 ,Nidalee,Yuumi,Syndra,Braum,TahmKench
2020.0,summer,LLA,1,Pixel Esports,Infinity Esports,1.0,36:27,OK,red,PIX,   DEFEAT   ,56.1k,6,  2 ,  0 ,  0 ,  2 ,  1 ,Varus,Sett,Ezreal,Azir,Zoe
2020.0,summer,LLA,1,Rainbow7,Azules Esports,1.0,38:20,OK,blue,R7,   DEFEAT   ,64.5k,12,  7 ,  1 ,  1 ,  1 ,  2 ,Pantheon,Syndra,Sett,Renekton,Thresh
2020.0,summer,LLA,1,Rainbow7,Azules Esports,1.0,38:20,OK,red,UCH,   VICTORY   ,67.5k,15,  8 ,  1 ,  1 ,  5 ,  0 ,Varus,Karma,Senna,Yuumi,Morgana
2020.0,summer,LLA,1,Pixel Esports,Isurus,1.0,33:08,OK,blue,ISG,   VICTORY   ,65.3k,15,  11 ,  4 ,  2 ,  4 ,  2 ,Trundle,Karma,Galio,Braum,Orianna
2020.0,summer,LLA,1,Pixel Esports,Isurus,1.0,33:08,OK,red,PIX,   DEFEAT   ,47.6k,2,  0 ,  0 ,  0 ,  1 ,  0 ,Varus,Ezreal,Sett,Mordekaiser,Gangplank
2020.0,summer,LLA,1,XTEN,Azules Esports,1.0,32:53,OK,blue,XTN,   DEFEAT   ,55.5k,10,  3 ,  0 ,  1 ,  2 ,  2 ,Kalista,Zoe,Syndra,TahmKench,Yuumi
2020.0,summer,LLA,1,XTEN,Azules Esports,1.0,32:53,OK,red,UCH,   VICTORY   ,58.8k,9,  8 ,  1 ,  1 ,  3 ,  0 ,Varus,Senna,Karma,Leblanc,Tristana
2020.0,summer,LLA,1,Infinity Esports,Furious Gaming,1.0,28:22,OK,blue,INF,   VICTORY   ,55.4k,10,  11 ,  3 ,  1 ,  2 ,  1 ,Leblanc,Yuumi,Syndra,Zoe,Galio
2020.0,summer,LLA,1,Infinity Esports,Furious Gaming,1.0,28:22,OK,red,FG,   DEFEAT   ,43.5k,0,  2 ,  0 ,  0 ,  2 ,  1 ,Varus,Kalista,Sett,Corki,Azir
2020.0,summer,LLA,1,Rainbow7,All Knights,1.0,29:58,OK,blue,AK,   VICTORY   ,55.2k,14,  8 ,  1 ,  1 ,  3 ,  1 ,Graves,LeeSin,Zoe,Thresh,Nautilus
2020.0,summer,LLA,1,Rainbow7,All Knights,1.0,29:58,OK,red,R7,   DEFEAT   ,48.4k,9,  4 ,  0 ,  0 ,  1 ,  1 ,Varus,Aphelios,Karma,Nidalee,Olaf
2020.0,summer,LLA,2,Infinity Esports,Azules Esports,1.0,31:12,OK,blue,UCH,   VICTORY   ,57.5k,11,  7 ,  1 ,  1 ,  3 ,  1 ,Senna,Sett,Karma,MonkeyKing,Orianna
2020.0,summer,LLA,2,Infinity Esports,Azules Esports,1.0,31:12,OK,red,INF,   DEFEAT   ,52.9k,7,  5 ,  0 ,  0 ,  2 ,  1 ,Zoe,Syndra,Varus,Galio,TwistedFate
2020.0,summer,LLA,2,Isurus,Furious Gaming,1.0,43:02,OK,blue,FG,   VICTORY   ,71.8k,14,  7 ,  1 ,  1 ,  4 ,  1 ,Sett,Kalista,Thresh,LeeSin,JarvanIV
