year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,spring,LPLOL,1,Boavista,Estoril Praia eSports,1.0,32:02,OK,blue,BFC,   VICTORY   ,62.8k,22,  10 ,  2 ,  1 ,  3 ,  1 ,Olaf,Cassiopeia,Nautilus,Caitlyn,Yorick
2020.0,spring,LPLOL,1,Boavista,Estoril Praia eSports,1.0,32:02,OK,red,EPE,   DEFEAT   ,48.9k,7,  3 ,  0 ,  0 ,  2 ,  1 ,Blitzcrank,Akali,Aphelios,Vladimir,Rumble
2020.0,spring,LPLOL,1,For The Win,Electronik,1.0,36:36,OK,blue,FTW,   VICTORY   ,64.9k,17,  7 ,  1 ,  1 ,  5 ,  1 ,Leblanc,Irelia,Morgana,Aatrox,Camille
2020.0,spring,LPLOL,1,For The Win,Electronik,1.0,36:36,OK,red,EGN,   DEFEAT   ,55.0k,5,  4 ,  0 ,  0 ,  0 ,  1 ,Ornn,Rumble,Akali,Vladimir,Gangplank
2020.0,spring,LPLOL,1,Cidade Curiosa Esports,SAMCLAN,1.0,36:27,OK,blue,CC,   VICTORY   ,62.0k,10,  9 ,  1 ,  2 ,  5 ,  1 ,Karthus,Mordekaiser,Olaf,Vladimir,Kennen
2020.0,spring,LPLOL,1,Cidade Curiosa Esports,SAMCLAN,1.0,36:27,OK,red,SAM,   DEFEAT   ,56.1k,6,  4 ,  0 ,  0 ,  1 ,  1 ,Akali,Elise,MissFortune,Nautilus,Thresh
2020.0,spring,LPLOL,1,GeekCase,GTZ,1.0,30:45,OK,blue,GC,   DEFEAT   ,45.5k,6,  3 ,  0 ,  0 ,  1 ,  0 ,Mordekaiser,Akali,JarvanIV,Leblanc,Morgana
2020.0,spring,LPLOL,1,GeekCase,GTZ,1.0,30:45,OK,red,GTZ,   VICTORY   ,59.4k,23,  10 ,  2 ,  2 ,  3 ,  2 ,Galio,Zoe,Rakan,Xayah,Swain
2020.0,spring,LPLOL,1,SAMCLAN,GeekCase,1.0,29:55,OK,blue,SAM,   VICTORY   ,60.6k,29,  9 ,  1 ,  1 ,  4 ,  2 ,Olaf,RekSai,Zoe,Xayah,Tristana
2020.0,spring,LPLOL,1,SAMCLAN,GeekCase,1.0,29:55,OK,red,GC,   DEFEAT   ,44.5k,9,  1 ,  0 ,  0 ,  0 ,  0 ,Akali,Mordekaiser,Leblanc,Ryze,Kennen
2020.0,spring,LPLOL,1,GTZ,Boavista,1.0,35:28,OK,blue,GTZ,   DEFEAT   ,54.2k,13,  1 ,  0 ,  0 ,  3 ,  1 ,Blitzcrank,Rumble,Akali,Mordekaiser,Camille
2020.0,spring,LPLOL,1,GTZ,Boavista,1.0,35:28,OK,red,BFC,   VICTORY   ,66.7k,26,  9 ,  1 ,  1 ,  3 ,  1 ,Nautilus,Ornn,Thresh,Morgana,Leona
2020.0,spring,LPLOL,1,Electronik,Cidade Curiosa Esports,1.0,25:19,OK,blue,EGN,   VICTORY   ,47.1k,12,  8 ,  1 ,  1 ,  4 ,  2 ,Chogath,Nautilus,Ornn,Gangplank,Cassiopeia
2020.0,spring,LPLOL,1,Electronik,Cidade Curiosa Esports,1.0,25:19,OK,red,CC,   DEFEAT   ,35.3k,4,  0 ,  0 ,  0 ,  0 ,  0 ,Akali,Xayah,RekSai,Camille,Xerath
2020.0,spring,LPLOL,1,Estoril Praia eSports,For The Win,1.0,33:48,OK,blue,EPE,   DEFEAT   ,54.9k,14,  3 ,  0 ,  0 ,  1 ,  1 ,Rumble,Akali,MissFortune,Gangplank,Vladimir
