year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,1.0,26:50,OK,blue,DW,   VICTORY   ,55.0k,16,  9 ,  1 ,  1 ,  2 ,  0 ,Syndra,Galio,Thresh,Orianna,Cassiopeia
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,1.0,26:50,OK,red,CHF,   DEFEAT   ,38.8k,2,  0 ,  0 ,  0 ,  1 ,  1 ,Zac,Kassadin,Elise,Jayce,Fiora
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,2.0,37:21,OK,blue,CHF,   VICTORY   ,73.5k,21,  11 ,  3 ,  2 ,  3 ,  1 ,Kassadin,TahmKench,Fiora,Jayce,JarvanIV
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,2.0,37:21,OK,red,DW,   DEFEAT   ,63.1k,16,  1 ,  0 ,  0 ,  1 ,  0 ,Zac,Galio,Zyra,Zed,Syndra
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,3.0,33:28,OK,blue,DW,   VICTORY   ,66.1k,17,  9 ,  1 ,  2 ,  1 ,  1 ,Syndra,Galio,Thresh,Orianna,Cassiopeia
2017.0,summer,OPL,1,Dire Wolves,Chiefs Esports,3.0,33:28,OK,red,CHF,   DEFEAT   ,55.1k,11,  3 ,  0 ,  0 ,  3 ,  0 ,Zac,Kassadin,Elise,Fiora,Graves
2017.0,summer,OPL,1,Team Regicide,Abyss,1.0,29:45,OK,blue,AE,   VICTORY   ,58.1k,18,  10 ,  3 ,  1 ,  2 ,  1 ,Karma,Fiora,Jayce,Ekko,Zed
2017.0,summer,OPL,1,Team Regicide,Abyss,1.0,29:45,OK,red,RGC,   DEFEAT   ,43.7k,3,  0 ,  0 ,  0 ,  1 ,  0 ,,,,,
2017.0,summer,OPL,1,Team Regicide,Abyss,2.0,39:11,OK,blue,RGC,   VICTORY   ,75.0k,30,  10 ,  2 ,  1 ,  3 ,  1 ,,,,,
2017.0,summer,OPL,1,Team Regicide,Abyss,2.0,39:11,OK,red,AE,   DEFEAT   ,63.7k,18,  2 ,  0 ,  0 ,  1 ,  0 ,Karma,Fiora,Jayce,Ekko,Zed
2017.0,summer,OPL,1,Team Regicide,Abyss,3.0,37:12,OK,blue,AE,   VICTORY   ,70.8k,25,  8 ,  1 ,  1 ,  1 ,  0 ,Karma,Fiora,Jayce,JarvanIV,Renekton
2017.0,summer,OPL,1,Team Regicide,Abyss,3.0,37:12,OK,red,RGC,   DEFEAT   ,62.4k,18,  3 ,  0 ,  1 ,  3 ,  0 ,,,,,
2017.0,summer,OPL,1,Legacy Esports,Sin Gaming,1.0,39:07,OK,blue,LGC,   VICTORY   ,80.1k,20,  10 ,  1 ,  2 ,  3 ,  1 ,Thresh,Caitlyn,Syndra,Varus,Ashe
2017.0,summer,OPL,1,Legacy Esports,Sin Gaming,1.0,39:07,OK,red,SIN,   DEFEAT   ,62.9k,13,  0 ,  0 ,  0 ,  0 ,  0 ,Zac,Elise,Galio,Lucian,Orianna
2017.0,summer,OPL,1,Legacy Esports,Sin Gaming,2.0,38:13,OK,blue,SIN,   VICTORY   ,74.1k,20,  11 ,  3 ,  2 ,  2 ,  0 ,Kassadin,Rumble,Fiora,JarvanIV,Renekton
2017.0,summer,OPL,1,Legacy Esports,Sin Gaming,2.0,38:13,OK,red,LGC,   DEFEAT   ,63.0k,13,  2 ,  0 ,  0 ,  1 ,  0 ,Thresh,Elise,Caitlyn,Syndra,Lucian
2017.0,summer,OPL,1,Legacy Esports,Sin Gaming,3.0,25:47,OK,blue,LGC,   VICTORY   ,53.9k,22,  10 ,  2 ,  1 ,  2 ,  1 ,Thresh,Caitlyn,Elise,Zyra,Kennen
2017.0,summer,OPL,1,Legacy Esports,Sin Gaming,3.0,25:47,OK,red,SIN,   DEFEAT   ,35.8k,2,  0 ,  0 ,  0 ,  0 ,  0 ,Zac,Galio,Rumble,Nunu,Ivern
2017.0,summer,OPL,1,Avant Gaming,TM Gaming,1.0,39:43,OK,blue,AV,   VICTORY   ,75.9k,19,  9 ,  1 ,  2 ,  1 ,  1 ,Zilean,Kennen,Blitzcrank,Varus,Caitlyn
2017.0,summer,OPL,1,Avant Gaming,TM Gaming,1.0,39:43,OK,red,TM,   DEFEAT   ,68.2k,12,  9 ,  5 ,  1 ,  4 ,  0 ,Zyra,Zac,Elise,Zed,Leblanc
2017.0,summer,OPL,1,Avant Gaming,TM Gaming,2.0,34:05,OK,blue,TM,   DEFEAT   ,54.2k,11,  3 ,  0 ,  0 ,  0 ,  0 ,Zyra,Thresh,Zed,Lulu,Karma
2017.0,summer,OPL,1,Avant Gaming,TM Gaming,2.0,34:05,OK,red,AV,   VICTORY   ,66.8k,18,  8 ,  1 ,  1 ,  3 ,  1 ,Zac,Kennen,Elise,Zilean,Fiora
2017.0,summer,OPL,2,Team Regicide,Dire Wolves,1.0,29:09,OK,blue,RGC,   DEFEAT   ,42.5k,4,  0 ,  0 ,  0 ,  0 ,  0 ,Xayah,Gragas,TahmKench,Graves,Khazix
2017.0,summer,OPL,2,Team Regicide,Dire Wolves,1.0,29:09,OK,red,DW,   VICTORY   ,60.7k,20,  9 ,  1 ,  1 ,  2 ,  0 ,Zac,Galio,Elise,Kennen,Jayce
2017.0,summer,OPL,2,Team Regicide,Dire Wolves,2.0,30:18,OK,blue,DW,   VICTORY   ,62.9k,22,  9 ,  1 ,  1 ,  2 ,  1 ,Fiora,Galio,Kassadin,Jayce,Renekton
2017.0,summer,OPL,2,Team Regicide,Dire Wolves,2.0,30:18,OK,red,RGC,   DEFEAT   ,45.4k,9,  0 ,  0 ,  0 ,  1 ,  0 ,Gragas,Xayah,Zac,Syndra,Rumble
2017.0,summer,OPL,2,Legacy Esports,Avant Gaming,1.0,28:41,OK,blue,LGC,   VICTORY   ,57.4k,17,  9 ,  1 ,  1 ,  3 ,  1 ,Syndra,Elise,Thresh,Renekton,Lucian
2017.0,summer,OPL,2,Legacy Esports,Avant Gaming,1.0,28:41,OK,red,AV,   DEFEAT   ,44.8k,5,  3 ,  0 ,  0 ,  0 ,  0 ,Xayah,Zac,Galio,Cassiopeia,Fiora
2017.0,summer,OPL,2,Legacy Esports,Avant Gaming,2.0,32:26,OK,blue,AV,   VICTORY   ,62.0k,14,  9 ,  2 ,  2 ,  3 ,  0 ,Xayah,Galio,Gragas,Orianna,Karma
