year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2019.0,spring,OPL,1,Legacy Esports,Gravitas,1.0,34:16,OK,blue,LGC,   DEFEAT   ,57.4k,4,  1 ,  0 ,  0 ,  0 ,  0 ,Karthus,Lissandra,Galio,Rakan,Alistar
2019.0,spring,OPL,1,Legacy Esports,Gravitas,1.0,34:16,OK,red,GRV,   VICTORY   ,64.4k,11,  10 ,  2 ,  2 ,  5 ,  1 ,Cassiopeia,Lucian,Aatrox,Ryze,Irelia
2019.0,spring,OPL,1,Mammoth,Bombers,1.0,35:54,OK,blue,MMM,   DEFEAT   ,63.3k,11,  4 ,  0 ,  0 ,  1 ,  0 ,Akali,Irelia,Camille,Syndra,Khazix
2019.0,spring,OPL,1,Mammoth,Bombers,1.0,35:54,OK,red,BMR,   VICTORY   ,72.1k,19,  10 ,  2 ,  3 ,  2 ,  1 ,Cassiopeia,Aatrox,Lucian,Varus,Kalista
2019.0,spring,OPL,1,Avant Gaming,ORDER,1.0,26:37,OK,blue,AV,   VICTORY   ,56.2k,17,  11 ,  3 ,  1 ,  3 ,  1 ,Irelia,Akali,Galio,Vayne,Ryze
2019.0,spring,OPL,1,Avant Gaming,ORDER,1.0,26:37,OK,red,ORD,   DEFEAT   ,41.3k,4,  3 ,  0 ,  0 ,  0 ,  0 ,Aatrox,Lucian,Cassiopeia,Sivir,Xayah
2019.0,spring,OPL,1,Dire Wolves,Chiefs Esports,1.0,30:01,OK,blue,DW,   DEFEAT   ,47.3k,5,  1 ,  0 ,  0 ,  0 ,  1 ,Irelia,Alistar,Galio,Braum,Fiddlesticks
2019.0,spring,OPL,1,Dire Wolves,Chiefs Esports,1.0,30:01,OK,red,CHF,   VICTORY   ,54.9k,9,  9 ,  1 ,  1 ,  4 ,  0 ,Aatrox,Cassiopeia,Lucian,Sion,Xayah
2019.0,spring,OPL,1,ORDER,Bombers,1.0,34:45,OK,blue,ORD,   DEFEAT   ,64.1k,13,  5 ,  0 ,  2 ,  1 ,  1 ,Akali,Irelia,Aatrox,Rakan,Leblanc
2019.0,spring,OPL,1,ORDER,Bombers,1.0,34:45,OK,red,BMR,   VICTORY   ,64.3k,18,  8 ,  1 ,  0 ,  2 ,  0 ,Galio,Cassiopeia,Lucian,Sejuani,Khazix
2019.0,spring,OPL,1,Legacy Esports,Dire Wolves,1.0,27:58,OK,blue,LGC,   VICTORY   ,56.5k,17,  8 ,  1 ,  1 ,  2 ,  1 ,Lissandra,Galio,Evelynn,Ezreal,Kaisa
