year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,spring,PCS,1,J Team,AHQ,1.0,32:41,OK,blue,ahq,   VICTORY   ,57.9k,10,  7 ,  1 ,  1 ,  5 ,  0 ,,,,,
2020.0,spring,PCS,1,J Team,AHQ,1.0,32:41,OK,red,JT,   DEFEAT   ,51.5k,6,  2 ,  0 ,  0 ,  0 ,  2 ,,,,,
2020.0,spring,PCS,1,Resurgence,Berjaya Dragons,1.0,32:47,OK,blue,BJD,   VICTORY   ,58.0k,15,  10 ,  2 ,  0 ,  2 ,  2 ,,,,,
2020.0,spring,PCS,1,Resurgence,Berjaya Dragons,1.0,32:47,OK,red,RSG,   DEFEAT   ,48.8k,5,  1 ,  0 ,  0 ,  2 ,  0 ,,,,,
2020.0,spring,PCS,1,Liyab Esports,Hong Kong Attitude,1.0,37:02,OK,blue,LYB,   VICTORY   ,69.6k,22,  9 ,  2 ,  1 ,  4 ,  1 ,,,,,
2020.0,spring,PCS,1,Liyab Esports,Hong Kong Attitude,1.0,37:02,OK,red,HKA,   DEFEAT   ,53.7k,5,  3 ,  0 ,  0 ,  2 ,  1 ,,,,,
2020.0,spring,PCS,1,Resurgence,Machi Esports,1.0,24:47,OK,blue,RSG,   DEFEAT   ,35.0k,4,  1 ,  0 ,  0 ,  0 ,  0 ,,,,,
2020.0,spring,PCS,1,Resurgence,Machi Esports,1.0,24:47,OK,red,MCX,   VICTORY   ,48.5k,17,  10 ,  1 ,  1 ,  4 ,  2 ,,,,,
2020.0,spring,PCS,1,Talon Esports,Nova Esports,1.0,37:08,OK,blue,TLN,   VICTORY   ,64.6k,8,  7 ,  1 ,  0 ,  3 ,  2 ,,,,,
2020.0,spring,PCS,1,Talon Esports,Nova Esports,1.0,37:08,OK,red,NOV,   DEFEAT   ,63.6k,6,  7 ,  0 ,  1 ,  3 ,  0 ,,,,,
2020.0,spring,PCS,1,Resurgence,Nova Esports,1.0,27:21,OK,blue,RSG,   DEFEAT   ,42.0k,4,  2 ,  0 ,  0 ,  1 ,  0 ,Yuumi,Zoe,Elise,Thresh,Cassiopeia
2020.0,spring,PCS,1,Resurgence,Nova Esports,1.0,27:21,OK,red,NOV,   VICTORY   ,50.6k,12,  9 ,  2 ,  1 ,  3 ,  2 ,Aphelios,Ornn,Senna,Leona,Morgana
2020.0,spring,PCS,1,Hong Kong Attitude,J Team,1.0,24:55,OK,blue,JT,   VICTORY   ,53.1k,24,  10 ,  2 ,  1 ,  4 ,  2 ,Soraka,Zoe,Olaf,Viktor,Mordekaiser
2020.0,spring,PCS,1,Hong Kong Attitude,J Team,1.0,24:55,OK,red,HKA,   DEFEAT   ,38.1k,6,  0 ,  0 ,  0 ,  0 ,  0 ,Ornn,Aphelios,Senna,Morgana,Lucian
2020.0,spring,PCS,1,Liyab Esports,Talon Esports,1.0,32:36,OK,blue,TLN,   VICTORY   ,57.6k,13,  8 ,  1 ,  1 ,  0 ,  2 ,Leblanc,Elise,Sett,TahmKench,Ezreal
2020.0,spring,PCS,1,Liyab Esports,Talon Esports,1.0,32:36,OK,red,LYB,   DEFEAT   ,55.6k,9,  4 ,  0 ,  1 ,  4 ,  0 ,Aphelios,Soraka,Zoe,Quinn,Nautilus
2020.0,spring,PCS,1,AHQ,Berjaya Dragons,1.0,28:49,OK,blue,BJD,   DEFEAT   ,43.7k,6,  1 ,  0 ,  0 ,  0 ,  2 ,Olaf,RekSai,Leblanc,Gragas,LeeSin
