year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,spring,PGN,1,YDN,Outplayed,1.0,24:26,OK,blue,YDN,   VICTORY   ,50.0k,24,  8 ,  1 ,  1 ,  3 ,  1 ,Taliyah,Aphelios,Senna,Mordekaiser,Camille
2020.0,spring,PGN,1,YDN,Outplayed,1.0,24:26,OK,red,OP,   DEFEAT   ,36.9k,5,  1 ,  0 ,  0 ,  0 ,  1 ,Akali,Ornn,MissFortune,Draven,Varus
2020.0,spring,PGN,1,Morning Stars,QLASH Forge,1.0,33:45,OK,blue,SMS,   VICTORY   ,62.2k,16,  10 ,  2 ,  1 ,  4 ,  1 ,LeeSin,Lucian,Cassiopeia,Senna,Varus
2020.0,spring,PGN,1,Morning Stars,QLASH Forge,1.0,33:45,OK,red,Q4G,   DEFEAT   ,49.1k,2,  1 ,  0 ,  0 ,  1 ,  1 ,Aphelios,Akali,Qiyana,Ryze,Leblanc
2020.0,spring,PGN,1,MOBA ROG,Racoon,1.0,32:38,OK,blue,MOR,   DEFEAT   ,52.4k,11,  2 ,  0 ,  0 ,  2 ,  0 ,Olaf,JarvanIV,Senna,Zyra,Nautilus
2020.0,spring,PGN,1,MOBA ROG,Racoon,1.0,32:38,OK,red,RCN,   VICTORY   ,65.6k,21,  9 ,  1 ,  2 ,  3 ,  2 ,Fiora,Aphelios,Akali,Zoe,Morgana
2020.0,spring,PGN,1,Cyberground,CP Sparks,1.0,34:30,OK,blue,CGG,   DEFEAT   ,51.5k,8,  3 ,  0 ,  0 ,  0 ,  2 ,MissFortune,Yasuo,Aphelios,Gangplank,Chogath
2020.0,spring,PGN,1,Cyberground,CP Sparks,1.0,34:30,OK,red,SPK,   VICTORY   ,62.2k,21,  10 ,  2 ,  2 ,  5 ,  0 ,Taliyah,Lucian,Fiora,Diana,Akali
2020.0,spring,PGN,1,QLASH Forge,Racoon,1.0,28:01,OK,blue,Q4G,   DEFEAT   ,42.6k,6,  3 ,  0 ,  0 ,  0 ,  1 ,JarvanIV,Leblanc,MissFortune,Vladimir,Braum
2020.0,spring,PGN,1,QLASH Forge,Racoon,1.0,28:01,OK,red,RCN,   VICTORY   ,56.8k,20,  11 ,  3 ,  1 ,  4 ,  1 ,Cassiopeia,Akali,Aphelios,Ryze,Qiyana
2020.0,spring,PGN,1,Outplayed,Morning Stars,1.0,34:02,OK,blue,OP,   DEFEAT   ,55.8k,9,  6 ,  1 ,  0 ,  4 ,  2 ,Taliyah,Rumble,Yasuo,Olaf,LeeSin
2020.0,spring,PGN,1,Outplayed,Morning Stars,1.0,34:02,OK,red,SMS,   VICTORY   ,60.0k,17,  6 ,  1 ,  1 ,  1 ,  0 ,Akali,MissFortune,Senna,Ryze,Azir
2020.0,spring,PGN,1,CP Sparks,YDN,1.0,32:11,OK,blue,SPK,   DEFEAT   ,48.0k,5,  1 ,  0 ,  0 ,  1 ,  1 ,Qiyana,Draven,Lucian,LeeSin,Ornn
2020.0,spring,PGN,1,CP Sparks,YDN,1.0,32:11,OK,red,YDN,   VICTORY   ,64.2k,22,  11 ,  3 ,  2 ,  4 ,  0 ,JarvanIV,Aphelios,Cassiopeia,Gangplank,Olaf
2020.0,spring,PGN,1,Cyberground,MOBA ROG,1.0,35:49,OK,blue,CGG,   VICTORY   ,67.3k,27,  10 ,  3 ,  1 ,  4 ,  2 ,Fiora,Leona,Nautilus,Galio,Xerath
2020.0,spring,PGN,1,Cyberground,MOBA ROG,1.0,35:49,OK,red,MOR,   DEFEAT   ,55.5k,14,  0 ,  0 ,  0 ,  1 ,  0 ,Olaf,Cassiopeia,Rengar,Akali,Taliyah
2020.0,spring,PGN,2,Outplayed,CP Sparks,1.0,23:54,OK,blue,OP,   VICTORY   ,50.5k,21,  10 ,  2 ,  1 ,  1 ,  2 ,JarvanIV,Ornn,Braum,Kled,Fiora
2020.0,spring,PGN,2,Outplayed,CP Sparks,1.0,23:54,OK,red,SPK,   DEFEAT   ,37.7k,6,  1 ,  0 ,  0 ,  2 ,  0 ,Akali,Lucian,LeeSin,Azir,Taliyah
2020.0,spring,PGN,2,QLASH Forge,Cyberground,1.0,35:07,OK,blue,Q4G,   VICTORY   ,64.0k,19,  10 ,  1 ,  1 ,  2 ,  2 ,Rengar,Taliyah,Akali,Camille,Fiora
2020.0,spring,PGN,2,QLASH Forge,Cyberground,1.0,35:07,OK,red,CGG,   DEFEAT   ,52.2k,8,  4 ,  0 ,  0 ,  3 ,  0 ,Cassiopeia,Rumble,Ornn,Galio,Orianna
2020.0,spring,PGN,2,Morning Stars,Racoon,1.0,35:35,OK,blue,SMS,   DEFEAT   ,55.8k,7,  5 ,  0 ,  1 ,  1 ,  1 ,Elise,JarvanIV,Taliyah,Varus,Aphelios
2020.0,spring,PGN,2,Morning Stars,Racoon,1.0,35:35,OK,red,RCN,   VICTORY   ,62.1k,16,  9 ,  1 ,  1 ,  4 ,  1 ,Qiyana,MissFortune,Akali,Gangplank,Zoe
2020.0,spring,PGN,2,YDN,MOBA ROG,1.0,31:03,OK,blue,YDN,   VICTORY   ,60.3k,19,  10 ,  1 ,  1 ,  5 ,  2 ,Fiora,Thresh,Aphelios,Kindred,Zilean
2020.0,spring,PGN,2,YDN,MOBA ROG,1.0,31:03,OK,red,MOR,   DEFEAT   ,46.3k,7,  1 ,  0 ,  0 ,  0 ,  0 ,Akali,Cassiopeia,Leona,LeeSin,Elise
2020.0,spring,PGN,2,Racoon,Cyberground,1.0,32:40,OK,blue,RCN,   VICTORY   ,65.5k,34,  11 ,  4 ,  2 ,  2 ,  2 ,Rengar,Senna,JarvanIV,Diana,Leblanc
2020.0,spring,PGN,2,Racoon,Cyberground,1.0,32:40,OK,red,CGG,   DEFEAT   ,54.1k,16,  3 ,  0 ,  0 ,  3 ,  0 ,Aphelios,MissFortune,Elise,RekSai,
2020.0,spring,PGN,2,MOBA ROG,Outplayed,1.0,29:11,OK,blue,MOR,   DEFEAT   ,43.0k,6,  0 ,  0 ,  0 ,  0 ,  0 ,Akali,Elise,Ryze,JarvanIV,LeeSin
2020.0,spring,PGN,2,MOBA ROG,Outplayed,1.0,29:11,OK,red,OP,   VICTORY   ,59.2k,24,  11 ,  3 ,  2 ,  4 ,  2 ,Fiora,Thresh,Sett,Kindred,Olaf
2020.0,spring,PGN,2,QLASH Forge,YDN,1.0,24:12,OK,blue,Q4G,   DEFEAT   ,36.2k,5,  1 ,  0 ,  0 ,  0 ,  1 ,Draven,Sett,Akali,Leblanc,Ornn
2020.0,spring,PGN,2,QLASH Forge,YDN,1.0,24:12,OK,red,YDN,   VICTORY   ,48.5k,17,  8 ,  1 ,  1 ,  3 ,  1 ,Cassiopeia,Aphelios,Lucian,Rumble,Mordekaiser
2020.0,spring,PGN,2,CP Sparks,Morning Stars,1.0,30:48,OK,blue,SPK,   VICTORY   ,56.3k,15,  10 ,  2 ,  1 ,  4 ,  1 ,Taliyah,Senna,Akali,Zoe,Orianna
2020.0,spring,PGN,2,CP Sparks,Morning Stars,1.0,30:48,OK,red,SMS,   DEFEAT   ,45.3k,3,  0 ,  0 ,  0 ,  1 ,  1 ,Leona,JarvanIV,Yasuo,Olaf,Mordekaiser
2020.0,spring,PGN,2,MOBA ROG,CP Sparks,1.0,23:05,OK,blue,MOR,   DEFEAT   ,32.4k,6,  0 ,  0 ,  0 ,  1 ,  0 ,Cassiopeia,JarvanIV,Gangplank,Chogath,Ornn
2020.0,spring,PGN,2,MOBA ROG,CP Sparks,1.0,23:05,OK,red,SPK,   VICTORY   ,50.3k,28,  10 ,  2 ,  1 ,  2 ,  2 ,Fiora,Thresh,Senna,RekSai,Vladimir
2020.0,spring,PGN,2,Morning Stars,Cyberground,1.0,37:02,OK,blue,SMS,   DEFEAT   ,60.0k,13,  4 ,  0 ,  0 ,  1 ,  1 ,JarvanIV,Leona,Sett,LeeSin,Rengar
