year,season,league_name,week,team_1,team_2,set_number,state
2017.0,spring,TCL,1,Papara SuperMassive,Dark Passage,1.0,this row doesn't have MH_url
2017.0,spring,TCL,1,Papara SuperMassive,Dark Passage,2.0,this row doesn't have MH_url
2017.0,spring,TCL,1,Galatasaray,Crew eSports,1.0,this row doesn't have MH_url
2017.0,spring,TCL,1,Galatasaray,Crew eSports,2.0,this row doesn't have MH_url
2017.0,spring,TCL,1,Galakticos,1907 Fenerbahce,1.0,this row doesn't have MH_url
2017.0,spring,TCL,1,Galakticos,1907 Fenerbahce,2.0,this row doesn't have MH_url
2017.0,spring,TCL,1,HWA Gaming,Team Aurora,1.0,this row doesn't have MH_url
2017.0,spring,TCL,1,HWA Gaming,Team Aurora,2.0,this row doesn't have MH_url
2017.0,spring,TCL,1,Crew eSports,Galakticos,1.0,this row doesn't have MH_url
2017.0,spring,TCL,1,Crew eSports,Galakticos,2.0,this row doesn't have MH_url
2017.0,spring,TCL,1,Dark Passage,Galatasaray,1.0,this row doesn't have MH_url
2017.0,spring,TCL,1,Dark Passage,Galatasaray,2.0,this row doesn't have MH_url
2017.0,spring,TCL,1,Papara SuperMassive,HWA Gaming,1.0,this row doesn't have MH_url
2017.0,spring,TCL,1,Papara SuperMassive,HWA Gaming,2.0,this row doesn't have MH_url
2017.0,spring,TCL,1,Team Aurora,1907 Fenerbahce,1.0,this row doesn't have MH_url
2017.0,spring,TCL,1,Team Aurora,1907 Fenerbahce,2.0,this row doesn't have MH_url
2017.0,spring,TCL,2,Galakticos,Team Aurora,1.0,this row doesn't have MH_url
2017.0,spring,TCL,2,Galakticos,Team Aurora,2.0,this row doesn't have MH_url
2017.0,spring,TCL,2,1907 Fenerbahce,Papara SuperMassive,1.0,this row doesn't have MH_url
2017.0,spring,TCL,2,1907 Fenerbahce,Papara SuperMassive,2.0,this row doesn't have MH_url
2017.0,spring,TCL,2,HWA Gaming,Galatasaray,1.0,this row doesn't have MH_url
2017.0,spring,TCL,2,HWA Gaming,Galatasaray,2.0,this row doesn't have MH_url
2017.0,spring,TCL,2,Crew eSports,Dark Passage,1.0,this row doesn't have MH_url
2017.0,spring,TCL,2,Crew eSports,Dark Passage,2.0,this row doesn't have MH_url
2017.0,spring,TCL,2,Galatasaray,1907 Fenerbahce,1.0,this row doesn't have MH_url
2017.0,spring,TCL,2,Galatasaray,1907 Fenerbahce,2.0,this row doesn't have MH_url
2017.0,spring,TCL,2,Galakticos,Papara SuperMassive,1.0,this row doesn't have MH_url
2017.0,spring,TCL,2,Galakticos,Papara SuperMassive,2.0,this row doesn't have MH_url
2017.0,spring,TCL,2,Dark Passage,HWA Gaming,1.0,this row doesn't have MH_url
2017.0,spring,TCL,2,Dark Passage,HWA Gaming,2.0,this row doesn't have MH_url
2017.0,spring,TCL,2,Team Aurora,Crew eSports,1.0,this row doesn't have MH_url
2017.0,spring,TCL,2,Team Aurora,Crew eSports,2.0,this row doesn't have MH_url
2017.0,spring,TCL,3,Galatasaray,Galakticos,1.0,this row doesn't have MH_url
2017.0,spring,TCL,3,Galatasaray,Galakticos,2.0,this row doesn't have MH_url
2017.0,spring,TCL,3,1907 Fenerbahce,Dark Passage,1.0,this row doesn't have MH_url
2017.0,spring,TCL,3,1907 Fenerbahce,Dark Passage,2.0,this row doesn't have MH_url
2017.0,spring,TCL,3,HWA Gaming,Crew eSports,1.0,this row doesn't have MH_url
2017.0,spring,TCL,3,HWA Gaming,Crew eSports,2.0,this row doesn't have MH_url
2017.0,spring,TCL,3,Papara SuperMassive,Team Aurora,1.0,this row doesn't have MH_url
2017.0,spring,TCL,3,Papara SuperMassive,Team Aurora,2.0,this row doesn't have MH_url
2017.0,spring,TCL,3,HWA Gaming,1907 Fenerbahce,1.0,this row doesn't have MH_url
2017.0,spring,TCL,3,HWA Gaming,1907 Fenerbahce,2.0,this row doesn't have MH_url
2017.0,spring,TCL,3,Dark Passage,Galakticos,1.0,this row doesn't have MH_url
2017.0,spring,TCL,3,Dark Passage,Galakticos,2.0,this row doesn't have MH_url
