year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2018.0,summer,TCL,1,1907 Fenerbahce,Dark Passage,1.0,33:47,OK,blue,FB,   VICTORY   ,63.3k,15,  11 ,  5 ,  1 ,  1 ,  1 ,Rakan,Camille,Taric,Karma,Ornn
2018.0,summer,TCL,1,1907 Fenerbahce,Dark Passage,1.0,33:47,OK,red,DP,   DEFEAT   ,57.6k,10,  2 ,  0 ,  0 ,  2 ,  0 ,Taliyah,Irelia,Nocturne,Fiddlesticks,Alistar
2018.0,summer,TCL,1,HWA Gaming,Bursaspor,1.0,38:33,OK,blue,BUR,   DEFEAT   ,59.2k,7,  1 ,  0 ,  0 ,  0 ,  0 ,MasterYi,Vladimir,Camille,Mordekaiser,Gangplank
2018.0,summer,TCL,1,HWA Gaming,Bursaspor,1.0,38:33,OK,red,HWA,   VICTORY   ,74.4k,15,  11 ,  3 ,  1 ,  5 ,  1 ,Yasuo,Irelia,Ornn,Kaisa,Nocturne
2018.0,summer,TCL,1,YouthCrew,Team Aurora,1.0,44:38,OK,blue,AUR,   DEFEAT   ,81.5k,19,  8 ,  3 ,  2 ,  3 ,  0 ,Zoe,Yasuo,Irelia,Pyke,Rakan
2018.0,summer,TCL,1,YouthCrew,Team Aurora,1.0,44:38,OK,red,YC,   VICTORY   ,79.5k,12,  7 ,  1 ,  0 ,  2 ,  1 ,Taliyah,Lulu,Taric,Fiora,Jax
2018.0,summer,TCL,1,Papara SuperMassive,Royal Bandits,1.0,30:39,OK,blue,SUP,   VICTORY   ,61.6k,20,  9 ,  1 ,  1 ,  2 ,  1 ,Draven,Yasuo,Zoe,Camille,Rakan
2018.0,summer,TCL,1,Papara SuperMassive,Royal Bandits,1.0,30:39,OK,red,RB,   DEFEAT   ,52.7k,15,  2 ,  0 ,  0 ,  0 ,  0 ,Taliyah,Graves,Taric,Braum,Morgana
2018.0,summer,TCL,1,Team Aurora,Royal Bandits,1.0,34:45,OK,blue,RB,   DEFEAT   ,58.7k,11,  3 ,  0 ,  0 ,  1 ,  0 ,Camille,Ornn,Morgana,DrMundo,Irelia
2018.0,summer,TCL,1,Team Aurora,Royal Bandits,1.0,34:45,OK,red,AUR,   VICTORY   ,66.8k,13,  10 ,  3 ,  2 ,  3 ,  1 ,Zoe,Taliyah,Draven,Aatrox,Kaisa
2018.0,summer,TCL,1,YouthCrew,HWA Gaming,1.0,31:33,OK,blue,HWA,   VICTORY   ,61.4k,15,  11 ,  3 ,  2 ,  1 ,  1 ,Lucian,Yasuo,Irelia,Alistar,Shen
2018.0,summer,TCL,1,YouthCrew,HWA Gaming,1.0,31:33,OK,red,YC,   DEFEAT   ,53.5k,2,  5 ,  0 ,  0 ,  2 ,  0 ,Taric,Vladimir,Gangplank,Darius,Nocturne
2018.0,summer,TCL,1,Bursaspor,Dark Passage,1.0,28:10,OK,blue,DP,   VICTORY   ,54.5k,11,  9 ,  2 ,  1 ,  2 ,  0 ,Yasuo,Nocturne,Camille,Ornn,Braum
2018.0,summer,TCL,1,Bursaspor,Dark Passage,1.0,28:10,OK,red,BUR,   DEFEAT   ,43.9k,3,  2 ,  0 ,  0 ,  1 ,  1 ,Zoe,Irelia,Kaisa,Shen,Morgana
2018.0,summer,TCL,1,Papara SuperMassive,1907 Fenerbahce,1.0,37:07,OK,blue,SUP,   DEFEAT   ,61.7k,12,  3 ,  0 ,  0 ,  3 ,  0 ,Yasuo,Aatrox,Irelia,Shen,Rakan
2018.0,summer,TCL,1,Papara SuperMassive,1907 Fenerbahce,1.0,37:07,OK,red,FB,   VICTORY   ,67.0k,20,  7 ,  1 ,  2 ,  1 ,  1 ,Taliyah,Lucian,Nocturne,Heimerdinger,Braum
2018.0,summer,TCL,1,Dark Passage,YouthCrew,1.0,33:15,OK,blue,YC,   VICTORY   ,65.1k,17,  10 ,  2 ,  1 ,  2 ,  1 ,Lulu,Vladimir,Ornn,Gnar,Gangplank
2018.0,summer,TCL,1,Dark Passage,YouthCrew,1.0,33:15,OK,red,DP,   DEFEAT   ,51.9k,2,  3 ,  0 ,  1 ,  1 ,  0 ,Irelia,Zoe,Aatrox,Braum,Alistar
2018.0,summer,TCL,1,Royal Bandits,HWA Gaming,1.0,31:36,OK,blue,HWA,   DEFEAT   ,48.6k,6,  1 ,  0 ,  0 ,  1 ,  0 ,Draven,Irelia,Yasuo,Zoe,Darius
