year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,spring,TCL,1,Royal Youth,Papara SuperMassive,1.0,27:15,OK,blue,RYL,   DEFEAT   ,36.7k,4,  0 ,  0 ,  0 ,  0 ,  0 ,Olaf,Pantheon,Ryze,MissFortune,Lucian
2020.0,spring,TCL,1,Royal Youth,Papara SuperMassive,1.0,27:15,OK,red,SUP,   VICTORY   ,53.9k,19,  10 ,  1 ,  1 ,  4 ,  2 ,Gangplank,Senna,Akali,Braum,Leblanc
2020.0,spring,TCL,1,Dark Passage,Istanbul Wildcats,1.0,26:58,OK,blue,DP,   VICTORY   ,50.0k,13,  7 ,  1 ,  1 ,  1 ,  2 ,Elise,Nautilus,JarvanIV,Gragas,Aatrox
2020.0,spring,TCL,1,Dark Passage,Istanbul Wildcats,1.0,26:58,OK,red,IW,   DEFEAT   ,46.1k,11,  5 ,  0 ,  0 ,  2 ,  0 ,Akali,Sett,Leblanc,Irelia,Syndra
2020.0,spring,TCL,1,1907 Fenerbahce,5 Ronin,1.0,32:50,OK,blue,FB,   VICTORY   ,65.5k,26,  11 ,  3 ,  1 ,  4 ,  1 ,Rumble,Olaf,Xayah,Elise,RekSai
2020.0,spring,TCL,1,1907 Fenerbahce,5 Ronin,1.0,32:50,OK,red,5R,   DEFEAT   ,53.6k,14,  2 ,  0 ,  0 ,  1 ,  1 ,Akali,Lucian,Senna,Aphelios,Nautilus
2020.0,spring,TCL,1,Galakticos,Besiktas Esports,1.0,34:17,OK,blue,BJK,   DEFEAT   ,52.2k,7,  1 ,  0 ,  0 ,  1 ,  1 ,Irelia,Lucian,Akali,Leblanc,Orianna
2020.0,spring,TCL,1,Galakticos,Besiktas Esports,1.0,34:17,OK,red,GAL,   VICTORY   ,62.6k,14,  8 ,  1 ,  1 ,  4 ,  1 ,Yasuo,Sett,Syndra,Thresh,Braum
2020.0,spring,TCL,1,5 Ronin,Dark Passage,1.0,33:31,OK,blue,5R,   DEFEAT   ,51.9k,7,  3 ,  0 ,  0 ,  2 ,  1 ,Irelia,Senna,Sett,Leblanc,Zoe
2020.0,spring,TCL,1,5 Ronin,Dark Passage,1.0,33:31,OK,red,DP,   VICTORY   ,62.7k,19,  9 ,  2 ,  1 ,  4 ,  1 ,Akali,Rumble,Syndra,Xayah,MissFortune
2020.0,spring,TCL,1,Istanbul Wildcats,Royal Youth,1.0,38:08,OK,blue,RYL,   VICTORY   ,70.7k,23,  8 ,  1 ,  1 ,  4 ,  2 ,Elise,RekSai,Gragas,Sejuani,Mordekaiser
2020.0,spring,TCL,1,Istanbul Wildcats,Royal Youth,1.0,38:08,OK,red,IW,   DEFEAT   ,60.3k,12,  4 ,  0 ,  0 ,  2 ,  0 ,Gangplank,Akali,Senna,Nautilus,Rakan
2020.0,spring,TCL,1,Galakticos,1907 Fenerbahce,1.0,27:20,OK,blue,FB,   VICTORY   ,52.7k,12,  11 ,  2 ,  1 ,  2 ,  2 ,JarvanIV,Gragas,Senna,Leblanc,Cassiopeia
2020.0,spring,TCL,1,Galakticos,1907 Fenerbahce,1.0,27:20,OK,red,GAL,   DEFEAT   ,39.2k,2,  1 ,  0 ,  0 ,  2 ,  0 ,Sett,Akali,Syndra,Mordekaiser,Vladimir
2020.0,spring,TCL,1,Team Aurora,Papara SuperMassive,1.0,27:00,OK,blue,SUP,   DEFEAT   ,41.0k,8,  1 ,  0 ,  0 ,  0 ,  0 ,Sylas,Aatrox,Elise,Viktor,Akali
2020.0,spring,TCL,1,Team Aurora,Papara SuperMassive,1.0,27:00,OK,red,AUR,   VICTORY   ,52.2k,21,  9 ,  1 ,  1 ,  4 ,  2 ,Pantheon,Rumble,Senna,Velkoz,Zoe
2020.0,spring,TCL,2,Royal Youth,Team Aurora,1.0,31:12,OK,blue,AUR,   VICTORY   ,55.2k,13,  9 ,  2 ,  1 ,  5 ,  2 ,Cassiopeia,Senna,Pantheon,LeeSin,RekSai
2020.0,spring,TCL,2,Royal Youth,Team Aurora,1.0,31:12,OK,red,RYL,   DEFEAT   ,48.9k,8,  4 ,  0 ,  1 ,  0 ,  0 ,Sylas,Elise,JarvanIV,Olaf,Gragas
2020.0,spring,TCL,2,Papara SuperMassive,Besiktas Esports,1.0,33:18,OK,blue,BJK,   VICTORY   ,58.6k,22,  10 ,  2 ,  1 ,  3 ,  0 ,Pantheon,Lucian,Rumble,Sejuani,LeeSin
2020.0,spring,TCL,2,Papara SuperMassive,Besiktas Esports,1.0,33:18,OK,red,SUP,   DEFEAT   ,54.1k,8,  4 ,  0 ,  0 ,  2 ,  2 ,Yasuo,Thresh,Akali,Mordekaiser,Aatrox
2020.0,spring,TCL,2,Dark Passage,Galakticos,1.0,34:42,OK,blue,DP,   VICTORY   ,64.2k,16,  9 ,  2 ,  1 ,  1 ,  2 ,Pantheon,Lucian,JarvanIV,Irelia,Camille
2020.0,spring,TCL,2,Dark Passage,Galakticos,1.0,34:42,OK,red,GAL,   DEFEAT   ,55.5k,4,  6 ,  0 ,  0 ,  4 ,  0 ,Akali,Sett,Thresh,Soraka,Mordekaiser
2020.0,spring,TCL,2,Istanbul Wildcats,5 Ronin,1.0,35:48,OK,blue,IW,   DEFEAT   ,57.2k,10,  3 ,  0 ,  0 ,  2 ,  1 ,Olaf,Syndra,Rumble,Aatrox,Leblanc
2020.0,spring,TCL,2,Istanbul Wildcats,5 Ronin,1.0,35:48,OK,red,5R,   VICTORY   ,62.6k,12,  8 ,  1 ,  1 ,  4 ,  1 ,Akali,Soraka,JarvanIV,Rakan,Thresh
2020.0,spring,TCL,2,5 Ronin,Royal Youth,1.0,28:33,OK,blue,5R,   DEFEAT   ,40.6k,3,  1 ,  0 ,  0 ,  1 ,  0 ,Soraka,Gangplank,Aphelios,Braum,Aatrox
