year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2019.0,summer,TPL_a,1,Fenerbahce Academy,SuperMassive Academy,1.0,36:48,OK,blue,SUP,   VICTORY   ,67.3k,15,  11 ,  4 ,  2 ,  4 ,  0 ,,,,,
2019.0,summer,TPL_a,1,Fenerbahce Academy,SuperMassive Academy,1.0,36:48,OK,red,FB,   DEFEAT   ,54.4k,7,  3 ,  0 ,  0 ,  1 ,  1 ,,,,,
2019.0,summer,TPL_a,1,Besiktas Academy,Bursaspor Academy,1.0,31:26,OK,blue,BJK,   VICTORY   ,59.8k,21,  9 ,  2 ,  1 ,  2 ,  1 ,Yasuo,Sylas,Sejuani,Leblanc,Kaisa
2019.0,summer,TPL_a,1,Besiktas Academy,Bursaspor Academy,1.0,31:26,OK,red,BUR,   DEFEAT   ,49.5k,12,  2 ,  0 ,  0 ,  2 ,  0 ,Ryze,Irelia,Yuumi,Camille,Gnar
2019.0,summer,TPL_a,1,Dark Passage Academy,Galakticos Academy,1.0,29:55,OK,blue,DP,   VICTORY   ,61.9k,20,  10 ,  2 ,  2 ,  3 ,  1 ,RekSai,Alistar,Jayce,Leblanc,Kennen
2019.0,summer,TPL_a,1,Dark Passage Academy,Galakticos Academy,1.0,29:55,OK,red,GAL,   DEFEAT   ,43.9k,6,  0 ,  0 ,  0 ,  0 ,  0 ,Sylas,Ryze,Yuumi,JarvanIV,Sejuani
2019.0,summer,TPL_a,1,Galatasaray Academy,Istanbul Wildcats Academy,1.0,37:04,OK,blue,GS,   DEFEAT   ,61.8k,13,  2 ,  0 ,  1 ,  1 ,  0 ,Aatrox,Sylas,Ryze,Renekton,Leblanc
2019.0,summer,TPL_a,1,Galatasaray Academy,Istanbul Wildcats Academy,1.0,37:04,OK,red,IW,   VICTORY   ,74.6k,21,  9 ,  2 ,  1 ,  5 ,  1 ,Karthus,Rakan,Zoe,Kaisa,Tristana
2019.0,summer,TPL_a,1,AURORA Academy,Royal Youth Academy,1.0,28:08,OK,blue,RYL,   VICTORY   ,57.3k,13,  11 ,  3 ,  1 ,  4 ,  0 ,Yuumi,Neeko,Morgana,Braum,Talon
2019.0,summer,TPL_a,1,AURORA Academy,Royal Youth Academy,1.0,28:08,OK,red,AUR,   DEFEAT   ,43.9k,4,  1 ,  0 ,  0 ,  0 ,  1 ,Irelia,Ryze,Sylas,Nautilus,Galio
2019.0,summer,TPL_a,1,Galakticos Academy,Besiktas Academy,1.0,27:53,OK,blue,BJK,   VICTORY   ,52.3k,15,  11 ,  3 ,  1 ,  2 ,  0 ,RekSai,Kindred,Aatrox,Jayce,Zoe
2019.0,summer,TPL_a,1,Galakticos Academy,Besiktas Academy,1.0,27:53,OK,red,GAL,   DEFEAT   ,42.5k,8,  1 ,  0 ,  0 ,  0 ,  1 ,Taliyah,Irelia,Ryze,Ezreal,Lucian
2019.0,summer,TPL_a,1,Bursaspor Academy,Fenerbahce Academy,1.0,22:39,OK,blue,FB,   VICTORY   ,51.4k,23,  10 ,  2 ,  1 ,  1 ,  1 ,Sejuani,Talon,RekSai,Gragas,Kindred
2019.0,summer,TPL_a,1,Bursaspor Academy,Fenerbahce Academy,1.0,22:39,OK,red,BUR,   DEFEAT   ,31.9k,6,  0 ,  0 ,  0 ,  1 ,  0 ,Sylas,Irelia,Aatrox,Akali,Elise
2019.0,summer,TPL_a,1,Royal Youth Academy,SuperMassive Academy,1.0,36:00,OK,blue,SUP,   VICTORY   ,68.9k,19,  11 ,  3 ,  2 ,  5 ,  1 ,Ryze,Irelia,Sivir,Morgana,Braum
2019.0,summer,TPL_a,1,Royal Youth Academy,SuperMassive Academy,1.0,36:00,OK,red,RYL,   DEFEAT   ,55.3k,11,  1 ,  0 ,  0 ,  0 ,  0 ,Aatrox,Jayce,Sylas,Kindred,Elise
2019.0,summer,TPL_a,1,Istanbul Wildcats Academy,AURORA Academy,1.0,38:29,OK,blue,IW,   VICTORY   ,73.7k,21,  9 ,  1 ,  1 ,  3 ,  0 ,Kennen,Neeko,Sylas,Azir,
2019.0,summer,TPL_a,1,Istanbul Wildcats Academy,AURORA Academy,1.0,38:29,OK,red,AUR,   DEFEAT   ,67.1k,17,  8 ,  2 ,  1 ,  1 ,  1 ,Irelia,Yuumi,Aatrox,Kindred,RekSai
2019.0,summer,TPL_a,1,Galatasaray Academy,Dark Passage Academy,1.0,31:11,OK,blue,GS,   DEFEAT   ,57.0k,15,  4 ,  0 ,  2 ,  1 ,  0 ,Aatrox,Irelia,Jayce,Fiora,
2019.0,summer,TPL_a,1,Galatasaray Academy,Dark Passage Academy,1.0,31:11,OK,red,DP,   VICTORY   ,58.4k,16,  7 ,  1 ,  0 ,  3 ,  1 ,Yuumi,Ryze,Karthus,Yasuo,JarvanIV
2019.0,summer,TPL_a,1,Fenerbahce Academy,Royal Youth Academy,1.0,37:19,OK,blue,FB,   VICTORY   ,72.3k,15,  11 ,  3 ,  1 ,  5 ,  1 ,Sejuani,RekSai,Yuumi,Azir,Leblanc
