year,season,league_name,week,team_1,team_2,set_number,state,game_length,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2020.0,spring,TPL_a,1,Royal Youth Academy,SuperMassive Academy,1.0,this row doesn't have MH_url,,,,,,,,,,,,,,,,
2020.0,spring,TPL_a,1,Dark Passage Academy,Istanbul Wildcats Academy,1.0,AttributeError,,,,,,,,,,,,,,,,
2020.0,spring,TPL_a,1,Fenerbahce Academy,5 Ronin Academy,1.0,OK,47:35,blue,FB,   VICTORY   ,83.0k,18,  10 ,  2 ,  2 ,  3 ,  2 ,Olaf,Syndra,Lucian,Leblanc,Cassiopeia
2020.0,spring,TPL_a,1,Fenerbahce Academy,5 Ronin Academy,1.0,OK,47:35,red,5R,   DEFEAT   ,74.4k,8,  3 ,  0 ,  0 ,  5 ,  0 ,Akali,LeeSin,Qiyana,MissFortune,Aphelios
2020.0,spring,TPL_a,1,Galakticos Academy,Besiktas Academy,1.0,OK,35:07,blue,BJK,   VICTORY   ,62.9k,12,  11 ,  3 ,  1 ,  4 ,  2 ,Rumble,Lucian,Elise,Gangplank,Ornn
2020.0,spring,TPL_a,1,Galakticos Academy,Besiktas Academy,1.0,OK,35:07,red,GAL,   DEFEAT   ,55.9k,8,  4 ,  0 ,  0 ,  1 ,  0 ,Sett,Akali,Yasuo,Aphelios,Senna
2020.0,spring,TPL_a,1,5 Ronin Academy,Dark Passage Academy,1.0,OK,33:24,blue,5R,   VICTORY   ,64.3k,19,  9 ,  2 ,  1 ,  3 ,  2 ,Karthus,Camille,Irelia,Zoe,Orianna
2020.0,spring,TPL_a,1,5 Ronin Academy,Dark Passage Academy,1.0,OK,33:24,red,DP,   DEFEAT   ,51.7k,4,  2 ,  0 ,  0 ,  2 ,  0 ,Akali,Lucian,Syndra,Thresh,TahmKench
2020.0,spring,TPL_a,1,Istanbul Wildcats Academy,Royal Youth Academy,1.0,OK,29:55,blue,RYL,   DEFEAT   ,46.1k,9,  1 ,  0 ,  0 ,  1 ,  1 ,MissFortune,Senna,RekSai,Xayah,Leblanc
2020.0,spring,TPL_a,1,Istanbul Wildcats Academy,Royal Youth Academy,1.0,OK,29:55,red,IW,   VICTORY   ,59.5k,24,  11 ,  4 ,  2 ,  2 ,  1 ,Akali,JarvanIV,Rumble,Syndra,Viktor
2020.0,spring,TPL_a,1,Galakticos Academy,Fenerbahce Academy,1.0,OK,36:17,blue,FB,   VICTORY   ,67.6k,17,  9 ,  1 ,  1 ,  2 ,  2 ,Syndra,Cassiopeia,JarvanIV,Orianna,Leblanc
2020.0,spring,TPL_a,1,Galakticos Academy,Fenerbahce Academy,1.0,OK,36:17,red,GAL,   DEFEAT   ,58.5k,15,  3 ,  0 ,  1 ,  3 ,  0 ,Rumble,Akali,Qiyana,Ornn,Zoe
2020.0,spring,TPL_a,1,AURORA Academy,SuperMassive Academy,1.0,OK,34:38,blue,SUP,   VICTORY   ,62.3k,16,  11 ,  2 ,  1 ,  3 ,  2 ,Sylas,JarvanIV,Rumble,Ornn,Elise
2020.0,spring,TPL_a,1,AURORA Academy,SuperMassive Academy,1.0,OK,34:38,red,AUR,   DEFEAT   ,49.6k,1,  1 ,  0 ,  0 ,  2 ,  0 ,Akali,Yasuo,Leblanc,Braum,Leona
2020.0,spring,TPL_a,1,Royal Youth Academy,AURORA Academy,1.0,OK,32:04,blue,RYL,   VICTORY   ,59.6k,17,  9 ,  2 ,  2 ,  3 ,  2 ,Sylas,Elise,Senna,Viktor,Sett
2020.0,spring,TPL_a,1,Royal Youth Academy,AURORA Academy,1.0,OK,32:04,red,AUR,   DEFEAT   ,50.5k,9,  3 ,  0 ,  0 ,  2 ,  0 ,Akali,Pantheon,Rumble,Tristana,Aphelios
2020.0,spring,TPL_a,1,SuperMassive Academy,Besiktas Academy,1.0,OK,44:47,blue,BJK,   VICTORY   ,76.3k,18,  8 ,  1 ,  1 ,  4 ,  1 ,Elise,Rumble,Akali,Senna,Aatrox
