year,season,league_name,week,team_1,team_2,set_number,state
2017.0,spring,VCS,1,e.Hub United,Cherry Esports,1.0,this row doesn't have MH_url
2017.0,spring,VCS,1,e.Hub United,Cherry Esports,2.0,this row doesn't have MH_url
2017.0,spring,VCS,1,GAM Esports,Friends Forever Gaming,1.0,this row doesn't have MH_url
2017.0,spring,VCS,1,GAM Esports,Friends Forever Gaming,2.0,this row doesn't have MH_url
2017.0,spring,VCS,1,Ultimate,Next Gen Esports,1.0,this row doesn't have MH_url
2017.0,spring,VCS,1,Ultimate,Next Gen Esports,2.0,this row doesn't have MH_url
2017.0,spring,VCS,1,Ultimate,Next Gen Esports,3.0,this row doesn't have MH_url
2017.0,spring,VCS,1,Cherry Esports,Young Generation,1.0,this row doesn't have MH_url
2017.0,spring,VCS,1,Cherry Esports,Young Generation,2.0,this row doesn't have MH_url
2017.0,spring,VCS,1,Next Gen Esports,e.Hub United,1.0,this row doesn't have MH_url
2017.0,spring,VCS,1,Next Gen Esports,e.Hub United,2.0,this row doesn't have MH_url
2017.0,spring,VCS,1,Friends Forever Gaming,Ultimate,1.0,this row doesn't have MH_url
2017.0,spring,VCS,1,Friends Forever Gaming,Ultimate,2.0,this row doesn't have MH_url
2017.0,spring,VCS,1,Next Gen Esports,Friends Forever Gaming,1.0,this row doesn't have MH_url
2017.0,spring,VCS,1,Next Gen Esports,Friends Forever Gaming,2.0,this row doesn't have MH_url
2017.0,spring,VCS,1,GAM Esports,Young Generation,1.0,this row doesn't have MH_url
2017.0,spring,VCS,1,GAM Esports,Young Generation,2.0,this row doesn't have MH_url
2017.0,spring,VCS,2,Cherry Esports,Ultimate,1.0,this row doesn't have MH_url
2017.0,spring,VCS,2,Cherry Esports,Ultimate,2.0,this row doesn't have MH_url
2017.0,spring,VCS,2,e.Hub United,Friends Forever Gaming,1.0,this row doesn't have MH_url
2017.0,spring,VCS,2,e.Hub United,Friends Forever Gaming,2.0,this row doesn't have MH_url
2017.0,spring,VCS,2,e.Hub United,Friends Forever Gaming,3.0,this row doesn't have MH_url
2017.0,spring,VCS,2,Next Gen Esports,GAM Esports,1.0,this row doesn't have MH_url
2017.0,spring,VCS,2,Next Gen Esports,GAM Esports,2.0,this row doesn't have MH_url
2017.0,spring,VCS,2,Ultimate,Young Generation,1.0,this row doesn't have MH_url
2017.0,spring,VCS,2,Ultimate,Young Generation,2.0,this row doesn't have MH_url
2017.0,spring,VCS,2,Ultimate,Young Generation,3.0,this row doesn't have MH_url
2017.0,spring,VCS,2,Friends Forever Gaming,Young Generation,1.0,this row doesn't have MH_url
2017.0,spring,VCS,2,Friends Forever Gaming,Young Generation,2.0,this row doesn't have MH_url
2017.0,spring,VCS,2,Friends Forever Gaming,Young Generation,3.0,this row doesn't have MH_url
2017.0,spring,VCS,2,e.Hub United,GAM Esports,1.0,this row doesn't have MH_url
2017.0,spring,VCS,2,e.Hub United,GAM Esports,2.0,this row doesn't have MH_url
2017.0,spring,VCS,2,Next Gen Esports,Cherry Esports,1.0,this row doesn't have MH_url
2017.0,spring,VCS,2,Next Gen Esports,Cherry Esports,2.0,this row doesn't have MH_url
2017.0,spring,VCS,2,Next Gen Esports,Cherry Esports,3.0,this row doesn't have MH_url
2017.0,spring,VCS,2,e.Hub United,Ultimate,1.0,this row doesn't have MH_url
2017.0,spring,VCS,2,e.Hub United,Ultimate,2.0,this row doesn't have MH_url
2017.0,spring,VCS,2,e.Hub United,Ultimate,3.0,this row doesn't have MH_url
2017.0,spring,VCS,3,GAM Esports,Cherry Esports,1.0,this row doesn't have MH_url
2017.0,spring,VCS,3,GAM Esports,Cherry Esports,2.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Young Generation,Next Gen Esports,1.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Young Generation,Next Gen Esports,2.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Young Generation,Next Gen Esports,3.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Young Generation,e.Hub United,1.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Young Generation,e.Hub United,2.0,this row doesn't have MH_url
2017.0,spring,VCS,3,GAM Esports,Ultimate,1.0,this row doesn't have MH_url
2017.0,spring,VCS,3,GAM Esports,Ultimate,2.0,this row doesn't have MH_url
2017.0,spring,VCS,3,GAM Esports,Ultimate,3.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Friends Forever Gaming,Cherry Esports,1.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Friends Forever Gaming,Cherry Esports,2.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Next Gen Esports,Ultimate,1.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Next Gen Esports,Ultimate,2.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Next Gen Esports,Ultimate,3.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Cherry Esports,e.Hub United,1.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Cherry Esports,e.Hub United,2.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Cherry Esports,e.Hub United,3.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Friends Forever Gaming,GAM Esports,1.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Friends Forever Gaming,GAM Esports,2.0,this row doesn't have MH_url
2017.0,spring,VCS,3,Friends Forever Gaming,GAM Esports,3.0,this row doesn't have MH_url
2017.0,spring,VCS,4,e.Hub United,Next Gen Esports,1.0,this row doesn't have MH_url
2017.0,spring,VCS,4,e.Hub United,Next Gen Esports,2.0,this row doesn't have MH_url
2017.0,spring,VCS,4,e.Hub United,Next Gen Esports,3.0,this row doesn't have MH_url
