year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2018.0,spring,VCS,1,Hall of Fame,EVOS Esports,1.0,30:14,OK,blue,HOF,   DEFEAT   ,51.5k,5,  3 ,  0 ,  1 ,  0 ,  0 ,Zoe,Shen,Malzahar,Ornn,Cassiopeia
2018.0,spring,VCS,1,Hall of Fame,EVOS Esports,1.0,30:14,OK,red,EVS,   VICTORY   ,57.9k,13,  9 ,  1 ,  0 ,  2 ,  1 ,Kalista,Ezreal,Azir,Janna,Braum
2018.0,spring,VCS,1,Hall of Fame,EVOS Esports,2.0,32:34,OK,blue,EVS,   VICTORY   ,71.2k,18,  11 ,  4 ,  1 ,  2 ,  1 ,Sejuani,JarvanIV,Kalista,Ryze,Ezreal
2018.0,spring,VCS,1,Hall of Fame,EVOS Esports,2.0,32:34,OK,red,HOF,   DEFEAT   ,56.6k,9,  1 ,  0 ,  1 ,  1 ,  0 ,Zoe,Khazix,Malzahar,Shyvana,Gnar
2018.0,spring,VCS,1,Young Generation,FTV Esports,1.0,37:03,OK,blue,YG,   DEFEAT   ,63.9k,8,  4 ,  0 ,  0 ,  0 ,  1 ,Nidalee,Zoe,Janna,Varus,KogMaw
2018.0,spring,VCS,1,Young Generation,FTV Esports,1.0,37:03,OK,red,FTV,   VICTORY   ,77.5k,17,  10 ,  2 ,  2 ,  2 ,  0 ,Ornn,Ezreal,JarvanIV,Shen,Braum
2018.0,spring,VCS,1,Young Generation,FTV Esports,2.0,38:53,OK,blue,FTV,   DEFEAT   ,68.7k,10,  4 ,  0 ,  0 ,  2 ,  0 ,Ornn,Zoe,JarvanIV,Shen,Alistar
2018.0,spring,VCS,1,Young Generation,FTV Esports,2.0,38:53,OK,red,YG,   VICTORY   ,76.1k,16,  8 ,  1 ,  2 ,  1 ,  0 ,Nidalee,TahmKench,Kalista,Camille,Gnar
2018.0,spring,VCS,1,Young Generation,FTV Esports,3.0,24:43,OK,blue,YG,   VICTORY   ,49.4k,11,  6 ,  1 ,  1 ,  0 ,  0 ,Nidalee,TahmKench,Ryze,Janna,Elise
2018.0,spring,VCS,1,Young Generation,FTV Esports,3.0,24:43,OK,red,FTV,   DEFEAT   ,46.7k,9,  5 ,  1 ,  0 ,  1 ,  0 ,JarvanIV,Vladimir,Sejuani,Shen,LeeSin
2018.0,spring,VCS,1,Ultimate,Cherry Esports,1.0,32:32,OK,blue,UTM,   DEFEAT   ,52.7k,4,  0 ,  0 ,  0 ,  0 ,  0 ,TahmKench,Sejuani,Azir,Fiora,Vladimir
2018.0,spring,VCS,1,Ultimate,Cherry Esports,1.0,32:32,OK,red,CR,   VICTORY   ,67.9k,13,  9 ,  1 ,  2 ,  3 ,  0 ,Kalista,Ezreal,Rengar,Thresh,Shen
2018.0,spring,VCS,1,Ultimate,Cherry Esports,2.0,28:54,OK,blue,CR,   DEFEAT   ,51.0k,11,  2 ,  0 ,  0 ,  1 ,  0 ,Rengar,Kalista,Zoe,Taric,Shen
2018.0,spring,VCS,1,Ultimate,Cherry Esports,2.0,28:54,OK,red,UTM,   VICTORY   ,56.7k,16,  9 ,  2 ,  1 ,  0 ,  1 ,TahmKench,Azir,Ryze,Malzahar,Gnar
2018.0,spring,VCS,1,Ultimate,Cherry Esports,3.0,44:52,OK,blue,UTM,   VICTORY   ,83.2k,12,  10 ,  3 ,  1 ,  0 ,  1 ,TahmKench,Azir,KogMaw,Alistar,Ornn
2018.0,spring,VCS,1,Ultimate,Cherry Esports,3.0,44:52,OK,red,CR,   DEFEAT   ,84.5k,30,  2 ,  0 ,  2 ,  3 ,  0 ,Kalista,Rengar,Ezreal,Camille,Jayce
2018.0,spring,VCS,1,GAM Esports,Friends Forever Gaming,1.0,30:16,OK,blue,GAM,   VICTORY   ,66.0k,23,  9 ,  1 ,  1 ,  2 ,  1 ,TahmKench,Kalista,Zoe,Braum,Gnar
2018.0,spring,VCS,1,GAM Esports,Friends Forever Gaming,1.0,30:16,OK,red,FFQ,   DEFEAT   ,47.5k,5,  1 ,  0 ,  0 ,  0 ,  0 ,Azir,Jayce,Camille,Janna,KogMaw
