year,season,league_name,week,team_1,team_2,set_number,game_length,state,side,team,result,total_golds,total_kills,tower_kills,inhibitor_kills,baron_kills,dragon_kills,rift_kills,ban1,ban2,ban3,ban4,ban5
2019.0,summer,VCS,1,EVOS Esports,FTV Esports,1.0,35:10,OK,blue,EVS,   DEFEAT   ,60.3k,5,  5 ,  0 ,  0 ,  2 ,  0 ,Gragas,Morgana,Jayce,Rakan,Nautilus
2019.0,summer,VCS,1,EVOS Esports,FTV Esports,1.0,35:10,OK,red,FTV,   VICTORY   ,66.1k,7,  10 ,  2 ,  2 ,  3 ,  1 ,Sejuani,Irelia,Aatrox,Yuumi,Syndra
2019.0,summer,VCS,1,EVOS Esports,FTV Esports,2.0,23:24,OK,blue,FTV,   DEFEAT   ,35.5k,4,  0 ,  0 ,  0 ,  0 ,  1 ,Irelia,Jayce,Sejuani,Renekton,Syndra
2019.0,summer,VCS,1,EVOS Esports,FTV Esports,2.0,23:24,OK,red,EVS,   VICTORY   ,51.2k,15,  11 ,  2 ,  1 ,  3 ,  0 ,Aatrox,Gragas,Karma,Varus,Sivir
2019.0,summer,VCS,1,EVOS Esports,FTV Esports,3.0,27:25,OK,blue,EVS,   VICTORY   ,58.2k,21,  10 ,  2 ,  1 ,  3 ,  0 ,Morgana,Jayce,Thresh,Rakan,
2019.0,summer,VCS,1,EVOS Esports,FTV Esports,3.0,27:25,OK,red,FTV,   DEFEAT   ,46.3k,10,  4 ,  0 ,  0 ,  0 ,  1 ,Sejuani,Irelia,Aatrox,Renekton,Akali
2019.0,summer,VCS,1,QTV Gaming,Saigon Buffalo,1.0,36:37,OK,blue,QG,   DEFEAT   ,67.2k,10,  7 ,  0 ,  0 ,  4 ,  0 ,Lux,Neeko,Yuumi,TahmKench,Zoe
2019.0,summer,VCS,1,QTV Gaming,Saigon Buffalo,1.0,36:37,OK,red,DBL,   VICTORY   ,69.6k,13,  6 ,  1 ,  1 ,  1 ,  1 ,Karma,Xayah,Kennen,Thresh,Alistar
2019.0,summer,VCS,1,QTV Gaming,Saigon Buffalo,2.0,32:04,OK,blue,DBL,   VICTORY   ,66.5k,26,  7 ,  1 ,  1 ,  0 ,  0 ,Karma,Nautilus,Xayah,Thresh,Galio
2019.0,summer,VCS,1,QTV Gaming,Saigon Buffalo,2.0,32:04,OK,red,QG,   DEFEAT   ,58.3k,20,  4 ,  0 ,  1 ,  4 ,  1 ,Neeko,Lux,Yuumi,Akali,Zoe
