date,league_name,year,match_type,team_1,team_2,win_odds_home,win_odds_away
08 Sep 2018,CBLOL,2018.0,Summer - Play offs,KaBuM! e-Sports,Flamengo,1.75,2.02
25 Aug 2018,CBLOL,2018.0,Summer - Play offs,Flamengo,CNB e-Sports,1.51,2.42
18 Aug 2018,CBLOL,2018.0,Summer - Play offs,CNB e-Sports,Vivo Keyd,2.58,1.45
05 Aug 2018,CBLOL,2018.0,Summer Season,RED Canids,Flamengo,2.43,1.50
05 Aug 2018,CBLOL,2018.0,Summer Season,Ilha da Macacada Gaming,INTZ-eSports,1.77,1.93
04 Aug 2018,CBLOL,2018.0,Summer Season,Vivo Keyd,CNB e-Sports,1.99,1.76
04 Aug 2018,CBLOL,2018.0,Summer Season,ProGaming e-Sports,KaBuM! e-Sports,2.90,1.37
29 Jul 2018,CBLOL,2018.0,Summer Season,KaBuM! e-Sports,CNB e-Sports,2.09,1.67
29 Jul 2018,CBLOL,2018.0,Summer Season,INTZ-eSports,RED Canids,1.92,1.80
28 Jul 2018,CBLOL,2018.0,Summer Season,Vivo Keyd,Flamengo,2.12,1.65
28 Jul 2018,CBLOL,2018.0,Summer Season,ProGaming e-Sports,Ilha da Macacada Gaming,1.52,2.40
22 Jul 2018,CBLOL,2018.0,Summer Season,RED Canids,Vivo Keyd,2.81,1.39
22 Jul 2018,CBLOL,2018.0,Summer Season,INTZ-eSports,ProGaming e-Sports,2.24,1.58
21 Jul 2018,CBLOL,2018.0,Summer Season,KaBuM! e-Sports,Ilha da Macacada Gaming,1.58,2.24
21 Jul 2018,CBLOL,2018.0,Summer Season,Flamengo,CNB e-Sports,2.29,1.55
01 Jul 2018,CBLOL,2018.0,Summer Season,CNB e-Sports,INTZ-eSports,1.59,2.24
01 Jul 2018,CBLOL,2018.0,Summer Season,RED Canids,Ilha da Macacada Gaming,2.02,1.71
30 Jun 2018,CBLOL,2018.0,Summer Season,Flamengo,ProGaming e-Sports,1.68,2.08
30 Jun 2018,CBLOL,2018.0,Summer Season,KaBuM! e-Sports,Vivo Keyd,1.76,1.99
24 Jun 2018,CBLOL,2018.0,Summer Season,RED Canids,KaBuM! e-Sports,1.52,2.39
24 Jun 2018,CBLOL,2018.0,Summer Season,Ilha da Macacada Gaming,Vivo Keyd,6.13,1.11
23 Jun 2018,CBLOL,2018.0,Summer Season,CNB e-Sports,ProGaming e-Sports,1.50,2.44
23 Jun 2018,CBLOL,2018.0,Summer Season,INTZ-eSports,Flamengo,1.54,2.37
16 Jun 2018,CBLOL,2018.0,Summer Season,Ilha da Macacada Gaming,CNB e-Sports,2.86,1.40
16 Jun 2018,CBLOL,2018.0,Summer Season,KaBuM! e-Sports,Flamengo,1.24,3.73
15 Jun 2018,CBLOL,2018.0,Summer Season,Vivo Keyd,INTZ-eSports,1.31,3.24
15 Jun 2018,CBLOL,2018.0,Summer Season,ProGaming e-Sports,RED Canids,3.36,1.29
09 Jun 2018,CBLOL,2018.0,Summer Season,Vivo Keyd,ProGaming e-Sports,1.31,3.36
09 Jun 2018,CBLOL,2018.0,Summer Season,INTZ-eSports,KaBuM! e-Sports,2.97,1.38
07 Apr 2018,CBLOL,2018.0,Spring - Play Offs,KaBuM! e-Sports,Vivo Keyd,1.66,2.14
24 Mar 2018,CBLOL,2018.0,Spring - Play Offs,RED Canids,Vivo Keyd,1.28,3.45
18 Mar 2018,CBLOL,2018.0,Spring - Play Offs,Vivo Keyd,CNB e-Sports,1.49,2.48
17 Mar 2018,CBLOL,2018.0,Spring - Play Offs,CNB e-Sports,ProGaming e-Sports,3.07,1.34
11 Mar 2018,CBLOL,2018.0,Spring Season,paiN Gaming,RED Canids,3.84,1.23
11 Mar 2018,CBLOL,2018.0,Spring Season,INTZ-eSports,KaBuM! e-Sports,3.11,1.34
10 Mar 2018,CBLOL,2018.0,Spring Season,CNB e-Sports,Vivo Keyd,2.86,1.39
10 Mar 2018,CBLOL,2018.0,Spring Season,ProGaming e-Sports,Team oNe eSports,1.17,4.60
04 Mar 2018,CBLOL,2018.0,Spring Season,Vivo Keyd,KaBuM! e-Sports,2.73,1.42
04 Mar 2018,CBLOL,2018.0,Spring Season,CNB e-Sports,Team oNe eSports,1.52,2.44
