date,league_name,year,match_type,team_1,team_2,win_odds_home,win_odds_away
"Yesterday, 26 Aug ",LCK,2020.0,Aug  - Summer - Play offs,T1,Afreeca Freecs,1.13,5.66
23 Aug 2020,LCK,2020.0,Summer Season,Team Dynamics,Hanwha Life,1.38,2.96
23 Aug 2020,LCK,2020.0,Summer Season,DRX,T1,1.71,2.10
22 Aug 2020,LCK,2020.0,Summer Season,KT Rolster,DAMWON Gaming,9.42,1.05
22 Aug 2020,LCK,2020.0,Summer Season,Afreeca Freecs,Gen.G,4.48,1.19
21 Aug 2020,LCK,2020.0,Summer Season,Team Dynamics,SeolHaeOne Prince,1.39,2.83
21 Aug 2020,LCK,2020.0,Summer Season,SANDBOX Gaming,Hanwha Life,1.32,3.27
20 Aug 2020,LCK,2020.0,Summer Season,Afreeca Freecs,KT Rolster,1.59,2.32
20 Aug 2020,LCK,2020.0,Summer Season,T1,DAMWON Gaming,2.48,1.51
16 Aug 2020,LCK,2020.0,Summer Season,DRX,SeolHaeOne Prince,1.02,13.65
16 Aug 2020,LCK,2020.0,Summer Season,Hanwha Life,Gen.G,9.16,1.05
15 Aug 2020,LCK,2020.0,Summer Season,Afreeca Freecs,SANDBOX Gaming,1.38,2.97
15 Aug 2020,LCK,2020.0,Summer Season,Team Dynamics,DAMWON Gaming,10.05,1.04
14 Aug 2020,LCK,2020.0,Summer Season,DRX,Hanwha Life,1.05,9.73
14 Aug 2020,LCK,2020.0,Summer Season,KT Rolster,SeolHaeOne Prince,1.13,5.77
13 Aug 2020,LCK,2020.0,Summer Season,Afreeca Freecs,T1,4.11,1.21
13 Aug 2020,LCK,2020.0,Summer Season,SANDBOX Gaming,Gen.G,7.68,1.08
09 Aug 2020,LCK,2020.0,Summer Season,KT Rolster,Gen.G,4.47,1.20
09 Aug 2020,LCK,2020.0,Summer Season,T1,Team Dynamics,1.12,6.01
08 Aug 2020,LCK,2020.0,Summer Season,SeolHaeOne Prince,DAMWON Gaming,12.92,1.02
08 Aug 2020,LCK,2020.0,Summer Season,DRX,SANDBOX Gaming,1.12,6.03
07 Aug 2020,LCK,2020.0,Summer Season,KT Rolster,Hanwha Life,1.21,4.17
07 Aug 2020,LCK,2020.0,Summer Season,Afreeca Freecs,Team Dynamics,1.26,3.75
06 Aug 2020,LCK,2020.0,Summer Season,T1,SeolHaeOne Prince,1.03,10.81
06 Aug 2020,LCK,2020.0,Summer Season,DAMWON Gaming,Gen.G,1.55,2.38
02 Aug 2020,LCK,2020.0,Summer Season,T1,SANDBOX Gaming,1.17,4.80
02 Aug 2020,LCK,2020.0,Summer Season,DAMWON Gaming,Hanwha Life,1.03,11.50
01 Aug 2020,LCK,2020.0,Summer Season,DRX,Afreeca Freecs,1.19,4.47
01 Aug 2020,LCK,2020.0,Summer Season,SeolHaeOne Prince,Gen.G,10.12,1.04
31 Jul 2020,LCK,2020.0,Summer Season,Team Dynamics,SANDBOX Gaming,1.99,1.78
31 Jul 2020,LCK,2020.0,Summer Season,KT Rolster,T1,3.39,1.30
30 Jul 2020,LCK,2020.0,Summer Season,DRX,DAMWON Gaming,1.87,1.88
30 Jul 2020,LCK,2020.0,Summer Season,Afreeca Freecs,Hanwha Life,1.17,4.88
26 Jul 2020,LCK,2020.0,Summer Season,KT Rolster,Team Dynamics,1.64,2.20
26 Jul 2020,LCK,2020.0,Summer Season,SeolHaeOne Prince,SANDBOX Gaming,3.76,1.26
25 Jul 2020,LCK,2020.0,Summer Season,DRX,Gen.G,1.85,1.90
25 Jul 2020,LCK,2020.0,Summer Season,T1,Hanwha Life,1.08,7.26
24 Jul 2020,LCK,2020.0,Summer Season,Afreeca Freecs,SeolHaeOne Prince,1.18,4.67
24 Jul 2020,LCK,2020.0,Summer Season,SANDBOX Gaming,DAMWON Gaming,6.48,1.10
23 Jul 2020,LCK,2020.0,Summer Season,Team Dynamics,Gen.G,6.13,1.10
23 Jul 2020,LCK,2020.0,Summer Season,DRX,KT Rolster,1.16,4.97
19 Jul 2020,LCK,2020.0,Summer Season,DRX,Team Dynamics,1.12,5.53
19 Jul 2020,LCK,2020.0,Summer Season,SeolHaeOne Prince,Hanwha Life,1.96,1.81
18 Jul 2020,LCK,2020.0,Summer Season,T1,Gen.G,1.82,1.94
18 Jul 2020,LCK,2020.0,Summer Season,KT Rolster,SANDBOX Gaming,1.97,1.78
17 Jul 2020,LCK,2020.0,Summer Season,Afreeca Freecs,DAMWON Gaming,4.62,1.18
17 Jul 2020,LCK,2020.0,Summer Season,DRX,Hanwha Life,1.05,9.82
16 Jul 2020,LCK,2020.0,Summer Season,SeolHaeOne Prince,SANDBOX Gaming,3.41,1.31
16 Jul 2020,LCK,2020.0,Summer Season,KT Rolster,T1,3.81,1.25
15 Jul 2020,LCK,2020.0,Summer Season,Team Dynamics,DAMWON Gaming,5.65,1.13
15 Jul 2020,LCK,2020.0,Summer Season,Afreeca Freecs,Gen.G,3.33,1.31
12 Jul 2020,LCK,2020.0,Summer Season,Hanwha Life,Gen.G,7.54,1.07
12 Jul 2020,LCK,2020.0,Summer Season,T1,Team Dynamics,1.13,5.68
11 Jul 2020,LCK,2020.0,Summer Season,Afreeca Freecs,SeolHaeOne Prince,1.23,3.98
11 Jul 2020,LCK,2020.0,Summer Season,DRX,DAMWON Gaming,1.88,1.87
10 Jul 2020,LCK,2020.0,Summer Season,KT Rolster,SANDBOX Gaming,1.48,2.59
10 Jul 2020,LCK,2020.0,Summer Season,Team Dynamics,Gen.G,4.60,1.18
09 Jul 2020,LCK,2020.0,Summer Season,Afreeca Freecs,DAMWON Gaming,3.41,1.30
09 Jul 2020,LCK,2020.0,Summer Season,T1,SeolHaeOne Prince,1.07,8.08
08 Jul 2020,LCK,2020.0,Summer Season,SANDBOX Gaming,Hanwha Life,1.54,2.38
08 Jul 2020,LCK,2020.0,Summer Season,DRX,KT Rolster,1.11,6.31
05 Jul 2020,LCK,2020.0,Summer Season,Afreeca Freecs,KT Rolster,1.71,2.09
05 Jul 2020,LCK,2020.0,Summer Season,DRX,SeolHaeOne Prince,1.08,7.78
04 Jul 2020,LCK,2020.0,Summer Season,Team Dynamics,SANDBOX Gaming,1.35,3.13
04 Jul 2020,LCK,2020.0,Summer Season,DAMWON Gaming,Hanwha Life,1.10,6.73
03 Jul 2020,LCK,2020.0,Summer Season,T1,Gen.G,1.91,1.85
03 Jul 2020,LCK,2020.0,Summer Season,KT Rolster,SeolHaeOne Prince,1.54,2.42
02 Jul 2020,LCK,2020.0,Summer Season,DRX,Team Dynamics,1.23,4.03
02 Jul 2020,LCK,2020.0,Summer Season,Afreeca Freecs,Hanwha Life,1.30,3.44
01 Jul 2020,LCK,2020.0,Summer Season,SANDBOX Gaming,Gen.G,6.43,1.10
01 Jul 2020,LCK,2020.0,Summer Season,T1,DAMWON Gaming,1.70,2.10
28 Jun 2020,LCK,2020.0,Summer Season,T1,SANDBOX Gaming,1.10,6.57
28 Jun 2020,LCK,2020.0,Summer Season,DRX,Afreeca Freecs,1.28,3.53
27 Jun 2020,LCK,2020.0,Summer Season,KT Rolster,DAMWON Gaming,2.83,1.41
27 Jun 2020,LCK,2020.0,Summer Season,SeolHaeOne Prince,Gen.G,5.24,1.15
26 Jun 2020,LCK,2020.0,Summer Season,Team Dynamics,Hanwha Life,1.51,2.50
26 Jun 2020,LCK,2020.0,Summer Season,Afreeca Freecs,T1,3.38,1.31
25 Jun 2020,LCK,2020.0,Summer Season,DAMWON Gaming,Gen.G,2.06,1.74
25 Jun 2020,LCK,2020.0,Summer Season,DRX,SANDBOX Gaming,1.08,7.39
24 Jun 2020,LCK,2020.0,Summer Season,KT Rolster,Hanwha Life,1.45,2.69
24 Jun 2020,LCK,2020.0,Summer Season,Team Dynamics,SeolHaeOne Prince,1.72,2.07
21 Jun 2020,LCK,2020.0,Summer Season,SeolHaeOne Prince,DAMWON Gaming,3.28,1.31
21 Jun 2020,LCK,2020.0,Summer Season,KT Rolster,Gen.G,3.23,1.32
20 Jun 2020,LCK,2020.0,Summer Season,T1,Hanwha Life,1.12,5.50
20 Jun 2020,LCK,2020.0,Summer Season,Afreeca Freecs,Team Dynamics,1.54,2.41
19 Jun 2020,LCK,2020.0,Summer Season,DRX,Gen.G,1.80,1.97
19 Jun 2020,LCK,2020.0,Summer Season,SANDBOX Gaming,DAMWON Gaming,3.19,1.34
18 Jun 2020,LCK,2020.0,Summer Season,SeolHaeOne Prince,Hanwha Life,2.09,1.69
18 Jun 2020,LCK,2020.0,Summer Season,KT Rolster,Team Dynamics,1.28,3.60
17 Jun 2020,LCK,2020.0,Summer Season,DRX,T1,2.37,1.57
17 Jun 2020,LCK,2020.0,Summer Season,Afreeca Freecs,SANDBOX Gaming,1.62,2.25
25 Apr 2020,LCK,2020.0,Spring - Play Offs,Gen.G,T1,2.32,1.58
22 Apr 2020,LCK,2020.0,Spring - Play Offs,T1,DRX,1.42,2.73
20 Apr 2020,LCK,2020.0,Spring - Play Offs,DRX,DAMWON Gaming,1.29,3.47
18 Apr 2020,LCK,2020.0,Spring - Play Offs,KT Rolster,DAMWON Gaming,1.70,2.08
16 Apr 2020,LCK,2020.0,Spring Season,SeolHaeOne Prince,DRX,4.76,1.17
16 Apr 2020,LCK,2020.0,Spring Season,Griffin,Hanwha Life,2.15,1.66
15 Apr 2020,LCK,2020.0,Spring Season,DAMWON Gaming,SANDBOX Gaming,1.33,3.21
15 Apr 2020,LCK,2020.0,Spring Season,Afreeca Freecs,T1,4.25,1.21
15 Apr 2020,LCK,2020.0,Spring Season,Gen.G,KT Rolster,1.45,2.65
12 Apr 2020,LCK,2020.0,Spring Season,Hanwha Life,Gen.G,5.47,1.13
12 Apr 2020,LCK,2020.0,Spring Season,DRX,Afreeca Freecs,1.25,3.85
11 Apr 2020,LCK,2020.0,Spring Season,SANDBOX Gaming,KT Rolster,2.90,1.39
11 Apr 2020,LCK,2020.0,Spring Season,Hanwha Life,SeolHaeOne Prince,1.87,1.85
10 Apr 2020,LCK,2020.0,Spring Season,KT Rolster,T1,3.70,1.25
10 Apr 2020,LCK,2020.0,Spring Season,DRX,DAMWON Gaming,1.43,2.72
09 Apr 2020,LCK,2020.0,Spring Season,Griffin,Afreeca Freecs,1.86,1.87
09 Apr 2020,LCK,2020.0,Spring Season,T1,SANDBOX Gaming,1.12,5.62
08 Apr 2020,LCK,2020.0,Spring Season,SeolHaeOne Prince,Gen.G,5.68,1.13
08 Apr 2020,LCK,2020.0,Spring Season,DAMWON Gaming,Griffin,1.16,4.97
05 Apr 2020,LCK,2020.0,Spring Season,Afreeca Freecs,Hanwha Life,1.44,2.68
05 Apr 2020,LCK,2020.0,Spring Season,Griffin,SeolHaeOne Prince,2.30,1.62
05 Apr 2020,LCK,2020.0,Spring Season,T1,DAMWON Gaming,1.26,3.66
04 Apr 2020,LCK,2020.0,Spring Season,DRX,Gen.G,2.69,1.42
04 Apr 2020,LCK,2020.0,Spring Season,SANDBOX Gaming,Hanwha Life,1.88,1.85
04 Apr 2020,LCK,2020.0,Spring Season,KT Rolster,SeolHaeOne Prince,1.27,3.58
03 Apr 2020,LCK,2020.0,Spring Season,Afreeca Freecs,DAMWON Gaming,2.14,1.65
03 Apr 2020,LCK,2020.0,Spring Season,T1,Griffin,1.05,9.45
03 Apr 2020,LCK,2020.0,Spring Season,Gen.G,SANDBOX Gaming,1.06,8.40
02 Apr 2020,LCK,2020.0,Spring Season,KT Rolster,DRX,2.52,1.48
02 Apr 2020,LCK,2020.0,Spring Season,Hanwha Life,DAMWON Gaming,2.68,1.44
02 Apr 2020,LCK,2020.0,Spring Season,SeolHaeOne Prince,Afreeca Freecs,3.46,1.29
01 Apr 2020,LCK,2020.0,Spring Season,Gen.G,T1,1.66,2.12
01 Apr 2020,LCK,2020.0,Spring Season,KT Rolster,Griffin,1.17,4.65
01 Apr 2020,LCK,2020.0,Spring Season,SANDBOX Gaming,DRX,4.21,1.21
29 Mar 2020,LCK,2020.0,Spring Season,KT Rolster,Afreeca Freecs,2.03,1.73
29 Mar 2020,LCK,2020.0,Spring Season,SeolHaeOne Prince,SANDBOX Gaming,3.39,1.30
29 Mar 2020,LCK,2020.0,Spring Season,T1,Hanwha Life,1.13,5.57
28 Mar 2020,LCK,2020.0,Spring Season,Griffin,DRX,5.20,1.14
28 Mar 2020,LCK,2020.0,Spring Season,Afreeca Freecs,Gen.G,3.71,1.25
28 Mar 2020,LCK,2020.0,Spring Season,DAMWON Gaming,SeolHaeOne Prince,1.22,4.13
27 Mar 2020,LCK,2020.0,Spring Season,DRX,T1,2.17,1.64
27 Mar 2020,LCK,2020.0,Spring Season,SANDBOX Gaming,Griffin,1.84,2.14
27 Mar 2020,LCK,2020.0,Spring Season,Hanwha Life,KT Rolster,2.48,1.50
26 Mar 2020,LCK,2020.0,Spring Season,Gen.G,DAMWON Gaming,1.21,4.14
26 Mar 2020,LCK,2020.0,Spring Season,T1,SeolHaeOne Prince,1.06,8.84
26 Mar 2020,LCK,2020.0,Spring Season,Afreeca Freecs,SANDBOX Gaming,1.30,3.37
25 Mar 2020,LCK,2020.0,Spring Season,Hanwha Life,DRX,4.70,1.17
25 Mar 2020,LCK,2020.0,Spring Season,DAMWON Gaming,KT Rolster,1.65,2.18
25 Mar 2020,LCK,2020.0,Spring Season,Gen.G,Griffin,1.08,7.24
06 Mar 2020,LCK,2020.0,Spring Season,Griffin,KT Rolster,2.27,1.60
05 Mar 2020,LCK,2020.0,Spring Season,Afreeca Freecs,T1,3.13,1.34
05 Mar 2020,LCK,2020.0,Spring Season,SANDBOX Gaming,Gen.G,5.04,1.15
04 Mar 2020,LCK,2020.0,Spring Season,Hanwha Life,SeolHaeOne Prince,1.31,3.33
04 Mar 2020,LCK,2020.0,Spring Season,DAMWON Gaming,DRX,3.16,1.34
01 Mar 2020,LCK,2020.0,Spring Season,DRX,Griffin,1.23,3.98
01 Mar 2020,LCK,2020.0,Spring Season,Gen.G,SeolHaeOne Prince,1.05,9.63
29 Feb 2020,LCK,2020.0,Spring Season,DAMWON Gaming,Afreeca Freecs,2.18,1.65
29 Feb 2020,LCK,2020.0,Spring Season,KT Rolster,Hanwha Life,2.28,1.59
