date,league_name,year,match_type,team_1,team_2,win_odds_home,win_odds_away
15 Sep 2019,LCL,2019.0,Summer - Play offs,Unicorns of Love,Vega Squadron,1.19,4.41
01 Sep 2019,LCL,2019.0,Summer - Play offs,Gambit Esports,Vega Squadron,1.13,5.64
31 Aug 2019,LCL,2019.0,Summer - Play offs,Unicorns of Love,Elements Pro Gaming,1.09,6.13
25 Aug 2019,LCL,2019.0,Summer Season,RoX,Vaevictis eSports,-,-
25 Aug 2019,LCL,2019.0,Summer Season,Gambit Esports,Vega Squadron,1.40,2.70
25 Aug 2019,LCL,2019.0,Summer Season,M19,Dragon Army,3.97,1.19
25 Aug 2019,LCL,2019.0,Summer Season,Elements Pro Gaming,Unicorns of Love,7.00,1.04
24 Aug 2019,LCL,2019.0,Summer Season,RoX,Dragon Army,1.38,2.90
24 Aug 2019,LCL,2019.0,Summer Season,Vega Squadron,Elements Pro Gaming,1.41,2.77
24 Aug 2019,LCL,2019.0,Summer Season,Vaevictis eSports,Unicorns of Love,-,-
24 Aug 2019,LCL,2019.0,Summer Season,M19,Gambit Esports,6.46,1.10
18 Aug 2019,LCL,2019.0,Summer Season,RoX,Unicorns of Love,6.79,1.09
18 Aug 2019,LCL,2019.0,Summer Season,Vaevictis eSports,Gambit Esports,-,-
18 Aug 2019,LCL,2019.0,Summer Season,Unicorns of Love,M19,1.06,7.43
18 Aug 2019,LCL,2019.0,Summer Season,Vaevictis eSports,Elements Pro Gaming,-,-
18 Aug 2019,LCL,2019.0,Summer Season,Gambit Esports,Dragon Army,1.14,5.16
18 Aug 2019,LCL,2019.0,Summer Season,Vega Squadron,M19,1.13,5.20
17 Aug 2019,LCL,2019.0,Summer Season,Dragon Army,Elements Pro Gaming,2.79,1.34
17 Aug 2019,LCL,2019.0,Summer Season,M19,Vaevictis eSports,1.01,10.82
17 Aug 2019,LCL,2019.0,Summer Season,Elements Pro Gaming,RoX,1.55,2.26
17 Aug 2019,LCL,2019.0,Summer Season,Dragon Army,Vega Squadron,3.34,1.23
17 Aug 2019,LCL,2019.0,Summer Season,Unicorns of Love,Gambit Esports,2.27,1.55
17 Aug 2019,LCL,2019.0,Summer Season,RoX,Vega Squadron,2.61,1.41
11 Aug 2019,LCL,2019.0,Summer Season,Unicorns of Love,Vega Squadron,1.43,2.70
11 Aug 2019,LCL,2019.0,Summer Season,Elements Pro Gaming,M19,1.33,3.09
11 Aug 2019,LCL,2019.0,Summer Season,Dragon Army,Unicorns of Love,5.48,1.11
11 Aug 2019,LCL,2019.0,Summer Season,Vega Squadron,Vaevictis eSports,1.01,10.55
11 Aug 2019,LCL,2019.0,Summer Season,Gambit Esports,RoX,1.21,4.01
11 Aug 2019,LCL,2019.0,Summer Season,Dragon Army,Vaevictis eSports,1.04,7.93
10 Aug 2019,LCL,2019.0,Summer Season,M19,Vega Squadron,4.48,1.15
10 Aug 2019,LCL,2019.0,Summer Season,Unicorns of Love,Elements Pro Gaming,1.44,2.60
10 Aug 2019,LCL,2019.0,Summer Season,M19,RoX,3.70,1.25
10 Aug 2019,LCL,2019.0,Summer Season,Dragon Army,Gambit Esports,3.62,1.23
28 Jul 2019,LCL,2019.0,Summer Season,Dragon Army,M19,1.33,3.02
28 Jul 2019,LCL,2019.0,Summer Season,Vega Squadron,Gambit Esports,1.87,1.87
28 Jul 2019,LCL,2019.0,Summer Season,Elements Pro Gaming,Dragon Army,1.31,3.10
28 Jul 2019,LCL,2019.0,Summer Season,Gambit Esports,Unicorns of Love,1.90,1.82
28 Jul 2019,LCL,2019.0,Summer Season,Elements Pro Gaming,Vaevictis eSports,1.01,9.20
28 Jul 2019,LCL,2019.0,Summer Season,Unicorns of Love,RoX,1.18,4.11
27 Jul 2019,LCL,2019.0,Summer Season,Vega Squadron,Dragon Army,1.36,2.79
27 Jul 2019,LCL,2019.0,Summer Season,M19,Unicorns of Love,4.28,1.10
27 Jul 2019,LCL,2019.0,Summer Season,Vega Squadron,RoX,1.78,1.94
27 Jul 2019,LCL,2019.0,Summer Season,Vaevictis eSports,M19,8.92,1.01
27 Jul 2019,LCL,2019.0,Summer Season,RoX,Elements Pro Gaming,2.18,1.58
27 Jul 2019,LCL,2019.0,Summer Season,Gambit Esports,Vaevictis eSports,1.01,7.20
21 Jul 2019,LCL,2019.0,Summer Season,Vega Squadron,Unicorns of Love,2.73,1.42
21 Jul 2019,LCL,2019.0,Summer Season,M19,Elements Pro Gaming,3.56,1.25
21 Jul 2019,LCL,2019.0,Summer Season,Vaevictis eSports,Vega Squadron,8.30,1.01
21 Jul 2019,LCL,2019.0,Summer Season,Gambit Esports,Elements Pro Gaming,1.29,3.31
21 Jul 2019,LCL,2019.0,Summer Season,Vaevictis eSports,Dragon Army,7.50,1.01
21 Jul 2019,LCL,2019.0,Summer Season,RoX,Gambit Esports,4.38,1.18
20 Jul 2019,LCL,2019.0,Summer Season,Unicorns of Love,Dragon Army,1.33,3.15
20 Jul 2019,LCL,2019.0,Summer Season,Gambit Esports,M19,1.34,3.09
20 Jul 2019,LCL,2019.0,Summer Season,Dragon Army,RoX,2.08,1.70
20 Jul 2019,LCL,2019.0,Summer Season,Unicorns of Love,Vaevictis eSports,1.01,8.80
20 Jul 2019,LCL,2019.0,Summer Season,RoX,M19,1.63,2.19
20 Jul 2019,LCL,2019.0,Summer Season,Elements Pro Gaming,Vega Squadron,1.54,2.27
14 Apr 2019,LCL,2019.0,Spring - Play Offs,Elements Pro Gaming,Vega Squadron,1.38,2.84
31 Mar 2019,LCL,2019.0,Spring - Play Offs,Gambit Esports,Vega Squadron,1.38,2.82
30 Mar 2019,LCL,2019.0,Spring - Play Offs,Elements Pro Gaming,M19,1.28,3.44
24 Mar 2019,LCL,2019.0,Spring Season,Team Just,Vaevictis eSports,1.01,9.30
24 Mar 2019,LCL,2019.0,Spring Season,Elements Pro Gaming,Dragon Army,1.16,4.35
24 Mar 2019,LCL,2019.0,Spring Season,M19,Vega Squadron,3.69,1.22
24 Mar 2019,LCL,2019.0,Spring Season,Gambit Esports,RoX,1.08,6.23
23 Mar 2019,LCL,2019.0,Spring Season,Team Just,Vega Squadron,4.00,1.20
23 Mar 2019,LCL,2019.0,Spring Season,Dragon Army,Gambit Esports,3.69,1.23
23 Mar 2019,LCL,2019.0,Spring Season,Vaevictis eSports,RoX,10.40,1.01
23 Mar 2019,LCL,2019.0,Spring Season,M19,Elements Pro Gaming,3.76,1.23
17 Mar 2019,LCL,2019.0,Spring Season,Team Just,RoX,1.96,1.75
17 Mar 2019,LCL,2019.0,Spring Season,Vaevictis eSports,Gambit Esports,7.57,1.05
17 Mar 2019,LCL,2019.0,Spring Season,Elements Pro Gaming,Vega Squadron,1.57,2.25
17 Mar 2019,LCL,2019.0,Spring Season,Dragon Army,M19,1.85,1.85
16 Mar 2019,LCL,2019.0,Spring Season,Vega Squadron,Gambit Esports,2.16,1.62
16 Mar 2019,LCL,2019.0,Spring Season,M19,Vaevictis eSports,1.03,9.59
16 Mar 2019,LCL,2019.0,Spring Season,RoX,Elements Pro Gaming,3.48,1.27
16 Mar 2019,LCL,2019.0,Spring Season,Team Just,Dragon Army,4.05,1.20
03 Mar 2019,LCL,2019.0,Spring Season,RoX,Dragon Army,2.33,1.53
