date,league_name,year,match_type,team_1,team_2,win_odds_home,win_odds_away
16 Sep 2018,LCS,2018.0,Regional Finals,Cloud9,Team SoloMid,1.89,1.85
16 Sep 2018,LCS,2018.0,Regional Finals,Schalke 04,G2 Esports,1.58,2.24
15 Sep 2018,LCS,2018.0,Regional Finals,Team SoloMid,Echo Fox,1.62,2.16
15 Sep 2018,LCS,2018.0,Regional Finals,G2 Esports,Splyce,1.46,2.60
14 Sep 2018,LCS,2018.0,Regional Finals,Echo Fox,Clutch Gaming,1.33,3.36
14 Sep 2018,LCS,2018.0,Regional Finals,Splyce,Misfits,2.23,1.62
09 Sep 2018,LCS,2018.0,Summer - Play offs,Cloud9,Team Liquid,2.13,1.66
09 Sep 2018,LCS,2018.0,Summer - Play offs,Schalke 04,Fnatic,3.17,1.38
08 Sep 2018,LCS,2018.0,Summer - Play offs,Team SoloMid,100 Thieves,1.54,2.43
08 Sep 2018,LCS,2018.0,Summer - Play offs,Vitality,Misfits,2.16,1.67
02 Sep 2018,LCS,2018.0,Summer - Play offs,Team Liquid,100 Thieves,1.44,2.79
01 Sep 2018,LCS,2018.0,Summer - Play offs,Cloud9,Team SoloMid,1.48,2.61
01 Sep 2018,LCS,2018.0,Summer - Play offs,Fnatic,Misfits,1.40,2.86
31 Aug 2018,LCS,2018.0,Summer - Play offs,Vitality,Schalke 04,1.54,2.42
26 Aug 2018,LCS,2018.0,Summer - Play offs,100 Thieves,FlyQuest eSports,1.40,2.83
25 Aug 2018,LCS,2018.0,Summer - Play offs,Echo Fox,Team SoloMid,2.02,1.74
25 Aug 2018,LCS,2018.0,Summer - Play offs,G2 Esports,Misfits,1.49,2.54
24 Aug 2018,LCS,2018.0,Summer - Play offs,Schalke 04,Splyce,1.44,2.72
19 Aug 2018,LCS,2018.0,Summer Season,Team SoloMid,Team Liquid,2.21,1.65
19 Aug 2018,LCS,2018.0,Summer Season,FlyQuest eSports,Cloud9,2.37,1.57
19 Aug 2018,LCS,2018.0,Summer Season,Echo Fox,Clutch Gaming,1.51,2.56
19 Aug 2018,LCS,2018.0,Summer Season,Counter Logic Gaming,Golden Guardians,1.69,2.13
19 Aug 2018,LCS,2018.0,Summer Season,Optic Gaming,100 Thieves,2.55,1.51
19 Aug 2018,LCS,2018.0,Summer Season,Counter Logic Gaming,Clutch Gaming,2.20,1.65
19 Aug 2018,LCS,2018.0,Summer Season,Golden Guardians,FlyQuest eSports,2.35,1.58
18 Aug 2018,LCS,2018.0,Summer Season,Optic Gaming,Team SoloMid,2.33,1.59
18 Aug 2018,LCS,2018.0,Summer Season,100 Thieves,Cloud9,1.95,1.81
18 Aug 2018,LCS,2018.0,Summer Season,Echo Fox,Team Liquid,2.32,1.59
