date,league_name,year,match_type,team_1,team_2,win_odds_home,win_odds_away
15 Sep 2019,LEC,2019.0,Regional Finals,Fnatic,Splyce,1.15,5.11
14 Sep 2019,LEC,2019.0,Regional Finals,Schalke 04,Splyce,1.75,2.01
13 Sep 2019,LEC,2019.0,Regional Finals,Origen,Splyce,3.07,1.34
08 Sep 2019,LEC,2019.0,Summer - Play offs,G2 Esports,Fnatic,1.30,3.38
07 Sep 2019,LEC,2019.0,Summer - Play offs,Fnatic,Schalke 04,1.18,4.56
31 Aug 2019,LEC,2019.0,Summer - Play offs,G2 Esports,Fnatic,1.17,4.73
30 Aug 2019,LEC,2019.0,Summer - Play offs,Rogue,Schalke 04,2.65,1.46
24 Aug 2019,LEC,2019.0,Summer - Play offs,Schalke 04,Vitality,1.30,3.36
23 Aug 2019,LEC,2019.0,Summer - Play offs,Splyce,Rogue,1.14,5.40
17 Aug 2019,LEC,2019.0,Summer Season,Fnatic,Rogue,1.38,2.98
17 Aug 2019,LEC,2019.0,Summer Season,G2 Esports,Excel Esports,1.17,4.63
17 Aug 2019,LEC,2019.0,Summer Season,Schalke 04,Vitality,1.63,2.19
17 Aug 2019,LEC,2019.0,Summer Season,Origen,SK Gaming,1.45,2.64
17 Aug 2019,LEC,2019.0,Summer Season,Splyce,Misfits,1.21,4.20
16 Aug 2019,LEC,2019.0,Summer Season,G2 Esports,Schalke 04,1.38,3.05
16 Aug 2019,LEC,2019.0,Summer Season,Rogue,Origen,2.36,1.55
16 Aug 2019,LEC,2019.0,Summer Season,Splyce,Fnatic,2.15,1.66
16 Aug 2019,LEC,2019.0,Summer Season,Excel Esports,SK Gaming,2.17,1.64
16 Aug 2019,LEC,2019.0,Summer Season,Vitality,Misfits,1.33,3.16
10 Aug 2019,LEC,2019.0,Summer Season,Fnatic,Vitality,1.37,2.98
10 Aug 2019,LEC,2019.0,Summer Season,Misfits,G2 Esports,6.59,1.09
10 Aug 2019,LEC,2019.0,Summer Season,Origen,Excel Esports,1.33,3.16
10 Aug 2019,LEC,2019.0,Summer Season,SK Gaming,Splyce,3.68,1.19
10 Aug 2019,LEC,2019.0,Summer Season,Schalke 04,Rogue,1.34,3.11
09 Aug 2019,LEC,2019.0,Summer Season,Splyce,Origen,1.61,2.23
09 Aug 2019,LEC,2019.0,Summer Season,Excel Esports,Fnatic,3.96,1.22
09 Aug 2019,LEC,2019.0,Summer Season,G2 Esports,Rogue,1.12,5.62
09 Aug 2019,LEC,2019.0,Summer Season,SK Gaming,Vitality,2.59,1.47
09 Aug 2019,LEC,2019.0,Summer Season,Schalke 04,Misfits,1.29,3.43
03 Aug 2019,LEC,2019.0,Summer Season,Fnatic,G2 Esports,2.86,1.40
03 Aug 2019,LEC,2019.0,Summer Season,Origen,Schalke 04,1.74,2.02
03 Aug 2019,LEC,2019.0,Summer Season,Rogue,Splyce,3.77,1.27
03 Aug 2019,LEC,2019.0,Summer Season,Vitality,Excel Esports,1.53,2.44
03 Aug 2019,LEC,2019.0,Summer Season,Misfits,SK Gaming,2.06,1.72
02 Aug 2019,LEC,2019.0,Summer Season,Fnatic,Schalke 04,1.37,3.01
02 Aug 2019,LEC,2019.0,Summer Season,Misfits,Origen,3.07,1.35
02 Aug 2019,LEC,2019.0,Summer Season,G2 Esports,Vitality,1.16,4.84
02 Aug 2019,LEC,2019.0,Summer Season,Rogue,SK Gaming,1.87,1.86
02 Aug 2019,LEC,2019.0,Summer Season,Splyce,Excel Esports,1.20,4.38
27 Jul 2019,LEC,2019.0,Summer Season,Origen,Fnatic,2.44,1.52
27 Jul 2019,LEC,2019.0,Summer Season,Excel Esports,Misfits,2.62,1.44
27 Jul 2019,LEC,2019.0,Summer Season,SK Gaming,G2 Esports,6.16,1.11
27 Jul 2019,LEC,2019.0,Summer Season,Vitality,Rogue,1.69,2.10
27 Jul 2019,LEC,2019.0,Summer Season,Schalke 04,Splyce,2.50,1.50
26 Jul 2019,LEC,2019.0,Summer Season,G2 Esports,Origen,1.24,3.85
