date,league_name,year,match_type,team_1,team_2,win_odds_home,win_odds_away
08 Sep 2019,LPL,2019.0,Regional Finals,Top Esports,Invictus Gaming,1.60,2.23
07 Sep 2019,LPL,2019.0,Regional Finals,Invictus Gaming,JD Gaming,1.31,3.25
06 Sep 2019,LPL,2019.0,Summer - Play offs,FunPlus Phoenix,Royal Never Give Up,1.61,2.23
04 Sep 2019,LPL,2019.0,Summer - Play offs,Bilibili Gaming,Top Esports,2.22,1.61
01 Sep 2019,LPL,2019.0,Summer - Play offs,Top Esports,Royal Never Give Up,2.18,1.62
31 Aug 2019,LPL,2019.0,Summer - Play offs,FunPlus Phoenix,Bilibili Gaming,1.17,4.62
25 Aug 2019,LPL,2019.0,Summer - Play offs,Royal Never Give Up,LNG Esports,1.19,4.29
24 Aug 2019,LPL,2019.0,Summer - Play offs,Bilibili Gaming,EDward Gaming,1.63,2.19
23 Aug 2019,LPL,2019.0,Summer - Play offs,Invictus Gaming,LNG Esports,1.16,4.80
22 Aug 2019,LPL,2019.0,Summer - Play offs,EDward Gaming,Suning,1.37,2.94
18 Aug 2019,LPL,2019.0,Summer Season,Top Esports,FunPlus Phoenix,2.60,1.46
18 Aug 2019,LPL,2019.0,Summer Season,LNG Esports,Suning,2.47,1.51
18 Aug 2019,LPL,2019.0,Summer Season,LGD Gaming,Vici Gaming,1.53,2.42
17 Aug 2019,LPL,2019.0,Summer Season,Rogue Warriors,Invictus Gaming,7.00,1.10
17 Aug 2019,LPL,2019.0,Summer Season,Victory Five,Team WE,5.30,1.16
17 Aug 2019,LPL,2019.0,Summer Season,JD Gaming,Royal Never Give Up,4.81,1.16
16 Aug 2019,LPL,2019.0,Summer Season,Top Esports,Oh My God,1.05,8.69
16 Aug 2019,LPL,2019.0,Summer Season,Dominus Esports,FunPlus Phoenix,6.61,1.09
14 Aug 2019,LPL,2019.0,Summer Season,Royal Never Give Up,Bilibili Gaming,1.37,3.01
14 Aug 2019,LPL,2019.0,Summer Season,EDward Gaming,Suning,1.75,2.02
13 Aug 2019,LPL,2019.0,Summer Season,LGD Gaming,Invictus Gaming,5.58,1.12
13 Aug 2019,LPL,2019.0,Summer Season,Rogue Warriors,Vici Gaming,1.42,2.73
12 Aug 2019,LPL,2019.0,Summer Season,Dominus Esports,Victory Five,1.23,3.15
12 Aug 2019,LPL,2019.0,Summer Season,JD Gaming,Oh My God,1.28,3.51
11 Aug 2019,LPL,2019.0,Summer Season,EDward Gaming,Top Esports,2.94,1.38
11 Aug 2019,LPL,2019.0,Summer Season,Suning,FunPlus Phoenix,4.44,1.19
10 Aug 2019,LPL,2019.0,Summer Season,Royal Never Give Up,Invictus Gaming,1.56,2.36
10 Aug 2019,LPL,2019.0,Summer Season,LGD Gaming,Bilibili Gaming,4.79,1.17
09 Aug 2019,LPL,2019.0,Summer Season,Vici Gaming,EDward Gaming,9.30,1.05
09 Aug 2019,LPL,2019.0,Summer Season,Team WE,Rogue Warriors,1.28,3.53
07 Aug 2019,LPL,2019.0,Summer Season,JD Gaming,LGD Gaming,1.24,3.83
07 Aug 2019,LPL,2019.0,Summer Season,Vici Gaming,LNG Esports,4.48,1.18
06 Aug 2019,LPL,2019.0,Summer Season,Royal Never Give Up,Dominus Esports,1.11,6.23
06 Aug 2019,LPL,2019.0,Summer Season,Rogue Warriors,Bilibili Gaming,4.62,1.18
05 Aug 2019,LPL,2019.0,Summer Season,LNG Esports,Victory Five,1.33,3.31
05 Aug 2019,LPL,2019.0,Summer Season,Suning,Oh My God,1.08,6.94
04 Aug 2019,LPL,2019.0,Summer Season,Invictus Gaming,Bilibili Gaming,1.40,2.78
04 Aug 2019,LPL,2019.0,Summer Season,Team WE,LGD Gaming,1.25,3.95
03 Aug 2019,LPL,2019.0,Summer Season,Royal Never Give Up,Top Esports,1.33,3.16
03 Aug 2019,LPL,2019.0,Summer Season,Oh My God,Dominus Esports,3.27,1.32
02 Aug 2019,LPL,2019.0,Summer Season,JD Gaming,Rogue Warriors,1.26,3.64
02 Aug 2019,LPL,2019.0,Summer Season,Victory Five,Suning,4.59,1.18
31 Jul 2019,LPL,2019.0,Summer Season,EDward Gaming,Oh My God,1.05,15.75
31 Jul 2019,LPL,2019.0,Summer Season,LNG Esports,FunPlus Phoenix,6.25,1.11
30 Jul 2019,LPL,2019.0,Summer Season,LGD Gaming,Dominus Esports,2.50,1.50
30 Jul 2019,LPL,2019.0,Summer Season,Team WE,Vici Gaming,1.18,4.55
29 Jul 2019,LPL,2019.0,Summer Season,Royal Never Give Up,Suning,1.23,3.93
29 Jul 2019,LPL,2019.0,Summer Season,Victory Five,Top Esports,6.06,1.11
28 Jul 2019,LPL,2019.0,Summer Season,Team WE,Invictus Gaming,4.88,1.16
28 Jul 2019,LPL,2019.0,Summer Season,Rogue Warriors,Dominus Esports,2.03,1.74
27 Jul 2019,LPL,2019.0,Summer Season,EDward Gaming,FunPlus Phoenix,3.48,1.28
27 Jul 2019,LPL,2019.0,Summer Season,Royal Never Give Up,LNG Esports,1.20,4.36
26 Jul 2019,LPL,2019.0,Summer Season,Victory Five,JD Gaming,2.42,1.51
26 Jul 2019,LPL,2019.0,Summer Season,Vici Gaming,Bilibili Gaming,4.38,1.19
24 Jul 2019,LPL,2019.0,Summer Season,LNG Esports,Top Esports,2.42,1.53
24 Jul 2019,LPL,2019.0,Summer Season,FunPlus Phoenix,Oh My God,1.05,9.25
23 Jul 2019,LPL,2019.0,Summer Season,Bilibili Gaming,Team WE,1.61,2.23
23 Jul 2019,LPL,2019.0,Summer Season,Rogue Warriors,LGD Gaming,2.08,1.70
22 Jul 2019,LPL,2019.0,Summer Season,Top Esports,Suning,1.42,2.76
22 Jul 2019,LPL,2019.0,Summer Season,Royal Never Give Up,Victory Five,1.09,6.77
21 Jul 2019,LPL,2019.0,Summer Season,FunPlus Phoenix,Invictus Gaming,1.56,2.34
21 Jul 2019,LPL,2019.0,Summer Season,Dominus Esports,JD Gaming,4.14,1.22
20 Jul 2019,LPL,2019.0,Summer Season,Royal Never Give Up,EDward Gaming,1.53,2.42
20 Jul 2019,LPL,2019.0,Summer Season,Suning,Rogue Warriors,1.38,2.92
19 Jul 2019,LPL,2019.0,Summer Season,Top Esports,LGD Gaming,1.22,4.06
19 Jul 2019,LPL,2019.0,Summer Season,Oh My God,Vici Gaming,1.53,2.40
17 Jul 2019,LPL,2019.0,Summer Season,Oh My God,LNG Esports,3.61,1.27
17 Jul 2019,LPL,2019.0,Summer Season,EDward Gaming,Victory Five,1.29,3.38
16 Jul 2019,LPL,2019.0,Summer Season,Bilibili Gaming,JD Gaming,1.98,1.89
16 Jul 2019,LPL,2019.0,Summer Season,Team WE,Dominus Esports,1.43,2.71
15 Jul 2019,LPL,2019.0,Summer Season,Vici Gaming,Invictus Gaming,7.94,1.07
15 Jul 2019,LPL,2019.0,Summer Season,Victory Five,Rogue Warriors,1.66,2.13
14 Jul 2019,LPL,2019.0,Summer Season,LNG Esports,EDward Gaming,1.97,1.74
14 Jul 2019,LPL,2019.0,Summer Season,Top Esports,JD Gaming,1.33,4.53
13 Jul 2019,LPL,2019.0,Summer Season,Oh My God,Invictus Gaming,5.94,1.12
13 Jul 2019,LPL,2019.0,Summer Season,FunPlus Phoenix,Vici Gaming,1.07,7.56
