date,league_name,year,match_type,team_1,team_2,win_odds_home,win_odds_away
21 Aug 2020,OPL,2020.0,Summer - Play offs,Pentanet.GG,Chiefs Esports Club,2.61,1.46
14 Aug 2020,OPL,2020.0,Summer - Play offs,ORDER,Pentanet.GG,1.42,2.71
14 Aug 2020,OPL,2020.0,Summer - Play offs,Chiefs Esports Club,LG Dire Wolves,1.71,2.07
08 Aug 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,Legacy eSports,2.70,1.43
08 Aug 2020,OPL,2020.0,Summer Season,Avant Gaming,Pentanet.GG,3.52,1.28
08 Aug 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,LG Dire Wolves,1.65,2.16
08 Aug 2020,OPL,2020.0,Summer Season,Legacy eSports,Avant Gaming,1.18,4.59
08 Aug 2020,OPL,2020.0,Summer Season,ORDER,LG Dire Wolves,1.54,2.38
08 Aug 2020,OPL,2020.0,Summer Season,Gravitas,Mammoth,2.89,1.39
07 Aug 2020,OPL,2020.0,Summer Season,Legacy eSports,Pentanet.GG,1.54,2.40
07 Aug 2020,OPL,2020.0,Summer Season,ORDER,Avant Gaming,1.46,2.62
07 Aug 2020,OPL,2020.0,Summer Season,Pentanet.GG,Gravitas,1.14,5.49
07 Aug 2020,OPL,2020.0,Summer Season,ORDER,Mammoth,1.17,4.76
07 Aug 2020,OPL,2020.0,Summer Season,LG Dire Wolves,Gravitas,1.15,5.36
07 Aug 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,Mammoth,1.23,3.91
01 Aug 2020,OPL,2020.0,Summer Season,ORDER,Chiefs Esports Club,1.86,1.87
01 Aug 2020,OPL,2020.0,Summer Season,Avant Gaming,Gravitas,1.24,3.88
01 Aug 2020,OPL,2020.0,Summer Season,LG Dire Wolves,Pentanet.GG,1.76,2.00
01 Aug 2020,OPL,2020.0,Summer Season,Legacy eSports,Mammoth,1.09,7.11
31 Jul 2020,OPL,2020.0,Summer Season,ORDER,Pentanet.GG,1.58,2.28
31 Jul 2020,OPL,2020.0,Summer Season,LG Dire Wolves,Mammoth,1.32,3.24
31 Jul 2020,OPL,2020.0,Summer Season,Legacy eSports,Gravitas,1.09,6.87
31 Jul 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,Avant Gaming,1.49,2.55
25 Jul 2020,OPL,2020.0,Summer Season,Avant Gaming,LG Dire Wolves,2.68,1.44
25 Jul 2020,OPL,2020.0,Summer Season,Pentanet.GG,Mammoth,1.22,4.04
25 Jul 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,Gravitas,1.17,4.82
25 Jul 2020,OPL,2020.0,Summer Season,ORDER,Legacy eSports,2.06,1.71
24 Jul 2020,OPL,2020.0,Summer Season,Legacy eSports,LG Dire Wolves,1.51,2.53
24 Jul 2020,OPL,2020.0,Summer Season,ORDER,Gravitas,1.25,3.74
24 Jul 2020,OPL,2020.0,Summer Season,Avant Gaming,Mammoth,1.32,3.22
24 Jul 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,Pentanet.GG,1.75,2.00
18 Jul 2020,OPL,2020.0,Summer Season,Gravitas,Mammoth,4.25,1.23
18 Jul 2020,OPL,2020.0,Summer Season,Avant Gaming,Pentanet.GG,2.03,1.73
18 Jul 2020,OPL,2020.0,Summer Season,ORDER,LG Dire Wolves,1.79,1.96
18 Jul 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,Legacy eSports,2.47,1.51
17 Jul 2020,OPL,2020.0,Summer Season,Pentanet.GG,Gravitas,1.20,4.25
17 Jul 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,LG Dire Wolves,1.72,2.05
17 Jul 2020,OPL,2020.0,Summer Season,Legacy eSports,Avant Gaming,1.23,3.96
17 Jul 2020,OPL,2020.0,Summer Season,ORDER,Mammoth,1.25,3.73
11 Jul 2020,OPL,2020.0,Summer Season,ORDER,Avant Gaming,1.47,2.58
11 Jul 2020,OPL,2020.0,Summer Season,Legacy eSports,Pentanet.GG,1.31,3.31
11 Jul 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,Mammoth,1.08,7.04
11 Jul 2020,OPL,2020.0,Summer Season,LG Dire Wolves,Gravitas,1.16,5.01
10 Jul 2020,OPL,2020.0,Summer Season,ORDER,Chiefs Esports Club,2.25,1.60
10 Jul 2020,OPL,2020.0,Summer Season,Avant Gaming,Gravitas,1.35,3.11
10 Jul 2020,OPL,2020.0,Summer Season,LG Dire Wolves,Pentanet.GG,1.59,2.27
10 Jul 2020,OPL,2020.0,Summer Season,Legacy eSports,Mammoth,1.04,9.18
04 Jul 2020,OPL,2020.0,Summer Season,ORDER,Pentanet.GG,1.81,1.93
04 Jul 2020,OPL,2020.0,Summer Season,LG Dire Wolves,Mammoth,1.11,6.00
04 Jul 2020,OPL,2020.0,Summer Season,Legacy eSports,Gravitas,1.08,7.19
04 Jul 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,Avant Gaming,1.37,3.03
03 Jul 2020,OPL,2020.0,Summer Season,Avant Gaming,LG Dire Wolves,2.16,1.65
03 Jul 2020,OPL,2020.0,Summer Season,Pentanet.GG,Mammoth,1.24,3.83
03 Jul 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,Gravitas,1.16,4.81
03 Jul 2020,OPL,2020.0,Summer Season,ORDER,Legacy eSports,3.89,1.24
27 Jun 2020,OPL,2020.0,Summer Season,Legacy eSports,LG Dire Wolves,1.34,3.12
27 Jun 2020,OPL,2020.0,Summer Season,ORDER,Gravitas,1.28,3.53
27 Jun 2020,OPL,2020.0,Summer Season,Avant Gaming,Mammoth,1.31,3.32
27 Jun 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,Pentanet.GG,1.39,2.87
26 Jun 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,Legacy eSports,2.52,1.49
26 Jun 2020,OPL,2020.0,Summer Season,Gravitas,Mammoth,1.40,2.80
26 Jun 2020,OPL,2020.0,Summer Season,ORDER,LG Dire Wolves,2.05,1.72
26 Jun 2020,OPL,2020.0,Summer Season,Avant Gaming,Pentanet.GG,1.95,1.80
20 Jun 2020,OPL,2020.0,Summer Season,Chiefs Esports Club,LG Dire Wolves,1.51,2.48
20 Jun 2020,OPL,2020.0,Summer Season,Legacy eSports,Avant Gaming,1.24,3.87
