date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time,over_under:Total Maps Played:4.50:over,over_under:Total Maps Played:4.50:under,special:3-0,special:3-1,special:3-2,special:0-3,special:1-3,special:2-3,special:Team to Score a Quadra Kill:home,special:Team to Score a Quadra Kill:away,special:Team to Score a Penta Kill:home,special:Team to Score a Penta Kill:away,handicap:set_handicap:-1.50:home,handicap:set_handicap:+1.50:away,over_under:Total Maps Played:3.50:over,over_under:Total Maps Played:3.50:under,handicap:set_handicap:+1.50:home,handicap:set_handicap:-1.50:away,handicap:set_handicap:-2.50:home,handicap:set_handicap:+2.50:away
2020-08-27,LOL Development League,2020.0,summer,Legend Esport Gaming,Vici Gaming Potential,unikrn,1.61,2.20,2020-08-27 11:00:00,2.5,1.5,LEG 3-0:5.5,LEG 3-1:3.8,LEG 3-2:4.33,VGP 3-0:8.0,VGP 3-1:5.5,VGP 3-2:5.0,,,,,,,,,,,,
2020-08-27,Challengers Korea,2020.0,summer,Awesome Spear,OZ Gaming,unikrn,1.44,2.62,2020-08-27 11:00:00,,,,,,,,,,,,,,,,,,,,
2020-08-27,LPL,2020.0,summer,TES,JDG,unikrn,1.53,2.37,2020-08-27 11:00:00,2.75,1.4,JDG 3-0:8.5,JDG 3-1:6.0,JDG 3-2:5.0,TE 3-0:5.0,TE 3-1:3.8,TE 3-2:4.33,2.8,3.25,12.0,15.0,2.25,1.57,,,,,,
2020-08-27,LOL Development League,2020.0,summer,Suning Gaming-S,LGD.Y,unikrn,1.40,2.75,2020-08-27 11:00:00,2.62,1.44,LGD.Y 3-0:15.0,LGD.Y 3-1:7.0,LGD.Y 3-2:6.0,SGS 3-0:3.5,SGS 3-1:3.4,SGS 3-2:4.5,,,,,1.83,1.83,,,,,,
2020-08-28,European Masters,2020.0,summer,Morning Stars,S04E,unikrn,4.00,1.22,2020-08-27 11:00:00,,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,LDLC OL,K1CK Neosurf,unikrn,1.44,2.62,2020-08-27 11:00:00,,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,We Love Gaming,Giants Gaming,unikrn,4.00,1.22,2020-08-27 11:00:00,,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,Misfits Premier,Pompa Team,unikrn,1.33,3.25,2020-08-27 11:00:00,,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,Movistar Riders,SuppUp eSports,unikrn,1.28,3.50,2020-08-27 11:00:00,,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,Team GamerLegion,AGO ROGUE,unikrn,2.62,1.44,2020-08-27 11:00:00,,,,,,,,,,,,,,,,,,,,
2020-08-28,OPL,2020.0,summer,ORDER,Legacy Esports,unikrn,3.50,1.28,2020-08-27 11:00:00,,,LGC 3-0:3.0,LGC 3-1:3.2,LGC 3-2:4.5,Order 3-0:19.0,Order 3-1:9.0,Order 3-2:7.0,3.6,2.62,15.0,12.0,,,1.44,2.62,2.2,1.61,,
