date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time,over_under:Total Maps Played:4.50:over,over_under:Total Maps Played:4.50:under,handicap:set_handicap:-1.50:home,handicap:set_handicap:+1.50:away,special:Team to Score a Penta Kill:home,special:Team to Score a Penta Kill:away,special:Team to Score a Quadra Kill:home,special:Team to Score a Quadra Kill:away,special:3-0,special:3-1,special:3-2,special:0-3,special:1-3,special:2-3,handicap:set_handicap:+1.50:home,handicap:set_handicap:-1.50:away,over_under:Total Maps Played:2.50:over,over_under:Total Maps Played:2.50:under,over_under:Total Maps Played:3.50:over,over_under:Total Maps Played:3.50:under
2020-08-28,PCS,2020.0,summer,Talon Esports,Machi Esports,unikrn,1.53,2.37,2020-08-28 23:00:00,,,,,,,,,,,,,,,,,,,,
2020-08-29,LEC,2020.0,summer,MAD,FC Schalke,unikrn,1.61,2.20,2020-08-28 23:00:00,2.5,1.5,2.37,1.53,12.0,12.0,3.0,3.0,S04 3-0:7.0,S04 3-1:5.0,S04 3-2:5.0,ML 3-0:5.5,ML 3-1:4.33,ML 3-2:4.5,,,,,,
2020-08-29,NA Academy League,2020.0,summer,Team SoloMid Academy,Cloud9 Academy,unikrn,2.75,1.40,2020-08-28 23:00:00,2.62,1.44,,,,,,,C9.A 3-0:3.5,C9.A 3-1:3.4,C9.A 3-2:4.5,TSM.A 3-0:15.0,TSM.A 3-1:7.0,TSM.A 3-2:6.0,1.83,1.83,,,,
2020-08-29,LPL,2020.0,summer,IG,FPX,unikrn,1.57,2.25,2020-08-28 23:00:00,,,,,12.0,15.0,2.8,3.25,,,,,,,,,,,,
2020-08-29,LOL Development League,2020.0,summer,eStar.Y,LGD.Y,unikrn,1.44,2.62,2020-08-28 23:00:00,,,2.0,1.72,,,,,eStar.Y 3-0:3.8,eStar.Y 3-1:3.5,eStar.Y 3-2:4.33,LGD.Y 3-0:12.0,LGD.Y 3-1:6.5,LGD.Y 3-2:6.0,,,1.83,1.83,,
2020-08-29,VCS,2020.0,summer,Team Flash,GAM Esports,unikrn,3.00,1.36,2020-08-28 23:00:00,2.75,1.4,1.83,1.83,12.0,15.0,2.8,3.5,GAM Esports 3-0:3.6,GAM Esports 3-1:3.5,GAM Esports 3-2:4.5,TF 3-0:12.0,TF 3-1:7.0,TF 3-2:6.0,,,,,,
2020-08-30,LEC,2020.0,summer,Fnatic,G2,unikrn,3.50,1.28,2020-08-28 23:00:00,2.75,1.4,,,15.0,12.0,3.6,2.8,Fnatic 3-0:15.0,Fnatic 3-1:7.0,Fnatic 3-2:6.0,G2 3-0:3.5,G2 3-1:3.4,G2 3-2:4.5,1.83,1.83,,,,
2020-08-30,LLA,2020.0,summer,All Knights,Rainbow7,unikrn,1.57,2.25,2020-08-28 23:00:00,2.62,1.44,2.37,1.53,,,,,AK 3-0:5.0,AK 3-1:3.8,AK 3-2:4.33,R7 3-0:8.5,R7 3-1:6.0,R7 3-2:5.0,,,,,,
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,unikrn,3.25,1.33,2020-08-28 23:00:00,,,,,15.0,12.0,3.6,2.8,Cloud9 3-0:3.4,Cloud9 3-1:3.5,Cloud9 3-2:4.5,TSM 3-0:15.0,TSM 3-1:7.0,TSM 3-2:6.0,1.83,1.83,,,1.4,2.75
2020-08-30,VCS,2020.0,summer,Team Secret,EVOS Esports,unikrn,2.25,1.57,2020-08-28 23:00:00,2.5,1.5,,,15.0,12.0,3.25,2.8,EVOS 3-0:5.0,EVOS 3-1:3.8,EVOS 3-2:4.33,Team Secret 3-0:8.5,Team Secret 3-1:6.0,Team Secret 3-2:5.0,1.57,2.25,,,,
2020-08-30,LCL,2020.0,summer,Unicorns Of Love,Gambit,unikrn,1.14,5.50,2020-08-28 23:00:00,,,,,,,,,,,,,,,,,,,1.61,2.2
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,unikrn,1.36,3.00,2020-08-28 23:00:00,2.62,1.44,1.83,1.83,12.0,15.0,2.8,3.6,FLY 3-0:15.0,FLY 3-1:7.0,FLY 3-2:6.0,TL 3-0:3.5,TL 3-1:3.4,TL 3-2:4.5,,,,,,
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,unikrn,1.12,6.00,2020-08-28 23:00:00,,,,,,,,,Cream Real Betis 3-0:21.0,Cream Real Betis 3-1:17.0,Cream Real Betis 3-2:9.0,MRS 3-0:2.37,MRS 3-1:2.87,MRS 3-2:5.0,,,,,,
