date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time
2020-09-07,LCK,2020.0,summer,Afreeca,KT,unikrn,1.01,34.00,2020-09-07 23:00:00
2020-09-08,LFL,2020.0,summer,gameward,MCES,unikrn,1.36,3.00,2020-09-07 23:00:00
2020-09-08,LFL,2020.0,summer,Vitality.Bee,IZI Dream,unikrn,1.53,2.37,2020-09-07 23:00:00
2020-09-08,LFL,2020.0,summer,Solary,GamersOrigin,unikrn,3.00,1.36,2020-09-07 23:00:00
2020-09-08,LFL,2020.0,summer,Misfits Premier,LDLC OL,unikrn,1.66,2.10,2020-09-07 23:00:00
2020-09-09,LFL,2020.0,summer,MCES,GamersOrigin,unikrn,5.00,1.16,2020-09-07 23:00:00
2020-09-09,LFL,2020.0,summer,gameward,LDLC OL,unikrn,2.25,1.57,2020-09-07 23:00:00
2020-09-09,LFL,2020.0,summer,Vitality.Bee,Misfits Premier,unikrn,2.37,1.53,2020-09-07 23:00:00
2020-09-09,LFL,2020.0,summer,Solary,IZI Dream,unikrn,1.83,1.83,2020-09-07 23:00:00
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,Movistar Riders,unikrn,2.20,1.61,2020-09-07 23:00:00
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,AGO ROGUE,unikrn,5.00,1.16,2020-09-07 23:00:00
2020-09-10,European Masters,2020.0,summer,Movistar Riders,AGO ROGUE,unikrn,2.10,1.66,2020-09-07 23:00:00
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,Movistar Riders,unikrn,4.50,1.20,2020-09-07 23:00:00
2020-09-10,European Masters,2020.0,summer,AGO ROGUE,Team GamerLegion,unikrn,1.50,2.50,2020-09-07 23:00:00
