date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Winner:home,special:Winner:away,both:Teams to Slay a Dragon:yes,both:Teams to Slay a Dragon:no,both:Teams to Slay a Baron:yes,both:Teams to Slay a Baron:no,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no
2020-08-27,LOL Development League,2020.0,summer,Legend Esport Gaming,Vici Gaming Potential,unikrn,2020-08-27 11:00:00,1.0,1.72,2.0,,,,,,,,
2020-08-27,LOL Development League,2020.0,summer,Legend Esport Gaming,Vici Gaming Potential,unikrn,2020-08-27 11:00:00,2.0,1.72,2.0,,,,,,,,
2020-08-27,LOL Development League,2020.0,summer,Legend Esport Gaming,Vici Gaming Potential,unikrn,2020-08-27 11:00:00,3.0,1.72,2.0,,,,,,,,
2020-08-27,LPL,2020.0,summer,TES,JDG,unikrn,2020-08-27 11:00:00,1.0,1.66,2.1,,,,,1.72,2.0,7.0,1.1
2020-08-27,LPL,2020.0,summer,TES,JDG,unikrn,2020-08-27 11:00:00,2.0,1.66,2.1,1.28,3.5,6.0,1.12,,,,
2020-08-27,LPL,2020.0,summer,TES,JDG,unikrn,2020-08-27 11:00:00,3.0,1.66,2.1,1.28,3.5,,,,,,
2020-08-27,LOL Development League,2020.0,summer,Suning Gaming-S,LGD.Y,unikrn,2020-08-27 11:00:00,1.0,1.53,2.37,,,,,,,,
2020-08-27,LOL Development League,2020.0,summer,Suning Gaming-S,LGD.Y,unikrn,2020-08-27 11:00:00,2.0,1.53,2.37,,,,,,,,
2020-08-27,LOL Development League,2020.0,summer,Suning Gaming-S,LGD.Y,unikrn,2020-08-27 11:00:00,3.0,1.53,2.37,,,,,,,,
2020-08-28,OPL,2020.0,summer,ORDER,Legacy Esports,unikrn,2020-08-27 11:00:00,1.0,2.62,1.44,,,,,2.25,1.57,8.0,1.08
2020-08-28,OPL,2020.0,summer,ORDER,Legacy Esports,unikrn,2020-08-27 11:00:00,2.0,2.62,1.44,1.28,3.5,6.5,1.11,,,,
2020-08-28,OPL,2020.0,summer,ORDER,Legacy Esports,unikrn,2020-08-27 11:00:00,3.0,2.62,1.44,1.28,3.5,,,,,,
2020-08-28,LPL,2020.0,summer,LGD,Suning,unikrn,2020-08-27 11:00:00,1.0,1.83,1.83,,,,,,,,
2020-08-28,LPL,2020.0,summer,LGD,Suning,unikrn,2020-08-27 11:00:00,2.0,1.83,1.83,,,,,,,,
2020-08-28,LPL,2020.0,summer,LGD,Suning,unikrn,2020-08-27 11:00:00,3.0,1.83,1.83,,,,,,,,
2020-08-28,LCK,2020.0,summer,GenG,Afreeca,unikrn,2020-08-27 11:00:00,1.0,1.28,3.5,,,,,,,,
2020-08-28,LCK,2020.0,summer,GenG,Afreeca,unikrn,2020-08-27 11:00:00,2.0,1.28,3.5,,,,,,,,
2020-08-28,LCK,2020.0,summer,GenG,Afreeca,unikrn,2020-08-27 11:00:00,3.0,1.28,3.5,,,,,,,,
2020-08-29,LEC,2020.0,summer,MAD,FC Schalke,unikrn,2020-08-27 11:00:00,1.0,1.83,1.83,,,,,1.83,1.83,7.0,1.1
2020-08-29,LEC,2020.0,summer,MAD,FC Schalke,unikrn,2020-08-27 11:00:00,2.0,1.83,1.83,1.22,4.0,6.0,1.12,,,,
2020-08-29,LEC,2020.0,summer,MAD,FC Schalke,unikrn,2020-08-27 11:00:00,3.0,1.83,1.83,1.22,4.0,,,,,,
2020-08-30,LEC,2020.0,summer,Fnatic,G2,unikrn,2020-08-27 11:00:00,1.0,2.37,1.53,,,,,2.0,1.72,8.0,1.08
2020-08-30,LEC,2020.0,summer,Fnatic,G2,unikrn,2020-08-27 11:00:00,2.0,2.37,1.53,1.28,3.5,6.5,1.11,,,,
2020-08-30,LEC,2020.0,summer,Fnatic,G2,unikrn,2020-08-27 11:00:00,3.0,2.37,1.53,1.28,3.5,,,,,,
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,unikrn,2020-08-27 11:00:00,1.0,2.37,1.53,,,,,2.1,1.66,8.0,1.08
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,unikrn,2020-08-27 11:00:00,2.0,2.37,1.53,1.28,3.5,6.5,1.11,,,,
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,unikrn,2020-08-27 11:00:00,3.0,2.37,1.53,1.28,3.5,,,,,,
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,unikrn,2020-08-27 11:00:00,1.0,1.53,2.37,,,,,1.66,2.1,8.0,1.08
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,unikrn,2020-08-27 11:00:00,2.0,1.53,2.37,1.28,3.5,6.5,1.11,,,,
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,unikrn,2020-08-27 11:00:00,3.0,1.53,2.37,1.28,3.5,,,,,,
