date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Winner:home,special:Winner:away,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no,both:Teams to Slay a Baron:yes,both:Teams to Slay a Baron:no,both:Teams to Slay a Dragon:yes,both:Teams to Slay a Dragon:no,over_under:Total Barons Slain:1.50:over,over_under:Total Barons Slain:1.50:under,over_under:Total Dragons Slain:4.50:over,over_under:Total Dragons Slain:4.50:under,over_under:Total Towers Destroyed:12.50:over,over_under:Total Towers Destroyed:12.50:under,over_under:Total Towers Destroyed:11.50:over,over_under:Total Towers Destroyed:11.50:under
2020-08-28,LOL Development League,2020.0,summer,TEC,Team WE Academy,unikrn,2020-08-28 11:00:00,1.0,1.53,2.37,,,,,,,,,,,,,,,,
2020-08-28,LOL Development League,2020.0,summer,TEC,Team WE Academy,unikrn,2020-08-28 11:00:00,2.0,1.53,2.37,,,,,,,,,,,,,,,,
2020-08-28,LOL Development League,2020.0,summer,TEC,Team WE Academy,unikrn,2020-08-28 11:00:00,3.0,1.53,2.37,,,,,,,,,,,,,,,,
2020-08-28,OPL,2020.0,summer,ORDER,Legacy Esports,unikrn,2020-08-28 11:00:00,1.0,2.62,1.44,2.25,1.57,8.0,1.08,,,,,,,,,,,,
2020-08-28,OPL,2020.0,summer,ORDER,Legacy Esports,unikrn,2020-08-28 11:00:00,2.0,2.62,1.44,,,,,6.5,1.11,1.28,3.5,,,,,,,,
2020-08-28,OPL,2020.0,summer,ORDER,Legacy Esports,unikrn,2020-08-28 11:00:00,3.0,2.62,1.44,,,,,,,1.28,3.5,,,,,,,,
2020-08-28,LPL,2020.0,summer,LGD,Suning,unikrn,2020-08-28 11:00:00,1.0,1.72,2.0,1.83,1.83,7.0,1.1,,,,,2.37,1.53,1.4,2.75,2.2,1.61,,
2020-08-28,LPL,2020.0,summer,LGD,Suning,unikrn,2020-08-28 11:00:00,2.0,1.72,2.0,,,,,6.0,1.12,1.22,4.0,2.37,1.53,1.4,2.75,2.2,1.61,,
2020-08-28,LPL,2020.0,summer,LGD,Suning,unikrn,2020-08-28 11:00:00,3.0,1.72,2.0,,,,,,,1.22,4.0,2.37,1.53,1.4,2.75,2.2,1.61,,
2020-08-28,LCK,2020.0,summer,GenG,Afreeca,unikrn,2020-08-28 11:00:00,1.0,1.28,3.5,1.5,2.5,10.0,1.06,,,,,3.25,1.33,1.72,2.0,,,1.83,1.83
