date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Winner:home,special:Winner:away,over_under:Total Barons Slain:1.50:over,over_under:Total Barons Slain:1.50:under,over_under:Total Dragons Slain:4.50:over,over_under:Total Dragons Slain:4.50:under,over_under:Total Towers Destroyed:11.50:over,over_under:Total Towers Destroyed:11.50:under,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away,both:Teams to Slay a Dragon:yes,both:Teams to Slay a Dragon:no,both:Teams to Slay a Baron:yes,both:Teams to Slay a Baron:no,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no,over_under:Total Towers Destroyed:12.50:over,over_under:Total Towers Destroyed:12.50:under
2020-09-04,LOL Development League,2020.0,summer,LGD.Y,FunPlus Phoenix Blaze,unikrn,2020-09-04 11:00:00,1.0,2.37,1.53,,,,,,,,,,,,,,,,
2020-09-04,LOL Development League,2020.0,summer,LGD.Y,FunPlus Phoenix Blaze,unikrn,2020-09-04 11:00:00,2.0,2.37,1.53,,,,,,,,,,,,,,,,
2020-09-04,LOL Development League,2020.0,summer,LGD.Y,FunPlus Phoenix Blaze,unikrn,2020-09-04 11:00:00,3.0,2.37,1.53,,,,,,,,,,,,,,,,
2020-09-05,LVP SuperLiga,2020.0,summer,G2 Artic,Movistar Riders,unikrn,2020-09-04 11:00:00,1.0,1.36,3.0,,,,,,,,,,,,,,,,
2020-09-05,LVP SuperLiga,2020.0,summer,G2 Artic,Movistar Riders,unikrn,2020-09-04 11:00:00,2.0,1.36,3.0,,,,,,,,,,,,,,,,
2020-09-05,LVP SuperLiga,2020.0,summer,G2 Artic,Movistar Riders,unikrn,2020-09-04 11:00:00,3.0,1.36,3.0,,,,,,,,,,,,,,,,
2020-09-05,LCK,2020.0,summer,DragonX,Damwon,unikrn,2020-09-04 11:00:00,1.0,1.44,2.62,3.0,1.36,1.5,2.5,1.83,1.83,1.61,2.2,,,,,8.0,1.08,,
2020-09-05,LCK,2020.0,summer,DragonX,Damwon,unikrn,2020-09-04 11:00:00,2.0,1.44,2.62,3.0,1.36,1.5,2.5,1.83,1.83,,,1.28,3.5,6.5,1.11,,,,
2020-09-05,LCK,2020.0,summer,DragonX,Damwon,unikrn,2020-09-04 11:00:00,3.0,1.44,2.62,3.0,1.36,1.5,2.5,1.83,1.83,,,1.28,3.5,,,,,,
2020-09-05,LJL,2020.0,summer,Detonation FocusMe,Sengoku Gaming,unikrn,2020-09-04 11:00:00,1.0,2.0,1.72,,,,,,,1.83,1.83,,,,,7.0,1.1,,
2020-09-05,LJL,2020.0,summer,Detonation FocusMe,Sengoku Gaming,unikrn,2020-09-04 11:00:00,2.0,2.0,1.72,,,,,,,,,1.22,4.0,6.0,1.12,,,,
2020-09-05,LJL,2020.0,summer,Detonation FocusMe,Sengoku Gaming,unikrn,2020-09-04 11:00:00,3.0,2.0,1.72,,,,,,,,,1.22,4.0,,,,,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,unikrn,2020-09-04 11:00:00,1.0,3.0,1.36,,,,,,,2.37,1.53,,,,,10.0,1.06,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,unikrn,2020-09-04 11:00:00,2.0,3.0,1.36,,,,,,,,,1.33,3.25,7.0,1.1,,,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,unikrn,2020-09-04 11:00:00,3.0,3.0,1.36,,,,,,,,,1.33,3.25,,,,,,
2020-09-06,LEC,2020.0,summer,Rogue,G2,unikrn,2020-09-04 11:00:00,1.0,1.44,2.62,2.75,1.4,1.5,2.5,,,1.72,2.0,,,,,8.0,1.08,2.0,1.72
2020-09-06,LEC,2020.0,summer,Rogue,G2,unikrn,2020-09-04 11:00:00,2.0,1.44,2.62,2.75,1.4,1.5,2.5,,,,,1.28,3.5,6.5,1.11,,,2.0,1.72
2020-09-06,LEC,2020.0,summer,Rogue,G2,unikrn,2020-09-04 11:00:00,3.0,1.44,2.62,2.75,1.4,1.5,2.5,,,,,1.28,3.5,,,,,2.0,1.72
2020-09-06,CBLOL,2020.0,summer,INTZ,PAIN,unikrn,2020-09-04 11:00:00,1.0,1.57,2.25,,,,,,,1.66,2.1,,,,,8.0,1.08,,
2020-09-06,CBLOL,2020.0,summer,INTZ,PAIN,unikrn,2020-09-04 11:00:00,2.0,1.57,2.25,,,,,,,,,1.25,3.75,6.5,1.11,,,,
2020-09-06,CBLOL,2020.0,summer,INTZ,PAIN,unikrn,2020-09-04 11:00:00,3.0,1.57,2.25,,,,,,,,,1.25,3.75,,,,,,
2020-09-06,LCS,2020.0,summer,TSM,TL,unikrn,2020-09-04 11:00:00,1.0,1.66,2.1,2.25,1.57,1.4,2.75,,,1.83,1.83,,,,,7.0,1.1,2.0,1.72
2020-09-06,LCS,2020.0,summer,TSM,TL,unikrn,2020-09-04 11:00:00,2.0,1.66,2.1,2.25,1.57,1.4,2.75,,,,,1.22,4.0,6.0,1.12,,,2.0,1.72
2020-09-06,LCS,2020.0,summer,TSM,TL,unikrn,2020-09-04 11:00:00,3.0,1.66,2.1,2.25,1.57,1.4,2.75,,,,,1.22,4.0,,,,,2.0,1.72
