date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Winner:home,special:Winner:away
2020-09-16,European Masters,2020.0,summer,Vodafone Giants,Team GamerLegion,unikrn,2020-09-16 11:00:00,,,
2020-09-16,European Masters,2020.0,summer,Vodafone Giants,Team GamerLegion,unikrn,2020-09-16 11:00:00,2.0,1.44,2.62
2020-09-16,European Masters,2020.0,summer,Vodafone Giants,Team GamerLegion,unikrn,2020-09-16 11:00:00,,,
2020-09-16,European Masters,2020.0,summer,GamersOrigin,LDLC OL,unikrn,2020-09-16 11:00:00,1.0,2.37,1.53
2020-09-16,European Masters,2020.0,summer,GamersOrigin,LDLC OL,unikrn,2020-09-16 11:00:00,2.0,2.37,1.53
2020-09-16,European Masters,2020.0,summer,GamersOrigin,LDLC OL,unikrn,2020-09-16 11:00:00,,,
2020-09-17,European Masters,2020.0,summer,AGO ROGUE,Misfits Premier,unikrn,2020-09-16 11:00:00,1.0,1.53,2.37
2020-09-17,European Masters,2020.0,summer,AGO ROGUE,Misfits Premier,unikrn,2020-09-16 11:00:00,2.0,1.53,2.37
2020-09-17,European Masters,2020.0,summer,AGO ROGUE,Misfits Premier,unikrn,2020-09-16 11:00:00,,,
2020-09-17,European Masters,2020.0,summer,mousesports,K1CK Neosurf,unikrn,2020-09-16 11:00:00,1.0,1.44,2.62
2020-09-17,European Masters,2020.0,summer,mousesports,K1CK Neosurf,unikrn,2020-09-16 11:00:00,2.0,1.44,2.62
2020-09-17,European Masters,2020.0,summer,mousesports,K1CK Neosurf,unikrn,2020-09-16 11:00:00,,,
