date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no
2020-09-18,World Championship,2020.0,summer,MAD,INTZ,unikrn,2020-09-18 23:00:00,1.0,2.62,1.44,10.0,1.06
2020-09-18,World Championship,2020.0,summer,MAD,INTZ,unikrn,2020-09-18 23:00:00,,,,,
2020-09-18,World Championship,2020.0,summer,MAD,INTZ,unikrn,2020-09-18 23:00:00,,,,,
2020-09-18,World Championship,2020.0,summer,Talon Esports,Rainbow7,unikrn,2020-09-18 23:00:00,1.0,1.83,1.83,7.0,1.1
2020-09-18,World Championship,2020.0,summer,Talon Esports,Rainbow7,unikrn,2020-09-18 23:00:00,,,,,
2020-09-18,World Championship,2020.0,summer,Talon Esports,Rainbow7,unikrn,2020-09-18 23:00:00,,,,,
2020-09-18,World Championship,2020.0,summer,INTZ,Legacy Esports,unikrn,2020-09-18 23:00:00,1.0,1.66,2.1,7.0,1.1
2020-09-18,World Championship,2020.0,summer,INTZ,Legacy Esports,unikrn,2020-09-18 23:00:00,,,,,
2020-09-18,World Championship,2020.0,summer,INTZ,Legacy Esports,unikrn,2020-09-18 23:00:00,,,,,
2020-09-18,World Championship,2020.0,summer,MAD,TL,unikrn,2020-09-18 23:00:00,1.0,1.72,2.0,7.0,1.1
2020-09-18,World Championship,2020.0,summer,MAD,TL,unikrn,2020-09-18 23:00:00,,,,,
2020-09-18,World Championship,2020.0,summer,MAD,TL,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,Rainbow7,V3 Esports,unikrn,2020-09-18 23:00:00,1.0,1.66,2.1,8.0,1.08
2020-09-25,World Championship,2020.0,summer,Rainbow7,V3 Esports,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,Rainbow7,V3 Esports,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,INTZ,Papara SuperMassive,unikrn,2020-09-18 23:00:00,1.0,2.1,1.66,8.0,1.08
2020-09-25,World Championship,2020.0,summer,INTZ,Papara SuperMassive,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,INTZ,Papara SuperMassive,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,Unicorns Of Love,V3 Esports,unikrn,2020-09-18 23:00:00,1.0,1.44,2.62,10.0,1.06
2020-09-25,World Championship,2020.0,summer,Unicorns Of Love,V3 Esports,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,Unicorns Of Love,V3 Esports,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,LGD,Rainbow7,unikrn,2020-09-18 23:00:00,1.0,1.36,3.0,10.0,1.06
2020-09-25,World Championship,2020.0,summer,LGD,Rainbow7,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,LGD,Rainbow7,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,Talon Esports,Unicorns Of Love,unikrn,2020-09-18 23:00:00,1.0,2.25,1.57,8.0,1.08
2020-09-25,World Championship,2020.0,summer,Talon Esports,Unicorns Of Love,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,Talon Esports,Unicorns Of Love,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,MAD,Papara SuperMassive,unikrn,2020-09-18 23:00:00,1.0,1.53,2.37,10.0,1.06
2020-09-25,World Championship,2020.0,summer,MAD,Papara SuperMassive,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,MAD,Papara SuperMassive,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,Legacy Esports,TL,unikrn,2020-09-18 23:00:00,1.0,2.62,1.44,10.0,1.06
2020-09-25,World Championship,2020.0,summer,Legacy Esports,TL,unikrn,2020-09-18 23:00:00,,,,,
2020-09-25,World Championship,2020.0,summer,Legacy Esports,TL,unikrn,2020-09-18 23:00:00,,,,,
2020-09-26,World Championship,2020.0,summer,LGD,V3 Esports,unikrn,2020-09-18 23:00:00,1.0,1.33,3.25,10.0,1.06
2020-09-26,World Championship,2020.0,summer,LGD,V3 Esports,unikrn,2020-09-18 23:00:00,,,,,
2020-09-26,World Championship,2020.0,summer,LGD,V3 Esports,unikrn,2020-09-18 23:00:00,,,,,
2020-09-26,World Championship,2020.0,summer,Rainbow7,Unicorns Of Love,unikrn,2020-09-18 23:00:00,1.0,2.37,1.53,10.0,1.06
2020-09-26,World Championship,2020.0,summer,Rainbow7,Unicorns Of Love,unikrn,2020-09-18 23:00:00,,,,,
2020-09-26,World Championship,2020.0,summer,Rainbow7,Unicorns Of Love,unikrn,2020-09-18 23:00:00,,,,,
